,what,things,did,the,network,concentrate,on
the,0.42745697498321533,0.30825191736221313,0.34736719727516174,1.0,0.27187061309814453,0.25759652256965637,0.5107308030128479
work,0.3762225806713104,0.4258117079734802,0.336654931306839,0.2704800069332123,0.24047605693340302,0.3649716079235077,0.26663315296173096
focuses,0.27091580629348755,0.3101452887058258,0.1606093794107437,0.26860302686691284,0.24710971117019653,0.3054817318916321,0.32762500643730164
on,0.34226128458976746,0.2750859558582306,0.2670976221561432,0.5107308030128479,0.30190837383270264,0.26941370964050293,0.9999999403953552
three,0.24888746440410614,0.21899649500846863,0.2043166607618332,0.43452659249305725,0.16434773802757263,0.1627245992422104,0.2742598354816437
key,0.2270265817642212,0.21330255270004272,0.14891697466373444,0.2260027974843979,0.16739396750926971,0.23028308153152466,0.18956105411052704
ideas,0.42330971360206604,0.5037784576416016,0.3357154428958893,0.22381870448589325,0.12315915524959564,0.2768617868423462,0.193235844373703
:,-0.12022944539785385,-0.1235387772321701,-0.05305134505033493,-0.03403344005346298,-0.06702782958745956,-0.008513638749718666,-0.06502202153205872
use,0.3453877568244934,0.44523340463638306,0.32446643710136414,0.34342584013938904,0.29727494716644287,0.2811145484447479,0.2776605486869812
of,0.33290785551071167,0.2970648407936096,0.2513895630836487,0.733189046382904,0.21800683438777924,0.2599338889122009,0.3966929316520691
a,0.3320399522781372,0.33201509714126587,0.2552328109741211,0.5829201340675354,0.17299489676952362,0.2562330961227417,0.3848365545272827
decentralized,0.24125823378562927,0.26788294315338135,0.21183784306049347,0.26113998889923096,0.3283403217792511,0.39833226799964905,0.25082945823669434
network,0.16917307674884796,0.16177469491958618,0.08572790026664734,0.27187061309814453,1.0000001192092896,0.15361924469470978,0.30190837383270264
with,0.2464839518070221,0.27400049567222595,0.25472134351730347,0.4223487675189972,0.2153671681880951,0.26664412021636963,0.40749499201774597
multiple,0.19839626550674438,0.2304254025220871,0.13390448689460754,0.20022359490394592,0.21595485508441925,0.14636927843093872,0.2717284858226776
paths,0.23057404160499573,0.31146326661109924,0.15793465077877045,0.2250492423772812,0.20336699485778809,0.22253158688545227,0.13790622353553772
between,0.2462156116962433,0.19948160648345947,0.16542956233024597,0.39067012071609497,0.2824346423149109,0.15076084434986115,0.3335416913032532
any,0.43670421838760376,0.4345467984676361,0.37563082575798035,0.4525727927684784,0.20257605612277985,0.31165990233421326,0.2894362509250641
two,0.23363454639911652,0.26797741651535034,0.2755576968193054,0.43858039379119873,0.18832415342330933,0.1888236254453659,0.3205535411834717
points,0.2184005230665207,0.2901448607444763,0.2069225311279297,0.2560983896255493,0.10916262865066528,0.20477616786956787,0.1853724867105484
",",0.3087472915649414,0.3149048686027527,0.3015086054801941,0.4933079481124878,0.1932937651872635,0.30280089378356934,0.49057599902153015
dividing,0.2898585796356201,0.23785610496997833,0.1202259287238121,0.37785807251930237,0.18945187330245972,0.1823832392692566,0.20843107998371124
user,0.3184303641319275,0.2870815098285675,0.15889939665794373,0.17889195680618286,0.2575385272502899,0.16251754760742188,0.23015347123146057
messages,0.31826624274253845,0.37346354126930237,0.18452005088329315,0.2442925125360489,0.25081056356430054,0.18641868233680725,0.20914113521575928
into,0.2180619090795517,0.2268720269203186,0.14888085424900055,0.39493247866630554,0.1536092758178711,0.21057379245758057,0.30585673451423645
