,of,what,region,was,saxony,a,part,?
martin,0.13722093403339386,0.14814218878746033,0.1951858550310135,0.2089129239320755,0.1347000151872635,0.2163310945034027,0.16615453362464905,0.060103293508291245
luther,0.1719115972518921,0.2134782373905182,0.028789378702640533,0.19185513257980347,0.2548035979270935,0.17967689037322998,0.12887465953826904,0.1732746809720993
was,0.4069072902202606,0.22111038863658905,0.19296804070472717,1.0000001192092896,0.23233024775981903,0.4508470594882965,0.3407018780708313,0.18412111699581146
born,0.19769194722175598,0.16581368446350098,0.19860509037971497,0.388632208108902,0.17538410425186157,0.22920024394989014,0.1926203966140747,0.19166848063468933
to,0.41548454761505127,0.455847829580307,0.24118299782276154,0.3636345863342285,0.17982617020606995,0.45503583550453186,0.2875264883041382,0.29463258385658264
hans,0.1693631112575531,0.1566041111946106,0.07372695952653885,0.21729552745819092,0.2773621678352356,0.19378378987312317,0.17395950853824615,0.10353465378284454
luder,0.20099425315856934,0.25292885303497314,0.15141324698925018,0.2763330042362213,0.3497719466686249,0.27787160873413086,0.20987799763679504,0.2584306299686432
(,0.35032153129577637,0.2411840260028839,0.1544569879770279,0.2980341613292694,0.21856403350830078,0.3206180930137634,0.2208257019519806,0.40561532974243164
or,0.3792596757411957,0.33867141604423523,0.19172623753547668,0.2330796718597412,0.1642518937587738,0.48853766918182373,0.28093159198760986,0.32389625906944275
ludher,0.26215124130249023,0.29717764258384705,0.20111854374408722,0.37074023485183716,0.3400125503540039,0.33908674120903015,0.2036983221769333,0.3058914244174957
",",0.4946078956127167,0.3087472915649414,0.2119160145521164,0.45456063747406006,0.2703131437301636,0.427140474319458,0.3376222252845764,0.31091248989105225
later,0.3458743393421173,0.2517229914665222,0.17598898708820343,0.5684447288513184,0.17624565958976746,0.34254932403564453,0.21416085958480835,0.1417175978422165
luther,0.1719115972518921,0.2134782373905182,0.028789378702640533,0.19185513257980347,0.2548035979270935,0.17967689037322998,0.12887465953826904,0.1732746809720993
),0.3680361211299896,0.26259949803352356,0.1620774269104004,0.3267642855644226,0.20856410264968872,0.3640355169773102,0.24734117090702057,0.42300865054130554
and,0.5116966962814331,0.31309178471565247,0.2372262328863144,0.3740963041782379,0.22855228185653687,0.3739250600337982,0.35301485657691956,0.20544172823429108
his,0.38364991545677185,0.26976513862609863,0.1177695021033287,0.4405253231525421,0.23337094485759735,0.3497250974178314,0.22525446116924286,0.18075084686279297
wife,0.2074100226163864,0.15537087619304657,0.18560805916786194,0.3110053539276123,0.24105258285999298,0.15953688323497772,0.17622433602809906,0.19987250864505768
