,what,is,the,name,of,the,organization,in,charge,of,running,the,clubs,at,the,university,?
students,0.2380729615688324,0.2124544233083725,0.25268980860710144,0.10358775407075882,0.25513339042663574,0.25268980860710144,0.2633920907974243,0.2676171064376831,0.22880521416664124,0.25513339042663574,0.1641126126050949,0.25268980860710144,0.1630866825580597,0.26965975761413574,0.25268980860710144,0.4958297908306122,0.18017297983169556
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.11450952291488647,0.42558613419532776,0.457212895154953,0.11811204999685287,0.4374977946281433,0.17470499873161316,0.42558613419532776,0.22305940091609955,0.457212895154953,0.18165500462055206,1.0,0.457212895154953,0.30386853218078613,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.311172217130661,0.6662389636039734,0.2730984687805176,0.733189046382904,0.28883472084999084,1.0,0.17952080070972443,0.457212895154953,1.0,0.263973206281662,0.22068053483963013
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.1568726748228073,0.30646374821662903,0.263973206281662,0.2023129016160965,0.3201795518398285,0.17363107204437256,0.30646374821662903,0.1524692326784134,0.263973206281662,0.19051797688007355,0.30386853218078613,0.263973206281662,1.0,0.11887256056070328
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.25438958406448364,0.5696388483047485,0.27586498856544495,1.0,0.2329012006521225,0.733189046382904,0.17083200812339783,0.42558613419532776,0.733189046382904,0.30646374821662903,0.1826142966747284
chicago,0.1521448791027069,0.12146236002445221,0.27360326051712036,0.1020326316356659,0.18391016125679016,0.27360326051712036,0.28609368205070496,0.23921214044094086,0.14200611412525177,0.18391016125679016,0.20942175388336182,0.27360326051712036,0.14081336557865143,0.1649734377861023,0.27360326051712036,0.29005804657936096,0.16446958482265472
run,0.2294815480709076,0.20717166364192963,0.27883726358413696,0.12229572981595993,0.2272813767194748,0.27883726358413696,0.1960477977991104,0.26368704438209534,0.21100327372550964,0.2272813767194748,0.6848446130752563,0.27883726358413696,0.1156381145119667,0.23052865266799927,0.27883726358413696,0.1579725593328476,0.17904110252857208
over,0.28007611632347107,0.2159561663866043,0.39856547117233276,0.1520776003599167,0.36136594414711,0.39856547117233276,0.2049175649881363,0.3605569899082184,0.19324515759944916,0.36136594414711,0.2513340413570404,0.39856547117233276,0.20681051909923553,0.34008997678756714,0.39856547117233276,0.18348753452301025,0.25742942094802856
400,0.19401682913303375,0.15271618962287903,0.17705115675926208,0.18068505823612213,0.1451684534549713,0.17705115675926208,0.03822080418467522,0.1977328509092331,0.072588250041008,0.1451684534549713,0.0611833781003952,0.17705115675926208,0.11558758467435837,0.14203853905200958,0.17705115675926208,0.04770072549581528,0.14271585643291473
clubs,0.07451342791318893,0.1625252366065979,0.17952080070972443,0.10333044826984406,0.17083200812339783,0.17952080070972443,0.17750169336795807,0.189127579331398,0.1289244145154953,0.17083200812339783,0.11121530830860138,0.17952080070972443,1.0,0.18165500462055206,0.17952080070972443,0.19051797688007355,0.1735779345035553
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.21951423585414886,0.4954058527946472,0.238192617893219,0.5116966962814331,0.29286429286003113,0.5171257257461548,0.22370807826519012,0.3571503460407257,0.5171257257461548,0.2665814459323883,0.20544172823429108
organizations,0.20689024031162262,0.16318725049495697,0.2850687503814697,0.108860544860363,0.24586479365825653,0.2850687503814697,0.9138537049293518,0.25369027256965637,0.23347999155521393,0.24586479365825653,0.18787029385566711,0.2850687503814697,0.25027352571487427,0.13594061136245728,0.2850687503814697,0.2196592092514038,0.22215601801872253
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.3659360110759735,0.35814476013183594,0.3624623417854309,0.16892196238040924,0.32641831040382385,0.15683647990226746,0.35814476013183594,0.17085213959217072,0.3624623417854309,0.11619684100151062,0.19818158447742462,0.3624623417854309,0.15387564897537231,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.24784187972545624,0.3887844979763031,0.20160435140132904,0.3886612355709076,0.23864935338497162,0.48381632566452026,0.0974835604429245,0.28092536330223083,0.48381632566452026,0.21858684718608856,0.27043893933296204
recognized,0.17776133120059967,0.23847106099128723,0.31571096181869507,0.2293359786272049,0.3161126375198364,0.31571096181869507,0.30087584257125854,0.3010571300983429,0.06437572836875916,0.3161126375198364,0.08243659138679504,0.31571096181869507,0.15444253385066986,0.1618734449148178,0.31571096181869507,0.1830035299062729,0.18558090925216675
student,0.20548318326473236,0.18911804258823395,0.21259291470050812,0.07360304892063141,0.20310284197330475,0.21259291470050812,0.27003172039985657,0.254856139421463,0.27885201573371887,0.20310284197330475,0.09556221961975098,0.21259291470050812,0.1110842302441597,0.2458948791027069,0.21259291470050812,0.46536099910736084,0.13282090425491333
organizations,0.20689024031162262,0.16318725049495697,0.2850687503814697,0.108860544860363,0.24586479365825653,0.2850687503814697,0.9138537049293518,0.25369027256965637,0.23347999155521393,0.24586479365825653,0.18787029385566711,0.2850687503814697,0.25027352571487427,0.13594061136245728,0.2850687503814697,0.2196592092514038,0.22215601801872253
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.1716907024383545,0.3087427020072937,0.14816641807556152,0.35032153129577637,0.19851703941822052,0.33289089798927307,0.19876334071159363,0.23315078020095825,0.33289089798927307,0.20313534140586853,0.40561532974243164
