,how,did,the,huguenots,defend,themselves,?
retaliating,0.20259758830070496,0.2252958118915558,0.31102555990219116,0.25669485330581665,0.39031487703323364,0.37089112401008606,0.18486277759075165
against,0.22421614825725555,0.22514554858207703,0.3090755045413971,0.23383420705795288,0.5488764643669128,0.2692209780216217,0.18095137178897858
the,0.33890387415885925,0.34736719727516174,1.0,0.30745792388916016,0.2784505784511566,0.3444426357746124,0.22068053483963013
french,0.14884154498577118,0.1584041714668274,0.2555147111415863,0.4879878759384155,0.10241195559501648,0.14011907577514648,0.1386883556842804
catholics,0.18724653124809265,0.2574452757835388,0.27357813715934753,0.5178009867668152,0.236541286110878,0.3260451555252075,0.17714823782444
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.23394492268562317,0.24847333133220673,0.19974499940872192,0.31091248989105225
the,0.33890387415885925,0.34736719727516174,1.0,0.30745792388916016,0.2784505784511566,0.3444426357746124,0.22068053483963013
huguenots,0.17459295690059662,0.2420482039451599,0.30745792388916016,1.0,0.23835797607898712,0.26021808385849,0.16010338068008423
had,0.2549138069152832,0.540525496006012,0.3875846862792969,0.2472342848777771,0.2653375566005707,0.25828346610069275,0.20728366076946259
their,0.3316696584224701,0.38078752160072327,0.516537070274353,0.30116045475006104,0.29625412821769714,0.5939331650733948,0.1898253709077835
own,0.3035697042942047,0.34475913643836975,0.334675133228302,0.20235732197761536,0.2887469530105591,0.4473603069782257,0.1937696635723114
militia,0.15412473678588867,0.2361917346715927,0.22964103519916534,0.32398584485054016,0.2996174097061157,0.3027207851409912,0.16097775101661682
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.2170230895280838,0.28558477759361267,0.20394743978977203,0.4130953550338745
