,who,was,on,the,receiving,end,of,a,45-yard,pass,from,cam,newton,?
the,0.3733934462070465,0.48711544275283813,0.5107308030128479,1.0,0.3056924641132355,0.39658910036087036,0.733189046382904,0.5829201340675354,0.2821606993675232,0.25961899757385254,0.40150508284568787,0.18275147676467896,0.1876603662967682,0.22068053483963013
panthers,0.2132880985736847,0.2605615258216858,0.17721405625343323,0.2602776288986206,0.19198675453662872,0.14626342058181763,0.23357392847537994,0.2255268394947052,0.2165260910987854,0.16386406123638153,0.2251167893409729,0.32430368661880493,0.2555108666419983,0.16608978807926178
seemed,0.3107509911060333,0.3753930628299713,0.22628623247146606,0.2816183567047119,0.14882966876029968,0.20088933408260345,0.18767647445201874,0.22686916589736938,0.2596030831336975,0.17545805871486664,0.11498410254716873,0.08184142410755157,0.1900935173034668,0.2128053456544876
primed,0.18662363290786743,0.23548413813114166,0.2596871554851532,0.26234734058380127,0.21275880932807922,0.18617232143878937,0.22161777317523956,0.2370789349079132,0.25603336095809937,0.15735583007335663,0.17915421724319458,0.13692793250083923,0.1835528165102005,0.18320472538471222
to,0.42656609416007996,0.3636345863342285,0.41031414270401,0.535392165184021,0.26238158345222473,0.3229445815086365,0.41548454761505127,0.45503583550453186,0.20010137557983398,0.28446894884109497,0.4069952368736267,0.13727928698062897,0.2176830768585205,0.29463258385658264
score,0.1809227615594864,0.1616087406873703,0.1815592646598816,0.2042495757341385,0.19441717863082886,0.19343528151512146,0.1790168732404709,0.19997252523899078,0.22272805869579315,0.15402163565158844,0.18552955985069275,0.11817726492881775,0.12628361582756042,0.199510395526886
on,0.2340552806854248,0.3909217119216919,0.9999999403953552,0.5107308030128479,0.25672581791877747,0.2773675322532654,0.3966929316520691,0.3848365545272827,0.20670932531356812,0.13331516087055206,0.36926645040512085,0.13481371104717255,0.14340966939926147,0.2714994251728058
their,0.3767721951007843,0.2396296262741089,0.3598666191101074,0.516537070274353,0.2596452236175537,0.20139017701148987,0.4329940676689148,0.29698723554611206,0.17854098975658417,0.18814857304096222,0.3038119673728943,0.11729029566049576,0.13899730145931244,0.1898253709077835
opening,0.12329958379268646,0.20817555487155914,0.2229088544845581,0.37298497557640076,0.2986857295036316,0.36104637384414673,0.2651100158691406,0.2575104236602783,0.23490729928016663,0.2594235837459564,0.2103152573108673,0.05719621106982231,0.09418322145938873,0.16502447426319122
drive,0.14977459609508514,0.18442629277706146,0.1695663183927536,0.2083187699317932,0.22416359186172485,0.18270590901374817,0.17806991934776306,0.24929353594779968,0.24353258311748505,0.23804372549057007,0.15552356839179993,0.2872565686702728,0.14229874312877655,0.11447915434837341
