,what,famous,composer,used,a,lutheran,hymn,in,his,work,?
preachers,0.25719547271728516,0.29054492712020874,0.2117084413766861,0.15771275758743286,0.20959411561489105,0.38915595412254333,0.2734189033508301,0.17906790971755981,0.283130943775177,0.24116069078445435,0.18691442906856537
and,0.31309178471565247,0.2970265746116638,0.207661971449852,0.3150506615638733,0.3739250600337982,0.20310066640377045,0.1816401183605194,0.4954058527946472,0.4234102666378021,0.37551814317703247,0.20544172823429108
composers,0.23610138893127441,0.34736737608909607,0.7598084211349487,0.2336747944355011,0.17150335013866425,0.263823926448822,0.3921784460544586,0.2000618427991867,0.252868115901947,0.2851443588733673,0.1801956444978714
of,0.33290785551071167,0.3074295222759247,0.1714436560869217,0.3075267970561981,0.5052502155303955,0.2628459632396698,0.27317509055137634,0.5696388483047485,0.38364991545677185,0.23473061621189117,0.1826142966747284
the,0.42745697498321533,0.28616565465927124,0.16463536024093628,0.3718377649784088,0.5829201340675354,0.20315466821193695,0.22713270783424377,0.6662389636039734,0.4394008219242096,0.2704800069332123,0.22068053483963013
18th,0.173826202750206,0.18988648056983948,0.13025009632110596,0.16603761911392212,0.2213495373725891,0.07345911115407944,0.2284190058708191,0.19408075511455536,0.14778822660446167,0.14204668998718262,0.11879357695579529
century,0.20422613620758057,0.3113352656364441,0.2260439693927765,0.29442450404167175,0.19417014718055725,0.22045361995697021,0.19275709986686707,0.3174034655094147,0.2985166609287262,0.20945213735103607,0.1026201918721199
",",0.3087472915649414,0.2816491723060608,0.29219841957092285,0.3120402991771698,0.427140474319458,0.26864951848983765,0.22048476338386536,0.5201468467712402,0.3378419280052185,0.3283594250679016,0.31091248989105225
including,0.18328791856765747,0.3776775002479553,0.15371443331241608,0.2749961316585541,0.21045410633087158,0.16569623351097107,0.12273049354553223,0.35857823491096497,0.25115638971328735,0.20233120024204254,0.1633303165435791
j.,-0.06363846361637115,-0.0713689997792244,0.1005501076579094,-0.11069488525390625,0.009359784424304962,0.08326251059770584,0.13393619656562805,-0.05513869225978851,-0.11451385170221329,-0.023754490539431572,0.004272869788110256
s.,0.027025721967220306,-0.15051914751529694,-0.07159354537725449,-0.06323067098855972,0.01792140118777752,-0.0795072540640831,-0.0926765725016594,-0.11448613554239273,-0.04041380062699318,-0.12220938503742218,0.07581593841314316
bach,0.2060634046792984,0.30680593848228455,0.3598172664642334,0.18711747229099274,0.20886148512363434,0.3663880527019501,0.3001944124698639,0.19327521324157715,0.2507949471473694,0.2385331392288208,0.23872415721416473
",",0.3087472915649414,0.2816491723060608,0.29219841957092285,0.3120402991771698,0.427140474319458,0.26864951848983765,0.22048476338386536,0.5201468467712402,0.3378419280052185,0.3283594250679016,0.31091248989105225
used,0.27546408772468567,0.25926119089126587,0.0847187414765358,0.9999998807907104,0.3864384889602661,0.09550187736749649,0.14374560117721558,0.3090210556983948,0.20492680370807648,0.2676831781864166,0.22430120408535004
this,0.5489566326141357,0.20630793273448944,0.13850146532058716,0.3996967375278473,0.5422310829162598,0.151315376162529,0.16291919350624084,0.45205554366111755,0.3549620509147644,0.4280385971069336,0.3155723512172699
rich,0.22860300540924072,0.30801695585250854,0.2227170467376709,0.15271006524562836,0.25359082221984863,0.1599879413843155,0.11261475831270218,0.21139568090438843,0.17575350403785706,0.231275737285614,0.13849185407161713
hymn,0.17087575793266296,0.29692739248275757,0.39021509885787964,0.14374560117721558,0.1312560737133026,0.3037897050380707,0.9999999403953552,0.15935353934764862,0.20094148814678192,0.1939689964056015,0.15131041407585144
