,who,is,the,mayor,of,san,francisco,?
san,0.19863182306289673,0.1594623327255249,0.2858080565929413,0.197418674826622,0.25237205624580383,0.9999999403953552,0.8108479976654053,0.10952327400445938
francisco,0.21818988025188446,0.12765364348888397,0.25086042284965515,0.19277431070804596,0.19117538630962372,0.8108479976654053,1.0,0.1020219698548317
mayor,0.2059774100780487,0.1732477992773056,0.21459873020648956,0.9999999403953552,0.17262716591358185,0.197418674826622,0.19277431070804596,0.10846361517906189
ed,0.1637633740901947,0.11459767818450928,0.21412420272827148,0.21809647977352142,0.19821499288082123,0.11730891466140747,0.13562557101249695,0.16764874756336212
lee,0.23078079521656036,0.11468371748924255,0.16821028292179108,0.12286806106567383,0.15092487633228302,0.19368495047092438,0.18004612624645233,0.19113655388355255
said,0.391315758228302,0.2595660388469696,0.3024602234363556,0.17973849177360535,0.29014745354652405,0.18634335696697235,0.2120273858308792,0.28991883993148804
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.17262716591358185,1.0,0.25237205624580383,0.19117538630962372,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,1.0,0.21459873020648956,0.733189046382904,0.2858080565929413,0.25086042284965515,0.22068053483963013
highly,0.24307133257389069,0.2753744423389435,0.2051282376050949,0.07633187621831894,0.21906863152980804,0.08391272276639938,0.08559433370828629,0.1542806625366211
visible,0.09921871870756149,0.2634405493736267,0.3234308958053589,0.07408163696527481,0.27322983741760254,0.10108970105648041,0.08800604939460754,0.16810297966003418
homeless,0.3711029589176178,0.1375599205493927,0.22855409979820251,0.2404218465089798,0.238710418343544,0.2357410043478012,0.23531705141067505,0.17883339524269104
presence,0.19076025485992432,0.27154475450515747,0.34114351868629456,0.07571002840995789,0.2917717397212982,0.09966897964477539,0.10600627213716507,0.08592845499515533
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.19987569749355316,0.5696388483047485,0.2617562413215637,0.21278683841228485,0.20430970191955566
this,0.3345087468624115,0.480927973985672,0.6274310946464539,0.09553465247154236,0.45148900151252747,0.16386784613132477,0.15735197067260742,0.3155723512172699
area,0.23362743854522705,0.29283958673477173,0.37834644317626953,0.2546080946922302,0.3409860134124756,0.22260162234306335,0.2213580310344696,0.12640461325645447
``,0.02397952415049076,0.058766357600688934,0.029072100296616554,-0.02933327853679657,0.06780257821083069,-0.013664762489497662,-0.016306333243846893,0.0685480609536171
they,0.47879111766815186,0.330102801322937,0.49925389885902405,0.10752719640731812,0.3426007330417633,0.16093860566616058,0.17780284583568573,0.2753053903579712
are,0.27294138073921204,0.5330929756164551,0.40399202704429626,0.05907309800386429,0.39081433415412903,0.13921020925045013,0.1310940682888031,0.24591213464736938
going,0.29604148864746094,0.24496732652187347,0.38693177700042725,0.14465323090553284,0.2849585711956024,0.12790636718273163,0.15053260326385498,0.3252600431442261
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.16660037636756897,0.41548454761505127,0.21651452779769897,0.21318043768405914,0.29463258385658264
have,0.39246654510498047,0.3613572418689728,0.40389683842658997,0.08583125472068787,0.3802283704280853,0.1570361703634262,0.15268315374851227,0.32991164922714233
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.16660037636756897,0.41548454761505127,0.21651452779769897,0.21318043768405914,0.29463258385658264
leave,0.27963167428970337,0.21151107549667358,0.32171857357025146,0.11667417734861374,0.22741928696632385,0.10633793473243713,0.08268532156944275,0.23890845477581024
'',0.024401003494858742,0.0793738141655922,0.041273195296525955,-0.02934269979596138,0.13035868108272552,0.10309749841690063,0.04776419699192047,0.018684765323996544
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.22149251401424408,0.5352458953857422,0.24563752114772797,0.2233876734972,0.4130953550338745
