,what,was,the,first,problem,astronauts,encountered,during,the,plugs-out,test,?
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,1.0,0.22670458257198334,0.22102218866348267,0.19566647708415985,0.45377472043037415,0.49448907375335693,0.22403879463672638,0.2889637351036072,0.18701928853988647
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.24928659200668335,0.197182759642601,0.27817660570144653,0.4838213622570038,1.0,0.3300256133079529,0.19235259294509888,0.22068053483963013
crew,0.17533187568187714,0.20329242944717407,0.25329816341400146,0.22136586904525757,0.15014193952083588,0.44052642583847046,0.17278315126895905,0.22457106411457062,0.25329816341400146,0.25771769881248474,0.1455637514591217,0.16586194932460785
noticed,0.29735252261161804,0.27892765402793884,0.20516085624694824,0.2149539440870285,0.3402406871318817,0.1460772603750229,0.3488280773162842,0.21363931894302368,0.20516085624694824,0.25821682810783386,0.24870719015598297,0.25613096356391907
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.2605542540550232,0.14729517698287964,0.2714329659938812,0.30341604351997375,0.5829201340675354,0.3740852177143097,0.2521366477012634,0.23916715383529663
strange,0.3463876247406006,0.1366722136735916,0.25540825724601746,0.25065138936042786,0.2734129726886749,0.16246727108955383,0.26890093088150024,0.117363840341568,0.25540825724601746,0.3061724603176117,0.16684237122535706,0.18865469098091125
odor,0.23019899427890778,0.17738717794418335,0.18710435926914215,0.09866205602884293,0.2138742208480835,0.15244749188423157,0.2123822718858719,0.13650748133659363,0.18710435926914215,0.35660815238952637,0.1518954336643219,0.18029305338859558
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.16969570517539978,0.1392838954925537,0.25316277146339417,0.4627237319946289,0.6662389636039734,0.2454327493906021,0.1630522608757019,0.20430970191955566
their,0.35142919421195984,0.2396296262741089,0.516537070274353,0.26809096336364746,0.18555448949337006,0.21916906535625458,0.22669483721256256,0.3022443354129791,0.516537070274353,0.31530264019966125,0.1830640286207199,0.1898253709077835
spacesuits,0.2537602484226227,0.15964588522911072,0.2870029807090759,0.22617889940738678,0.34118083119392395,0.5946115255355835,0.239912211894989,0.25982731580734253,0.2870029807090759,0.39449813961982727,0.2902342975139618,0.21940559148788452
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.23938199877738953,0.23683924973011017,0.2783949077129364,0.3225448727607727,0.4933079481124878,0.30510684847831726,0.17614826560020447,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.3828166127204895,0.309948593378067,0.10802549123764038,0.2545716464519501,0.3590145409107208,0.6521818041801453,0.446105033159256,0.21384328603744507,0.25814583897590637
delayed,0.20313408970832825,0.32329967617988586,0.32091420888900757,0.29601481556892395,0.2923600971698761,0.20038798451423645,0.38600075244903564,0.37642431259155273,0.32091420888900757,0.3266570568084717,0.26771944761276245,0.12875154614448547
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.24928659200668335,0.197182759642601,0.27817660570144653,0.4838213622570038,1.0,0.3300256133079529,0.19235259294509888,0.22068053483963013
sealing,0.18648135662078857,0.19714440405368805,0.2936994135379791,0.1705942004919052,0.1832929253578186,0.19055816531181335,0.2715757191181183,0.2295990288257599,0.2936994135379791,0.24265365302562714,0.05638310685753822,0.14426223933696747
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3536086082458496,0.20464475452899933,0.16999632120132446,0.25009191036224365,0.3869180977344513,0.733189046382904,0.22132720053195953,0.164191335439682,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.24928659200668335,0.197182759642601,0.27817660570144653,0.4838213622570038,1.0,0.3300256133079529,0.19235259294509888,0.22068053483963013
hatch,0.15176834166049957,0.13775882124900818,0.16707484424114227,0.18067650496959686,0.10347055643796921,0.26037636399269104,0.131908118724823,0.1285456418991089,0.16707484424114227,0.27750393748283386,0.2602658271789551,0.20584222674369812
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.22562150657176971,0.23320762813091278,0.25921252369880676,0.3485563397407532,0.5934505462646484,0.3162477910518646,0.23588362336158752,0.4130953550338745
