,what,might,cause,a,higher,student,interest,in,learning,the,presented,subject,?
there,0.35085538029670715,0.3662223219871521,0.3022115230560303,0.4214206337928772,0.2634728252887726,0.20433227717876434,0.26483869552612305,0.5361666083335876,0.20673765242099762,0.47025805711746216,0.283062607049942,0.3019971251487732,0.29405656456947327
are,0.29724663496017456,0.4007396399974823,0.2999303638935089,0.265255331993103,0.2964613437652588,0.1161111518740654,0.22280853986740112,0.3841303884983063,0.21586549282073975,0.40399202704429626,0.17209945619106293,0.22845745086669922,0.24591213464736938
various,0.26045072078704834,0.2877090573310852,0.16014935076236725,0.17124241590499878,0.26745808124542236,0.1503608524799347,0.2645684778690338,0.266343355178833,0.26775825023651123,0.3235042691230774,0.3025344908237457,0.24357135593891144,0.12823495268821716
mechanisms,0.23776228725910187,0.28614377975463867,0.295256108045578,0.19530636072158813,0.24796414375305176,0.08896294236183167,0.19547224044799805,0.20443810522556305,0.2747446596622467,0.2385137975215912,0.18664181232452393,0.24309319257736206,0.20209980010986328
by,0.2455483376979828,0.20839068293571472,0.20837076008319855,0.32094135880470276,0.23272763192653656,0.170615091919899,0.21001383662223816,0.370934396982193,0.18080872297286987,0.4408751428127289,0.3042648136615753,0.24064159393310547,0.17966607213020325
which,0.5261979103088379,0.4112485647201538,0.35877716541290283,0.56894451379776,0.3562684655189514,0.19667746126651764,0.2813281714916229,0.4840516746044159,0.2861276865005493,0.6521818041801453,0.2723793089389801,0.3130331039428711,0.25814583897590637
teacher,0.20492632687091827,0.20155100524425507,0.08935278654098511,0.31202319264411926,0.16805647313594818,0.5754092335700989,0.27719631791114807,0.22632350027561188,0.4099653959274292,0.17760860919952393,0.18330883979797363,0.2078711837530136,0.1797819435596466
enthusiasm,0.24652187526226044,0.21454723179340363,0.23316951096057892,0.240957111120224,0.14585936069488525,0.1584063172340393,0.41539180278778076,0.15427449345588684,0.32845550775527954,0.17474554479122162,0.2457950860261917,0.2076936811208725,0.20266079902648926
may,0.25739946961402893,0.5044193863868713,0.3391842246055603,0.29255667328834534,0.18423119187355042,0.17901644110679626,0.21503946185112,0.3424151837825775,0.25806093215942383,0.2694292366504669,0.27008071541786194,0.21582168340682983,0.2768254578113556
facilitate,0.2072707712650299,0.3067611753940582,0.2651353180408478,0.23787109553813934,0.24578525125980377,0.16484759747982025,0.2558867037296295,0.1947198212146759,0.27641963958740234,0.18542252480983734,0.142835333943367,0.25931012630462646,0.255449503660202
higher,0.2538340389728546,0.3173079192638397,0.25972309708595276,0.2608921229839325,1.0,0.20743219554424286,0.19372186064720154,0.23285751044750214,0.2265809327363968,0.3292480409145355,0.14581675827503204,0.16644811630249023,0.15679465234279633
levels,0.21641245484352112,0.32052358984947205,0.2808149755001068,0.21465790271759033,0.47005683183670044,0.11455395817756653,0.1660243719816208,0.2418597936630249,0.21269214153289795,0.286034494638443,0.11276668310165405,0.20976121723651886,0.1541307419538498
of,0.33290785551071167,0.2900311052799225,0.25979894399642944,0.5052502155303955,0.3096220791339874,0.20310284197330475,0.2115241438150406,0.5696388483047485,0.23709416389465332,0.733189046382904,0.30231305956840515,0.21533280611038208,0.1826142966747284
intrinsic,0.38694334030151367,0.4032326936721802,0.38609597086906433,0.3273248076438904,0.3532276153564453,0.17829297482967377,0.3175206184387207,0.2619728147983551,0.2888181507587433,0.31427040696144104,0.25922173261642456,0.32867544889450073,0.2300206422805786
motivation,0.3632064461708069,0.35729679465293884,0.31677985191345215,0.23439852893352509,0.22188913822174072,0.2838107943534851,0.3768172562122345,0.2138277292251587,0.3934975564479828,0.23248690366744995,0.20869804918766022,0.3614577054977417,0.27532052993774414
.,0.3567904531955719,0.27493223547935486,0.267557293176651,0.50484299659729,0.2524722218513489,0.20994822680950165,0.2713910639286041,0.5591574311256409,0.24872951209545135,0.5934505462646484,0.2494649887084961,0.2536076307296753,0.4130953550338745
,what,might,cause,a,higher,student,interest,in,learning,the,presented,subject,?
