,what,alumni,was,also,obama,'s,campaign,adviser,?
notable,0.31026893854141235,0.3171335458755493,0.175777867436409,0.2548656165599823,0.15000754594802856,0.003200544510036707,0.09540794044733047,0.07848772406578064,0.31928157806396484
alumni,0.11965817958116531,1.0,0.1874379962682724,0.22353194653987885,0.17556826770305634,-0.06908487528562546,0.18223287165164948,0.22851958870887756,0.130934476852417
in,0.30808621644973755,0.2126772403717041,0.45514053106307983,0.5073733329772949,0.21482840180397034,-0.037580832839012146,0.2438942790031433,0.24729514122009277,0.20430970191955566
the,0.42745697498321533,0.22524002194404602,0.48711544275283813,0.6021018624305725,0.21614792943000793,-0.01540423184633255,0.2755736708641052,0.29508960247039795,0.22068053483963013
field,0.1825202852487564,0.1163143739104271,0.15975919365882874,0.20099256932735443,0.1048610508441925,0.07850787043571472,0.12868015468120575,0.17002934217453003,0.11279727518558502
of,0.33290785551071167,0.27771928906440735,0.4069072902202606,0.4924938678741455,0.17125636339187622,-0.03817026689648628,0.23278115689754486,0.3056378960609436,0.1826142966747284
government,0.28074538707733154,0.17043203115463257,0.2995857298374176,0.262620747089386,0.23588670790195465,0.00033092309604398906,0.2730279564857483,0.34438273310661316,0.18851417303085327
and,0.31309178471565247,0.19591780006885529,0.3740963041782379,0.5755972862243652,0.22087924182415009,0.06895173341035843,0.20802859961986542,0.3244858980178833,0.20544172823429108
politics,0.2674756944179535,0.25428542494773865,0.2428772896528244,0.22910742461681366,0.31105300784111023,-0.0040336716920137405,0.31499481201171875,0.36769044399261475,0.16389669477939606
include,0.1535889357328415,0.17035536468029022,0.10680413991212845,0.4212084710597992,0.14113980531692505,-0.07849370688199997,0.05234590917825699,0.20700973272323608,0.14925788342952728
the,0.42745697498321533,0.22524002194404602,0.48711544275283813,0.6021018624305725,0.21614792943000793,-0.01540423184633255,0.2755736708641052,0.29508960247039795,0.22068053483963013
founder,0.14688730239868164,0.2159617841243744,0.3223331570625305,0.23570314049720764,0.10142134875059128,-0.033734891563653946,0.1758078783750534,0.35595306754112244,0.13665783405303955
of,0.33290785551071167,0.27771928906440735,0.4069072902202606,0.4924938678741455,0.17125636339187622,-0.03817026689648628,0.23278115689754486,0.3056378960609436,0.1826142966747284
modern,0.2655639946460724,0.11265353113412857,0.23571695387363434,0.29002171754837036,0.1673887073993683,0.03816800191998482,0.10214243084192276,0.16995351016521454,0.12475407868623734
community,0.29032719135284424,0.16208600997924805,0.2025771290063858,0.24745750427246094,0.21134446561336517,0.020855724811553955,0.22255004942417145,0.2589614689350128,0.2380419820547104
organizing,0.25591719150543213,0.22985877096652985,0.21937614679336548,0.25268712639808655,0.17196960747241974,0.06600023806095123,0.3205524981021881,0.2786596715450287,0.14538010954856873
saul,0.2770378589630127,0.18812140822410583,0.25737234950065613,0.23571406304836273,0.2314469814300537,0.003955215681344271,0.1805579662322998,0.3054329752922058,0.19444164633750916
alinsky,0.14602021872997284,0.11553630977869034,0.23127354681491852,0.15200525522232056,0.21239924430847168,0.04057097062468529,0.07504139840602875,0.21469679474830627,0.13827551901340485
",",0.3087472915649414,0.2394251972436905,0.45456063747406006,0.4717654287815094,0.2304023802280426,-0.0016132977325469255,0.18021923303604126,0.3072994351387024,0.31091248989105225
obama,0.1679007112979889,0.17556826770305634,0.2369607388973236,0.243915855884552,1.0,-0.030492741614580154,0.3719087839126587,0.3320646286010742,0.2326410561800003
campaign,0.22158007323741913,0.18223287165164948,0.2556212544441223,0.23032592236995697,0.3719087839126587,0.051238369196653366,0.9999999403953552,0.3666313588619232,0.162482351064682
advisor,0.1469605714082718,0.19027747213840485,0.3046267628669739,0.19909381866455078,0.2899581789970398,-0.024858558550477028,0.2528378367424011,0.7495940923690796,0.0939842164516449
and,0.31309178471565247,0.19591780006885529,0.3740963041782379,0.5755972862243652,0.22087924182415009,0.06895173341035843,0.20802859961986542,0.3244858980178833,0.20544172823429108
