,what,is,a,regulatory,factor,produced,by,macrophages,?
macrophages,0.19924452900886536,0.1379891186952591,0.22611775994300842,0.3897586166858673,0.27690809965133667,0.1828783005475998,0.16069787740707397,0.9999998807907104,0.1323275864124298
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.28038227558135986,0.20784606039524078,0.1927390992641449,0.37842893600463867,0.28890976309776306,0.24591213464736938
versatile,0.2270461618900299,0.23112580180168152,0.27757611870765686,0.1878492683172226,0.17766788601875305,0.19620461761951447,0.22382861375808716,0.1938581019639969,0.20499899983406067
cells,0.1758001297712326,0.1644774079322815,0.2297232300043106,0.4081142246723175,0.26238206028938293,0.2253560572862625,0.19208736717700958,0.6527060270309448,0.1898086667060852
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.29304689168930054,0.3071557879447937,0.2527473568916321,0.37496164441108704,0.2726830542087555,0.32716336846351624
reside,0.1859034299850464,0.2582954466342926,0.2466427981853485,0.1275661587715149,0.07654478400945663,0.11690113693475723,0.18782693147659302,0.14226828515529633,0.09125953167676926
within,0.2498195916414261,0.30135563015937805,0.3858051896095276,0.3385150134563446,0.22988012433052063,0.12822668254375458,0.28621017932891846,0.20853930711746216,0.1870293766260147
tissues,0.22605282068252563,0.19952771067619324,0.22599223256111145,0.45328566431999207,0.3369583785533905,0.1976606696844101,0.18590153753757477,0.6381704807281494,0.17531797289848328
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.24779881536960602,0.26250919699668884,0.24455034732818604,0.4289871156215668,0.22197960317134857,0.20544172823429108
produce,0.1685742735862732,0.26456785202026367,0.2757846415042877,0.296712726354599,0.3178369104862213,0.657219648361206,0.2717679440975189,0.3384251594543457,0.19229066371917725
a,0.3320399522781372,0.658733606338501,1.0,0.24675540626049042,0.2596903145313263,0.21993228793144226,0.32094135880470276,0.22611775994300842,0.23916715383529663
wide,0.22181174159049988,0.22456400096416473,0.301088809967041,0.20244191586971283,0.1463184356689453,0.19183187186717987,0.17939458787441254,0.2145722508430481,0.12719376385211945
array,0.2076577991247177,0.2009270042181015,0.2241743952035904,0.20706094801425934,0.17620907723903656,0.10850103944540024,0.1607283502817154,0.2826925218105316,0.18988128006458282
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.2973358929157257,0.2744791805744171,0.18961067497730255,0.3646814823150635,0.20691213011741638,0.1826142966747284
chemicals,0.2750064730644226,0.23828648030757904,0.2136334478855133,0.3524322807788849,0.3160814046859741,0.27718955278396606,0.2533034086227417,0.4673784673213959,0.23402409255504608
including,0.18328791856765747,0.25093933939933777,0.21045410633087158,0.24892093241214752,0.14842985570430756,0.25659623742103577,0.30155983567237854,0.20159834623336792,0.1633303165435791
enzymes,0.21391288936138153,0.17864304780960083,0.22553952038288116,0.4592280983924866,0.3658256530761719,0.24175876379013062,0.22094281017780304,0.603578507900238,0.19847454130649567
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.22209395468235016,0.22944624722003937,0.22260788083076477,0.3680937886238098,0.19111043214797974,0.31091248989105225
complement,0.2655338943004608,0.3472212851047516,0.36002278327941895,0.41178643703460693,0.33101511001586914,0.14646358788013458,0.20635931193828583,0.3344130516052246,0.11208028346300125
proteins,0.21361225843429565,0.2132607400417328,0.23701471090316772,0.4674043655395508,0.32690170407295227,0.22973638772964478,0.2186184525489807,0.639126718044281,0.18469302356243134
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.22209395468235016,0.22944624722003937,0.22260788083076477,0.3680937886238098,0.19111043214797974,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.24779881536960602,0.26250919699668884,0.24455034732818604,0.4289871156215668,0.22197960317134857,0.20544172823429108
regulatory,0.22797027230262756,0.2255418300628662,0.24675540626049042,0.9999998807907104,0.2936944365501404,0.22377356886863708,0.2127581238746643,0.3897586166858673,0.13720278441905975
factors,0.2665930688381195,0.23428019881248474,0.19412465393543243,0.420946329832077,0.6960695385932922,0.25605136156082153,0.2710462212562561,0.3641323149204254,0.2019491046667099
such,0.23989605903625488,0.23545363545417786,0.2706976532936096,0.32125261425971985,0.2149137407541275,0.20420248806476593,0.2736194431781769,0.24515824019908905,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.2497977763414383,0.20630136132240295,0.2437988519668579,0.3815547823905945,0.16395112872123718,0.27043893933296204
interleukin,0.2599661946296692,0.32074835896492004,0.36248305439949036,0.533521294593811,0.36328038573265076,0.24672570824623108,0.21163895726203918,0.48681727051734924,0.21491824090480804
1,-0.21266892552375793,-0.12491171807050705,-0.20817746222019196,-0.24136167764663696,-0.2330896407365799,-0.21285033226013184,-0.2582099735736847,-0.17744065821170807,-0.249979168176651
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.24290233850479126,0.25708669424057007,0.2634154260158539,0.3936232924461365,0.19362133741378784,0.4130953550338745
