,what,is,the,axis,of,warsaw,which,divides,it,into,two,parts,?
the,0.42745697498321533,0.5823672413825989,1.0,0.23150810599327087,0.733189046382904,0.23137180507183075,0.6521818041801453,0.3740270137786865,0.6251175999641418,0.39493247866630554,0.43858039379119873,0.4042440354824066,0.22068053483963013
vistula,0.20743709802627563,0.2513207197189331,0.36214977502822876,0.32088014483451843,0.2898311913013458,0.43355974555015564,0.2457333356142044,0.3216790556907654,0.2874321937561035,0.27587631344795227,0.19042859971523285,0.30668652057647705,0.1677311211824417
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.16918788850307465,0.19903257489204407,0.10622203350067139,0.25416892766952515,0.28331097960472107,0.24976809322834015,0.20569592714309692,0.1491219401359558,0.20287425816059113,0.15390869975090027
is,0.28837618231773376,1.0,0.5823672413825989,0.14093679189682007,0.4854315221309662,0.09741193056106567,0.4457404911518097,0.3161165714263916,0.6328473687171936,0.2619607150554657,0.2315155267715454,0.330430269241333,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.23150810599327087,0.733189046382904,0.23137180507183075,0.6521818041801453,0.3740270137786865,0.6251175999641418,0.39493247866630554,0.43858039379119873,0.4042440354824066,0.22068053483963013
specific,0.37695175409317017,0.27748769521713257,0.3501757085323334,0.18422451615333557,0.2744234502315521,0.10917828977108002,0.4594242572784424,0.1860501617193222,0.29294973611831665,0.17039009928703308,0.25271937251091003,0.1784624457359314,0.30923372507095337
axis,0.21811966598033905,0.14093679189682007,0.23150810599327087,1.0,0.18810029327869415,0.2162119746208191,0.22446614503860474,0.2785997688770294,0.18366673588752747,0.1453476846218109,0.2184392213821411,0.1635637730360031,0.13060714304447174
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.18810029327869415,1.0,0.19253842532634735,0.5011631846427917,0.3720552325248718,0.38761502504348755,0.32255905866622925,0.37726253271102905,0.3379773199558258,0.1826142966747284
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.2162119746208191,0.19253842532634735,1.0,0.16906329989433289,0.1305522471666336,0.1582006961107254,0.14310334622859955,0.14516781270503998,0.10380291193723679,0.09769917279481888
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.1786881983280182,0.4946078956127167,0.25300899147987366,0.3658004403114319,0.23782670497894287,0.48329564929008484,0.2826121151447296,0.35859420895576477,0.2964099943637848,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.22446614503860474,0.5011631846427917,0.16906329989433289,1.0,0.39945679903030396,0.616637647151947,0.4405161738395691,0.4674137234687805,0.402177631855011,0.25814583897590637
divides,0.20584960281848907,0.3161165714263916,0.3740270137786865,0.2785997688770294,0.3720552325248718,0.1305522471666336,0.39945679903030396,1.0,0.275925874710083,0.5192254185676575,0.362923264503479,0.39857640862464905,0.11238449811935425
the,0.42745697498321533,0.5823672413825989,1.0,0.23150810599327087,0.733189046382904,0.23137180507183075,0.6521818041801453,0.3740270137786865,0.6251175999641418,0.39493247866630554,0.43858039379119873,0.4042440354824066,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.15730969607830048,0.32503411173820496,0.25006377696990967,0.22264601290225983,0.21487610042095184,0.3001909852027893,0.1861938089132309,0.17386646568775177,0.20630832016468048,0.13423943519592285
into,0.2180619090795517,0.2619607150554657,0.39493247866630554,0.1453476846218109,0.32255905866622925,0.14310334622859955,0.4405161738395691,0.5192254185676575,0.33015328645706177,1.0,0.34175926446914673,0.3835471272468567,0.15662476420402527
two,0.23363454639911652,0.2315155267715454,0.43858039379119873,0.2184392213821411,0.37726253271102905,0.14516781270503998,0.4674137234687805,0.362923264503479,0.28080877661705017,0.34175926446914673,1.0000001192092896,0.29593268036842346,0.19645625352859497
parts,0.3415631353855133,0.330430269241333,0.4042440354824066,0.1635637730360031,0.3379773199558258,0.10380291193723679,0.402177631855011,0.39857640862464905,0.39777734875679016,0.3835471272468567,0.29593268036842346,1.0,0.12310896813869476
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.1786881983280182,0.4946078956127167,0.25300899147987366,0.3658004403114319,0.23782670497894287,0.48329564929008484,0.2826121151447296,0.35859420895576477,0.2964099943637848,0.31091248989105225
left,0.2442072629928589,0.15889094769954681,0.33113980293273926,0.2066461592912674,0.2218635529279709,0.14178718626499176,0.22905652225017548,0.1452379822731018,0.16717396676540375,0.18516983091831207,0.2500832974910736,0.17458999156951904,0.13251960277557373
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2344464212656021,0.5116966962814331,0.2083624005317688,0.506277859210968,0.26008322834968567,0.40957894921302795,0.36597734689712524,0.4671151638031006,0.3901200294494629,0.20544172823429108
right,0.38502591848373413,0.22718656063079834,0.33901116251945496,0.268231064081192,0.22473211586475372,0.11199203878641129,0.29368749260902405,0.15230178833007812,0.22345982491970062,0.1703392118215561,0.23029573261737823,0.1811133474111557,0.27135515213012695
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.21695998311042786,0.5352458953857422,0.26825499534606934,0.45942068099975586,0.2201136201620102,0.5593622326850891,0.26250120997428894,0.3524959683418274,0.30755549669265747,0.4130953550338745
