,why,was,the,36,acres,leased,?
one,0.37620118260383606,0.3752199709415436,0.5514441132545471,-0.12875738739967346,0.17714782059192657,0.20621222257614136,0.2673267424106598
of,0.28464117646217346,0.4069072902202606,0.733189046382904,-0.08931336551904678,0.17438827455043793,0.2433365434408188,0.1826142966747284
the,0.30742117762565613,0.48711544275283813,1.0,-0.13033781945705414,0.1636062115430832,0.2602766454219818,0.22068053483963013
most,0.32689353823661804,0.29933857917785645,0.47635307908058167,-0.07477118819952011,0.12938857078552246,0.20611394941806793,0.2107497900724411
high,0.1454300731420517,0.19978567957878113,0.28034812211990356,0.034504298120737076,0.14710994064807892,0.18914783000946045,0.11137914657592773
profile,0.10296785086393356,0.15644729137420654,0.18867962062358856,-0.021734686568379402,0.032893020659685135,0.10628076642751694,0.13535112142562866
decisions,0.2680512070655823,0.18396079540252686,0.30538004636764526,-0.09283776581287384,0.12342940270900726,0.2476058155298233,0.29068708419799805
in,0.23227278888225555,0.45514053106307983,0.6662389636039734,-0.07270114123821259,0.1980547159910202,0.273445188999176,0.20430970191955566
recent,0.29578444361686707,0.2536894679069519,0.31046223640441895,-0.07826527208089828,0.2026785910129547,0.1319665014743805,0.2544887959957123
years,0.2000180333852768,0.35855233669281006,0.2912273406982422,-0.1335059553384781,0.2678851783275604,0.23656854033470154,0.1914375126361847
by,0.19170543551445007,0.4752357602119446,0.4408751428127289,-0.17540811002254486,0.1931656002998352,0.3151565194129944,0.17966607213020325
one,0.37620118260383606,0.3752199709415436,0.5514441132545471,-0.12875738739967346,0.17714782059192657,0.20621222257614136,0.2673267424106598
of,0.28464117646217346,0.4069072902202606,0.733189046382904,-0.08931336551904678,0.17438827455043793,0.2433365434408188,0.1826142966747284
the,0.30742117762565613,0.48711544275283813,1.0,-0.13033781945705414,0.1636062115430832,0.2602766454219818,0.22068053483963013
councils,0.11649496853351593,0.21094579994678497,0.26719751954078674,0.018925568088889122,0.17513000965118408,0.2704307436943054,0.11664968729019165
was,0.23341619968414307,1.0000001192092896,0.48711544275283813,-0.17483988404273987,0.18706703186035156,0.37823230028152466,0.18412111699581146
a,0.2667238116264343,0.4508470594882965,0.5829201340675354,-0.138885498046875,0.18753887712955475,0.21940630674362183,0.23916715383529663
decision,0.274055540561676,0.25498270988464355,0.2905151844024658,-0.10845548659563065,0.0782388374209404,0.22311073541641235,0.2796577215194702
by,0.19170543551445007,0.4752357602119446,0.4408751428127289,-0.17540811002254486,0.1931656002998352,0.3151565194129944,0.17966607213020325
the,0.30742117762565613,0.48711544275283813,1.0,-0.13033781945705414,0.1636062115430832,0.2602766454219818,0.22068053483963013
mission,0.16857634484767914,0.20951420068740845,0.22673439979553223,-0.06755939871072769,0.15554077923297882,0.23120158910751343,0.19506393373012543
council,0.10221115499734879,0.23921515047550201,0.2829204201698303,0.041358161717653275,0.14341697096824646,0.24265338480472565,0.1160062924027443
of,0.28464117646217346,0.4069072902202606,0.733189046382904,-0.08931336551904678,0.17438827455043793,0.2433365434408188,0.1826142966747284
the,0.30742117762565613,0.48711544275283813,1.0,-0.13033781945705414,0.1636062115430832,0.2602766454219818,0.22068053483963013
south,0.09886185824871063,0.2792486846446991,0.3129390776157379,0.028202837333083153,0.24482136964797974,0.2505098581314087,0.12336621433496475
central,0.1565958857536316,0.21519865095615387,0.3417201042175293,0.027281085029244423,0.18256734311580658,0.19651998579502106,0.14787602424621582
