,what,describes,the,proportionality,of,acceleration,to,force,and,mass,?
newton,0.20841743052005768,0.19443628191947937,0.1876603662967682,0.22053182125091553,0.18479612469673157,0.39437049627304077,0.2176830768585205,0.28017669916152954,0.22255054116249084,0.3224262297153473,0.09645649790763855
's,0.02692362666130066,0.027879513800144196,-0.01540423184633255,0.008905033580958843,-0.03817026689648628,-0.017094241455197334,0.03782717138528824,0.020782919600605965,0.06895173341035843,0.022538112476468086,-0.023395681753754616
second,0.19948028028011322,0.18805564939975739,0.4620301127433777,0.1509496569633484,0.353416383266449,0.28534427285194397,0.3098561465740204,0.2222973257303238,0.2743909955024719,0.18355771899223328,0.17239587008953094
law,0.2145031988620758,0.14780879020690918,0.24548950791358948,0.2840154469013214,0.2816956341266632,0.26051104068756104,0.259207159280777,0.23490524291992188,0.254730761051178,0.17222243547439575,0.1528988480567932
asserts,0.2919406294822693,0.33230745792388916,0.26400792598724365,0.24122555553913116,0.2932989299297333,0.28545472025871277,0.2540214955806732,0.1887911856174469,0.1499653160572052,0.18966522812843323,0.2607457637786865
the,0.42745697498321533,0.30593109130859375,1.0,0.2545052170753479,0.733189046382904,0.29868006706237793,0.535392165184021,0.2800885736942291,0.5171257257461548,0.2284930944442749,0.22068053483963013
direct,0.26271191239356995,0.19619256258010864,0.3262479901313782,0.2433432936668396,0.2533726394176483,0.18885156512260437,0.3420579433441162,0.13601405918598175,0.25874996185302734,0.1470959633588791,0.18476411700248718
proportionality,0.25857412815093994,0.17313212156295776,0.2545052170753479,1.0,0.25016435980796814,0.35588881373405457,0.2812267243862152,0.25318482518196106,0.2817355990409851,0.30468884110450745,0.22919641435146332
of,0.33290785551071167,0.33623746037483215,0.733189046382904,0.25016435980796814,1.0,0.27446165680885315,0.41548454761505127,0.27094775438308716,0.5116966962814331,0.26915112137794495,0.1826142966747284
acceleration,0.2983599901199341,0.238576278090477,0.29868006706237793,0.35588881373405457,0.27446165680885315,1.0,0.2787705063819885,0.4348186254501343,0.2636891305446625,0.44826188683509827,0.16905567049980164
to,0.455847829580307,0.23831379413604736,0.535392165184021,0.2812267243862152,0.41548454761505127,0.2787705063819885,1.0,0.24496492743492126,0.48971283435821533,0.20907121896743774,0.29463258385658264
force,0.16915984451770782,0.22680142521858215,0.2800885736942291,0.25318482518196106,0.27094775438308716,0.4348186254501343,0.24496492743492126,1.0000001192092896,0.24372100830078125,0.26299312710762024,0.1650998443365097
and,0.31309178471565247,0.24532921612262726,0.5171257257461548,0.2817355990409851,0.5116966962814331,0.2636891305446625,0.48971283435821533,0.24372100830078125,1.0,0.21843883395195007,0.20544172823429108
the,0.42745697498321533,0.30593109130859375,1.0,0.2545052170753479,0.733189046382904,0.29868006706237793,0.535392165184021,0.2800885736942291,0.5171257257461548,0.2284930944442749,0.22068053483963013
inverse,0.18740041553974152,0.2865132689476013,0.1972402185201645,0.36508041620254517,0.22207649052143097,0.4796329140663147,0.1778864860534668,0.30792978405952454,0.15248511731624603,0.2503984272480011,0.11542194336652756
proportionality,0.25857412815093994,0.17313212156295776,0.2545052170753479,1.0,0.25016435980796814,0.35588881373405457,0.2812267243862152,0.25318482518196106,0.2817355990409851,0.30468884110450745,0.22919641435146332
of,0.33290785551071167,0.33623746037483215,0.733189046382904,0.25016435980796814,1.0,0.27446165680885315,0.41548454761505127,0.27094775438308716,0.5116966962814331,0.26915112137794495,0.1826142966747284
acceleration,0.2983599901199341,0.238576278090477,0.29868006706237793,0.35588881373405457,0.27446165680885315,1.0,0.2787705063819885,0.4348186254501343,0.2636891305446625,0.44826188683509827,0.16905567049980164
to,0.455847829580307,0.23831379413604736,0.535392165184021,0.2812267243862152,0.41548454761505127,0.2787705063819885,1.0,0.24496492743492126,0.48971283435821533,0.20907121896743774,0.29463258385658264
mass,0.23905135691165924,0.21361570060253143,0.2284930944442749,0.30468884110450745,0.26915112137794495,0.44826188683509827,0.20907121896743774,0.26299312710762024,0.21843883395195007,1.0000001192092896,0.2076406031847
.,0.3567904531955719,0.17289398610591888,0.5934505462646484,0.25444185733795166,0.5352458953857422,0.23019209504127502,0.4645031690597534,0.2783275842666626,0.588965117931366,0.25224974751472473,0.4130953550338745
