,besides,drugs,",",what,else,do,specialty,pharmacies,provide,?
in,0.3447916507720947,0.18405058979988098,0.5201468467712402,0.30808621644973755,0.22759012877941132,0.23402775824069977,0.3128163814544678,0.23778970539569855,0.1910654902458191,0.20430970191955566
addition,0.4132236838340759,0.15313108265399933,0.3040202856063843,0.20643717050552368,0.23305504024028778,0.2532966136932373,0.32763606309890747,0.24797014892101288,0.41230401396751404,0.19187232851982117
to,0.3272998631000519,0.2537701725959778,0.44245919585227966,0.455847829580307,0.36551961302757263,0.38876664638519287,0.20809465646743774,0.22669687867164612,0.3479624092578888,0.29463258385658264
supplying,0.22881479561328888,0.3111533224582672,0.2699131369590759,0.26363927125930786,0.2789810299873352,0.27536189556121826,0.24528610706329346,0.3185123801231384,0.4432523846626282,0.1387658268213272
these,0.4513048827648163,0.32850316166877747,0.37613096833229065,0.4164220690727234,0.23816196620464325,0.4402875602245331,0.3173809051513672,0.33823999762535095,0.36527666449546814,0.2571668326854706
drugs,0.24188996851444244,1.0000001192092896,0.1834760159254074,0.27091342210769653,0.2663469910621643,0.2335958033800125,0.2676151692867279,0.4796299636363983,0.19036662578582764,0.15436270833015442
",",0.340058833360672,0.1834760159254074,1.0000001192092896,0.3087472915649414,0.2643522322177887,0.3283645510673523,0.2334180772304535,0.2212837040424347,0.20966707170009613,0.31091248989105225
specialty,0.3100462555885315,0.2676151692867279,0.2334180772304535,0.23895853757858276,0.14008919894695282,0.22521932423114777,0.9999999403953552,0.441009521484375,0.3092314302921295,0.21990764141082764
pharmacies,0.2938293516635895,0.4796299636363983,0.2212837040424347,0.21324466168880463,0.18279866874217987,0.26694825291633606,0.441009521484375,1.0000001192092896,0.2698832154273987,0.13542459905147552
also,0.5080614686012268,0.31450721621513367,0.4717654287815094,0.42747777700424194,0.27389147877693176,0.36242780089378357,0.3486883342266083,0.33813580870628357,0.33391767740249634,0.21848613023757935
provide,0.2841664254665375,0.19036662578582764,0.20966707170009613,0.27049049735069275,0.22341489791870117,0.36434707045555115,0.3092314302921295,0.2698832154273987,1.0,0.22704634070396423
