,what,does,the,bolinopsis,generally,eat,?
members,0.16873176395893097,0.1685360074043274,0.3321719169616699,0.2445135861635208,0.21973128616809845,0.22144970297813416,0.10212311148643494
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2749621868133545,0.3127037584781647,0.22818823158740997,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.2545052766799927,0.41466525197029114,0.23500721156597137,0.22068053483963013
cydippid,0.2701593041419983,0.24734096229076385,0.3269699513912201,0.5133748650550842,0.3007059097290039,0.3250446021556854,0.2854539453983307
genus,0.10777679085731506,0.10442173480987549,0.17396312952041626,0.5030930638313293,0.21182134747505188,0.26756009459495544,0.1421816647052765
pleurobrachia,0.22535713016986847,0.2091282606124878,0.3389502763748169,0.5745725631713867,0.25774943828582764,0.3697979748249054,0.2196917086839676
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.21920868754386902,0.4087323546409607,0.27494877576828003,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,1.0,0.2545052766799927,0.41466525197029114,0.23500721156597137,0.22068053483963013
lobate,0.13943614065647125,0.18772383034229279,0.21231882274150848,0.4624003767967224,0.2392202764749527,0.40779247879981995,0.20714280009269714
bolinopsis,0.27379971742630005,0.23297978937625885,0.2545052766799927,1.0,0.20838597416877747,0.29866355657577515,0.27247336506843567
often,0.3849453330039978,0.33894720673561096,0.38004449009895325,0.1959075778722763,0.6262778043746948,0.2936496436595917,0.23748154938220978
reach,0.23399507999420166,0.20191240310668945,0.31808504462242126,0.2295350283384323,0.26914745569229126,0.25346916913986206,0.13152138888835907
high,0.20466077327728271,0.2028418332338333,0.28034812211990356,0.09779462218284607,0.25211024284362793,0.137883260846138,0.11137914657592773
population,0.2000674307346344,0.14702445268630981,0.32044094800949097,0.22016167640686035,0.17688444256782532,0.14903829991817474,0.14449454843997955
densities,0.21126188337802887,0.28816190361976624,0.3089677393436432,0.19576576352119446,0.3414422571659088,0.21051029860973358,0.16703388094902039
at,0.2838611304759979,0.17465277016162872,0.457212895154953,0.21581214666366577,0.23514722287654877,0.1896180361509323,0.21978627145290375
the,0.42745697498321533,0.35928019881248474,1.0,0.2545052766799927,0.41466525197029114,0.23500721156597137,0.22068053483963013
same,0.3764382302761078,0.36572811007499695,0.4583131968975067,0.210385262966156,0.35438066720962524,0.21151475608348846,0.22649677097797394
