,what,influence,did,al,banna,wish,to,eliminate,from,the,muslim,world,?
like,0.4320242702960968,0.2986277639865875,0.40502431988716125,0.1450311243534088,0.179734468460083,0.3534972369670868,0.35482415556907654,0.20736630260944366,0.28165748715400696,0.32912567257881165,0.11656530946493149,0.2394198477268219,0.3268813192844391
maududi,0.19404585659503937,0.2965180277824402,0.2033180296421051,0.4185284972190857,0.441745787858963,0.19301867485046387,0.26131707429885864,0.14021849632263184,0.1680707335472107,0.30155912041664124,0.4165809750556946,0.26699888706207275,0.2149532437324524
",",0.3087472915649414,0.2585834860801697,0.3015086054801941,0.2532980442047119,0.3049179017543793,0.22699971497058868,0.44245919585227966,0.2086649388074875,0.39760664105415344,0.4933079481124878,0.21974200010299683,0.26091980934143066,0.31091248989105225
al,0.12860317528247833,0.12184350192546844,0.12016157805919647,1.0000001192092896,0.3574194610118866,0.15979599952697754,0.1668710708618164,0.10822071880102158,0.1406572163105011,0.18736925721168518,0.3999010920524597,0.11520940065383911,0.12356415390968323
banna,0.18822264671325684,0.15741796791553497,0.14116258919239044,0.3574194610118866,1.0000001192092896,0.23012878000736237,0.10795233398675919,0.11439508199691772,0.1506422460079193,0.17585872113704681,0.39479613304138184,0.06538287550210953,0.2517823874950409
believed,0.32626157999038696,0.3348359763622284,0.3807709813117981,0.1548067182302475,0.2365797907114029,0.25903305411338806,0.35322412848472595,0.16745012998580933,0.24962472915649414,0.324635773897171,0.24337656795978546,0.24494338035583496,0.17606885731220245
in,0.30808621644973755,0.26119694113731384,0.2593238651752472,0.16433529555797577,0.13447953760623932,0.16469073295593262,0.45010748505592346,0.1258598268032074,0.4274188280105591,0.6662389636039734,0.2092999517917633,0.3038199245929718,0.20430970191955566
the,0.42745697498321533,0.3039984107017517,0.34736719727516174,0.18736925721168518,0.17585872113704681,0.25205081701278687,0.535392165184021,0.21384422481060028,0.40150508284568787,1.0,0.28099653124809265,0.33604270219802856,0.22068053483963013
necessity,0.3584839403629303,0.28885263204574585,0.26634323596954346,0.15897680819034576,0.02464190684258938,0.24693581461906433,0.2749207615852356,0.23563675582408905,0.20270590484142303,0.303897887468338,0.1999228298664093,0.12056872993707657,0.20659345388412476
of,0.33290785551071167,0.3608979284763336,0.2513895630836487,0.16977949440479279,0.1825370490550995,0.1985756903886795,0.41548454761505127,0.19337162375450134,0.4249346852302551,0.733189046382904,0.267849862575531,0.2828933000564575,0.1826142966747284
government,0.28074538707733154,0.28718364238739014,0.2792121469974518,0.11731982231140137,0.2084672898054123,0.19694729149341583,0.28343796730041504,0.16572770476341248,0.16793464124202728,0.31798112392425537,0.28737956285476685,0.17855651676654816,0.18851417303085327
rule,0.30539435148239136,0.28982943296432495,0.2618204951286316,0.14287932217121124,0.25681960582733154,0.2349136918783188,0.2587790787220001,0.19962729513645172,0.17678074538707733,0.29894936084747314,0.2771655023097992,0.11453871428966522,0.1955260932445526
based,0.274813175201416,0.31212118268013,0.15722841024398804,0.0955946072936058,0.12862586975097656,0.2175622582435608,0.19629007577896118,0.10259179770946503,0.25130078196525574,0.29860720038414,0.11850380897521973,0.18396204710006714,0.134929820895195
on,0.34226128458976746,0.22494085133075714,0.2670976221561432,0.17574776709079742,0.13125185668468475,0.2103099375963211,0.41031414270401,0.13727383315563202,0.36926645040512085,0.5107308030128479,0.13839669525623322,0.22789059579372406,0.2714994251728058
shariah,0.3251657783985138,0.15147823095321655,0.24506065249443054,0.38103190064430237,0.35948923230171204,0.3200570344924927,0.24719826877117157,0.1988152414560318,0.12828406691551208,0.20490579307079315,0.4468938708305359,0.18666920065879822,0.23817706108093262
law,0.2145031988620758,0.24524737894535065,0.2238171398639679,0.15418396890163422,0.20157036185264587,0.15042172372341156,0.259207159280777,0.1732083112001419,0.19070591032505035,0.24548950791358948,0.2826167345046997,0.1254916936159134,0.1528988480567932
implemented,0.2723406255245209,0.2693324387073517,0.23925752937793732,0.10449820011854172,0.11671329289674759,0.2844531238079071,0.27309197187423706,0.28126588463783264,0.10368988662958145,0.21611113846302032,0.19480174779891968,0.1435844749212265,0.27067989110946655
gradually,0.29329201579093933,0.4117472469806671,0.2431744784116745,0.1452067494392395,0.03752415254712105,0.210250586271286,0.34974226355552673,0.15049150586128235,0.2849943935871124,0.3209700584411621,0.26441535353660583,0.20663860440254211,0.09310194849967957
and,0.31309178471565247,0.34756016731262207,0.34479495882987976,0.20678658783435822,0.1750514805316925,0.2785267233848572,0.48971283435821533,0.1636992245912552,0.3601827025413513,0.5171257257461548,0.255716472864151,0.3246132433414459,0.20544172823429108
by,0.2455483376979828,0.29864758253097534,0.18574509024620056,0.20025858283042908,0.1409701704978943,0.1697586327791214,0.33534231781959534,0.23033630847930908,0.3373257517814636,0.4408751428127289,0.18139012157917023,0.22306372225284576,0.17966607213020325
persuasion,0.3197644054889679,0.44966936111450195,0.3311334550380707,0.10212673246860504,0.25019726157188416,0.3735617399215698,0.31095001101493835,0.17278838157653809,0.16705729067325592,0.2438281774520874,0.24332880973815918,0.1340879648923874,0.23870232701301575
",",0.3087472915649414,0.2585834860801697,0.3015086054801941,0.2532980442047119,0.3049179017543793,0.22699971497058868,0.44245919585227966,0.2086649388074875,0.39760664105415344,0.4933079481124878,0.21974200010299683,0.26091980934143066,0.31091248989105225
and,0.31309178471565247,0.34756016731262207,0.34479495882987976,0.20678658783435822,0.1750514805316925,0.2785267233848572,0.48971283435821533,0.1636992245912552,0.3601827025413513,0.5171257257461548,0.255716472864151,0.3246132433414459,0.20544172823429108
