,how,much,of,warsaw,'s,population,was,jewish,?
all,0.3725806474685669,0.34814906120300293,0.42798417806625366,0.19292427599430084,0.03181743621826172,0.23259013891220093,0.23179835081100464,0.1565466672182083,0.29575422406196594
higher,0.2273179441690445,0.3946162462234497,0.3096220791339874,0.1268695890903473,-0.012609186582267284,0.20626245439052582,0.12998951971530914,0.07950273156166077,0.15679465234279633
education,0.12444977462291718,0.21445085108280182,0.3015166223049164,0.21010400354862213,0.0036171283572912216,0.28100940585136414,0.23187610507011414,0.22808386385440826,0.18067774176597595
institutions,0.2266826033592224,0.2015332132577896,0.3371490240097046,0.23714865744113922,-0.033028494566679,0.2625475227832794,0.20505627989768982,0.27870431542396545,0.19119486212730408
were,0.2082374095916748,0.25476184487342834,0.34038281440734863,0.18216076493263245,0.007088581565767527,0.17721828818321228,0.590133786201477,0.2040909379720688,0.17890112102031708
immediately,0.25842878222465515,0.22839230298995972,0.27121785283088684,0.1395266056060791,-0.04081517830491066,0.12242081761360168,0.28622254729270935,0.11705995351076126,0.21004259586334229
closed,0.18286913633346558,0.24234536290168762,0.15899594128131866,0.2339363396167755,0.008341489359736443,0.18840865790843964,0.260071724653244,0.16101612150669098,0.15595348179340363
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.2083624005317688,0.06895173341035843,0.23080337047576904,0.3740963041782379,0.22477500140666962,0.20544172823429108
warsaw,0.13025455176830292,0.10237699747085571,0.19253842532634735,1.0,0.02839025668799877,0.1863958090543747,0.2614976763725281,0.3298863470554352,0.09769917279481888
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,0.02839025668799877,0.9999999403953552,0.012951160781085491,0.008974763564765453,0.02666846662759781,-0.023395681753754616
entire,0.2951267957687378,0.3815971314907074,0.3766143023967743,0.07867182046175003,0.032588254660367966,0.25063297152519226,0.2562327980995178,0.20557908713817596,0.17068447172641754
jewish,0.16915147006511688,0.17168477177619934,0.14794707298278809,0.3298863470554352,0.02666846662759781,0.2111501693725586,0.2391509860754013,1.0,0.15521590411663055
population,0.1651063710451126,0.21015548706054688,0.3060894012451172,0.1863958090543747,0.012951160781085491,1.0,0.1935066133737564,0.2111501693725586,0.14449454843997955
–,0.13681066036224365,0.10622286051511765,0.2799985408782959,0.17540127038955688,0.02811010740697384,0.1142381951212883,0.30754852294921875,0.12178690731525421,0.2714554965496063
several,0.28568220138549805,0.2832532227039337,0.3271615505218506,0.12796232104301453,-0.012985157780349255,0.1403101682662964,0.25396689772605896,0.1328914612531662,0.15595775842666626
hundred,0.21416880190372467,0.2867515981197357,0.3473483920097351,0.0741775631904602,0.009796085767447948,0.21800832450389862,0.23643863201141357,0.12315070629119873,0.17378053069114685
thousand,0.22628572583198547,0.2921014726161957,0.254867285490036,0.0789446011185646,0.0878923088312149,0.28357023000717163,0.16078540682792664,0.12507493793964386,0.15439848601818085
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.25300899147987366,-0.0016132977325469255,0.2967977225780487,0.45456063747406006,0.23398083448410034,0.31091248989105225
some,0.4180530905723572,0.498896986246109,0.4300730526447296,0.1486753523349762,0.056411296129226685,0.2011595219373703,0.21528802812099457,0.13900890946388245,0.2562315762042999
30,-0.0035910264123231173,0.06179108843207359,0.003304550424218178,0.08779697865247726,-0.03394532576203346,-0.025897376239299774,0.08394331485033035,-0.024085165932774544,-0.08261742442846298
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.09878579527139664,0.031266406178474426,0.4585210084915161,0.11743833869695663,0.09837056696414948,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.19253842532634735,-0.03817026689648628,0.3060894012451172,0.4069072902202606,0.14794707298278809,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.23137180507183075,-0.01540423184633255,0.32044094800949097,0.48711544275283813,0.19492539763450623,0.22068053483963013
city,0.12024712562561035,0.16522060334682465,0.32503411173820496,0.25006377696990967,0.004406440537422895,0.4607829749584198,0.3188765048980713,0.2728252410888672,0.13423943519592285
–,0.13681066036224365,0.10622286051511765,0.2799985408782959,0.17540127038955688,0.02811010740697384,0.1142381951212883,0.30754852294921875,0.12178690731525421,0.2714554965496063
herded,0.18565599620342255,0.19677649438381195,0.23006558418273926,0.1444917619228363,0.07070008665323257,0.24666066467761993,0.26568686962127686,0.2595756947994232,0.14391517639160156
into,0.2303972691297531,0.24201840162277222,0.32255905866622925,0.14310334622859955,0.00961404386907816,0.1354193091392517,0.2322220653295517,0.16924844682216644,0.15662476420402527
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.23137180507183075,-0.01540423184633255,0.32044094800949097,0.48711544275283813,0.19492539763450623,0.22068053483963013
warsaw,0.13025455176830292,0.10237699747085571,0.19253842532634735,1.0,0.02839025668799877,0.1863958090543747,0.2614976763725281,0.3298863470554352,0.09769917279481888
ghetto,0.16272084414958954,0.1919572800397873,0.1721765398979187,0.3894329071044922,0.09824059903621674,0.2368999570608139,0.22030845284461975,0.42248719930648804,0.1595032513141632
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.26825499534606934,-0.003708066651597619,0.26950228214263916,0.40146201848983765,0.19860893487930298,0.4130953550338745
