,what,is,a,mechanism,that,can,help,plants,block,virus,replication,?
systemic,0.2481229603290558,0.21545711159706116,0.2539955675601959,0.3370164632797241,0.31232625246047974,0.32944151759147644,0.2563096284866333,0.2968589663505554,0.20145945250988007,0.3646843433380127,0.3538881540298462,0.21462444961071014
acquired,0.15010768175125122,0.10823270678520203,0.16495825350284576,0.20158939063549042,0.1898336112499237,0.17238271236419678,0.17419642210006714,0.1563841849565506,0.12678025662899017,0.22181235253810883,0.28381550312042236,0.09366346150636673
resistance,0.1382468044757843,0.1813587248325348,0.272881418466568,0.20858339965343475,0.19290149211883545,0.2320973426103592,0.32062050700187683,0.2237890511751175,0.18076547980308533,0.2100803703069687,0.2643466293811798,0.026361597701907158
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.12226717174053192,0.2264307141304016,0.22726960480213165,0.23475761711597443,0.18415141105651855,0.19340020418167114,0.1571875810623169,0.18586033582687378,0.40561532974243164
sar,0.074191614985466,0.20695729553699493,0.18563610315322876,0.07690878957509995,0.13037966191768646,0.20082595944404602,0.11215958744287491,0.187417671084404,0.19188421964645386,0.14991220831871033,0.125225231051445,0.08961006253957748
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.12516345083713531,0.23478686809539795,0.23216170072555542,0.24308834969997406,0.17061775922775269,0.20438170433044434,0.15241597592830658,0.1881430298089981,0.42300865054130554
is,0.28837618231773376,1.0,0.658733606338501,0.21533295512199402,0.3995479643344879,0.44256699085235596,0.152378648519516,0.2423158437013626,0.2306692898273468,0.18618540465831757,0.24308517575263977,0.22961433231830597
a,0.3320399522781372,0.658733606338501,1.0,0.2361949384212494,0.47537946701049805,0.3915780484676361,0.23381464183330536,0.21329157054424286,0.2515272796154022,0.23191167414188385,0.31485244631767273,0.23916715383529663
type,0.2722663879394531,0.3053323030471802,0.3813284635543823,0.2707477807998657,0.25817251205444336,0.33094167709350586,0.1797555685043335,0.21190354228019714,0.17057344317436218,0.23160970211029053,0.2700897753238678,0.17536182701587677
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.21395906805992126,0.41498205065727234,0.2603091299533844,0.22745388746261597,0.29386165738105774,0.1477721929550171,0.23710672557353973,0.2855279743671417,0.1826142966747284
defensive,0.16208940744400024,0.201126366853714,0.2169283777475357,0.2390468418598175,0.18809176981449127,0.13375617563724518,0.17670893669128418,0.21041357517242432,0.25819599628448486,0.1495559811592102,0.22134599089622498,0.1711898148059845
response,0.3532308340072632,0.21022158861160278,0.25924429297447205,0.400986909866333,0.3606419265270233,0.19982025027275085,0.3218093812465668,0.1561051905155182,0.21077898144721985,0.22141605615615845,0.3174310028553009,0.2007838636636734
used,0.27546408772468567,0.3288823366165161,0.3864384889602661,0.28362905979156494,0.37621384859085083,0.48128408193588257,0.3330858647823334,0.29238224029541016,0.21550416946411133,0.15522024035453796,0.27415701746940613,0.22430120408535004
by,0.2455483376979828,0.3899846076965332,0.32094135880470276,0.18317677080631256,0.37496164441108704,0.29642900824546814,0.2285822480916977,0.21003800630569458,0.13997070491313934,0.18439868092536926,0.24018588662147522,0.17966607213020325
plants,0.25144460797309875,0.2423158437013626,0.21329157054424286,0.2805750370025635,0.27574244141578674,0.2870660424232483,0.2180386334657669,1.0,0.16641362011432648,0.26432815194129944,0.31764528155326843,0.1473488062620163
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.29632803797721863,1.0,0.4522190988063812,0.34615394473075867,0.27574244141578674,0.3335796594619751,0.2604392468929291,0.30437397956848145,0.32716336846351624
renders,0.12966082990169525,0.1706986278295517,0.19926464557647705,0.1579655259847641,0.2130081057548523,0.2836652994155884,0.17603224515914917,0.1583201140165329,0.21294716000556946,0.12314459681510925,0.2795703411102295,0.12628787755966187
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.24941077828407288,0.5473989248275757,0.312528520822525,0.30064165592193604,0.29499560594558716,0.20056472718715668,0.2104095071554184,0.30478328466415405,0.22068053483963013
entire,0.37562522292137146,0.31832677125930786,0.3950728178024292,0.1782701164484024,0.40228042006492615,0.22104480862617493,0.20737749338150024,0.2485840916633606,0.20125439763069153,0.1482921540737152,0.2961297333240509,0.17068447172641754
plant,0.23371253907680511,0.2497083991765976,0.2010895311832428,0.2585262954235077,0.23316219449043274,0.20529979467391968,0.19059571623802185,0.8344468474388123,0.1421757936477661,0.25949954986572266,0.3072139024734497,0.16613075137138367
resistant,0.19214145839214325,0.18759800493717194,0.25282344222068787,0.25637710094451904,0.25851690769195557,0.31883299350738525,0.2830861210823059,0.36952975392341614,0.19456656277179718,0.2810317873954773,0.33021581172943115,0.0663314014673233
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.24238377809524536,0.5436353087425232,0.4979398250579834,0.46191298961639404,0.27162864804267883,0.30297139286994934,0.21253694593906403,0.2564338743686676,0.29463258385658264
a,0.3320399522781372,0.658733606338501,1.0,0.2361949384212494,0.47537946701049805,0.3915780484676361,0.23381464183330536,0.21329157054424286,0.2515272796154022,0.23191167414188385,0.31485244631767273,0.23916715383529663
particular,0.4548671245574951,0.3500361442565918,0.439316987991333,0.41028913855552673,0.506353497505188,0.4254632890224457,0.2564890682697296,0.24127207696437836,0.2733650803565979,0.21268948912620544,0.3556787073612213,0.2741454839706421
infectious,0.20024196803569794,0.2125958800315857,0.20229922235012054,0.26610061526298523,0.2307734489440918,0.2461337000131607,0.2609480917453766,0.304463267326355,0.13964423537254333,0.6143189668655396,0.4097953140735626,0.14836658537387848
agent,0.1053810864686966,0.21179664134979248,0.251655638217926,0.122955322265625,0.15939787030220032,0.22107672691345215,0.17648564279079437,0.15412184596061707,0.1446453481912613,0.23803620040416718,0.2400076687335968,0.13699154555797577
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.1935136765241623,0.4460422694683075,0.35783761739730835,0.32205137610435486,0.2542511522769928,0.24829226732254028,0.20257869362831116,0.25125551223754883,0.4130953550338745
