,which,of,genghis,khan,'s,sons,completed,the,conquest,of,the,jin,dynasty,?
between,0.395174115896225,0.3737983703613281,0.1950775384902954,0.10579166561365128,0.006096371449530125,0.10403108596801758,0.21500778198242188,0.39067012071609497,0.15177269279956818,0.3737983703613281,0.39067012071609497,0.13180142641067505,0.15475362539291382,0.12887074053287506
1232,0.37299710512161255,0.44916215538978577,0.40732672810554504,0.2441287785768509,-0.09189604222774506,0.2845293879508972,0.29982873797416687,0.4628976881504059,0.31679093837738037,0.44916215538978577,0.4628976881504059,0.3529486656188965,0.37756386399269104,0.32647591829299927
and,0.506277859210968,0.5116966962814331,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.22999194264411926,0.24284477531909943,0.5171257257461548,0.26925429701805115,0.5116966962814331,0.5171257257461548,0.22211141884326935,0.21357402205467224,0.20544172823429108
1233,-0.02869403548538685,-0.03042614832520485,-0.06553639471530914,-0.027108801528811455,0.006900897715240717,-0.07752617448568344,-0.05919046327471733,-0.003645072691142559,-0.01380202267318964,-0.03042614832520485,-0.003645072691142559,-0.12093036621809006,-0.03570147976279259,0.11086872965097427
",",0.3658004403114319,0.4946078956127167,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.29804715514183044,0.26047438383102417,0.4933079481124878,0.2487315982580185,0.4946078956127167,0.4933079481124878,0.21946492791175842,0.1976536363363266,0.31091248989105225
kaifeng,0.27929356694221497,0.285122275352478,0.5361014604568481,0.3777866065502167,0.017433255910873413,0.1605219542980194,0.24431347846984863,0.2940974831581116,0.2950289249420166,0.285122275352478,0.2940974831581116,0.5490894913673401,0.4701823592185974,0.20228484272956848
fell,0.15528017282485962,0.2526882588863373,0.2781490981578827,0.1570749580860138,0.039782505482435226,0.21598294377326965,0.23679371178150177,0.2598440647125244,0.28528255224227905,0.2526882588863373,0.2598440647125244,0.17821000516414642,0.19673441350460052,0.13107693195343018
to,0.5345056653022766,0.41548454761505127,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.11964831501245499,0.2867361009120941,0.535392165184021,0.2413468062877655,0.41548454761505127,0.535392165184021,0.16679616272449493,0.1214921623468399,0.29463258385658264
the,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.16342225670814514,0.29278936982154846,1.0,0.3181619346141815,0.733189046382904,1.0,0.23336409032344818,0.26267939805984497,0.22068053483963013
mongols,0.23739531636238098,0.23517343401908875,0.6018205285072327,0.5210641026496887,-0.027451662346720695,0.22673259675502777,0.1591234803199768,0.310281366109848,0.4190453290939331,0.23517343401908875,0.310281366109848,0.43868622183799744,0.49200209975242615,0.11517509818077087
