,in,addition,to,endowments,and,tuition,",",how,do,boarding,schools,cover,their,operating,costs,?
the,0.6662389636039734,0.32955414056777954,0.535392165184021,0.30437949299812317,0.5171257257461548,0.22994613647460938,0.4933079481124878,0.33890387415885925,0.30239659547805786,0.26266586780548096,0.22905772924423218,0.26727065443992615,0.516537070274353,0.28778329491615295,0.2180386483669281,0.22068053483963013
leading,0.33273574709892273,0.23611176013946533,0.260200560092926,0.23519577085971832,0.34015700221061707,0.2713191509246826,0.25808972120285034,0.18543758988380432,0.14127540588378906,0.24603290855884552,0.1491967737674713,0.11071417480707169,0.1896136850118637,0.1801985651254654,0.21942193806171417,0.1360926628112793
schools,0.2632134258747101,0.2201354056596756,0.2362271547317505,0.36612027883529663,0.29319998621940613,0.4599091112613678,0.2760516405105591,0.12874440848827362,0.19505831599235535,0.47905486822128296,1.0,0.17465651035308838,0.22621867060661316,0.2079700529575348,0.23739442229270935,0.18349280953407288
such,0.2704046070575714,0.37100139260292053,0.2871878743171692,0.23992814123630524,0.44540345668792725,0.2610858082771301,0.39626169204711914,0.307365357875824,0.337398886680603,0.17576996982097626,0.21323329210281372,0.21529051661491394,0.30566170811653137,0.2520733177661896,0.22999577224254608,0.17851735651493073
as,0.3887844979763031,0.3581290543079376,0.42092081904411316,0.26798275113105774,0.49487000703811646,0.2680615782737732,0.48816442489624023,0.33782753348350525,0.38329678773880005,0.17997898161411285,0.21233005821704865,0.22054845094680786,0.29218852519989014,0.24084511399269104,0.19707413017749786,0.27043893933296204
the,0.6662389636039734,0.32955414056777954,0.535392165184021,0.30437949299812317,0.5171257257461548,0.22994613647460938,0.4933079481124878,0.33890387415885925,0.30239659547805786,0.26266586780548096,0.22905772924423218,0.26727065443992615,0.516537070274353,0.28778329491615295,0.2180386483669281,0.22068053483963013
groton,0.3028689920902252,0.15851163864135742,0.17009861767292023,0.1485825926065445,0.19917473196983337,0.20175164937973022,0.28824567794799805,0.10196567326784134,0.05887285992503166,0.28374385833740234,0.20874905586242676,0.06230933219194412,0.15128099918365479,0.16837021708488464,0.14509662985801697,0.055315788835287094
school,0.26157811284065247,0.13785786926746368,0.24496325850486755,0.30343177914619446,0.2752758264541626,0.4018059968948364,0.27141863107681274,0.11585085093975067,0.13649480044841766,0.5410861372947693,0.7602541446685791,0.1564885973930359,0.15657421946525574,0.16579796373844147,0.1949177235364914,0.15091250836849213
had,0.385026752948761,0.3111904263496399,0.37984350323677063,0.24241261184215546,0.3872550129890442,0.21247561275959015,0.35487717390060425,0.2549138069152832,0.24590566754341125,0.24154280126094818,0.2195458710193634,0.22785326838493347,0.4145275354385376,0.2019733190536499,0.22189666330814362,0.20728366076946259
substantial,0.248609721660614,0.2859641909599304,0.31344684958457947,0.4009632170200348,0.2933623194694519,0.32629334926605225,0.2560059130191803,0.2740956246852875,0.24602283537387848,0.19873419404029846,0.22518616914749146,0.2658085525035858,0.29880258440971375,0.1678132861852646,0.3985535800457001,0.25194647908210754
endowments,0.24560047686100006,0.23366253077983856,0.23451252281665802,0.9999999403953552,0.33583611249923706,0.6037304997444153,0.2877390384674072,0.19818797707557678,0.17631475627422333,0.2660767436027527,0.36612027883529663,0.2057448923587799,0.27035290002822876,0.2189105749130249,0.48391735553741455,0.18979452550411224
running,0.2874506413936615,0.22161000967025757,0.23381315171718597,0.1250847727060318,0.29286429286003113,0.19622406363487244,0.24165967106819153,0.2271994650363922,0.247726708650589,0.20233245193958282,0.1468413770198822,0.16982123255729675,0.23772038519382477,0.41184478998184204,0.18581420183181763,0.15679655969142914
to,0.45010748505592346,0.29394859075546265,1.0,0.23451252281665802,0.48971283435821533,0.28630971908569336,0.44245919585227966,0.44169697165489197,0.38876664638519287,0.24950890243053436,0.2362271547317505,0.2887181341648102,0.44619059562683105,0.27687832713127136,0.30544713139533997,0.29463258385658264
hundreds,0.2818135917186737,0.26938462257385254,0.29900258779525757,0.2952094078063965,0.3448633551597595,0.21982289850711823,0.3072117567062378,0.30532944202423096,0.23756152391433716,0.25847914814949036,0.23764075338840485,0.2165841907262802,0.3035474419593811,0.18609818816184998,0.2636093199253082,0.17484495043754578
of,0.5696388483047485,0.27503931522369385,0.41548454761505127,0.34789901971817017,0.5116966962814331,0.28940895199775696,0.4946078956127167,0.2480744868516922,0.26150479912757874,0.23484936356544495,0.265506386756897,0.26416900753974915,0.4329940676689148,0.27346423268318176,0.1889231652021408,0.1826142966747284
millions,0.23214581608772278,0.2206067144870758,0.29466304183006287,0.3603432774543762,0.2754881680011749,0.31360647082328796,0.24710650742053986,0.3151021897792816,0.24443060159683228,0.09298605471849442,0.1957552433013916,0.16309766471385956,0.29484590888023376,0.1678376942873001,0.3478465974330902,0.21816711127758026
of,0.5696388483047485,0.27503931522369385,0.41548454761505127,0.34789901971817017,0.5116966962814331,0.28940895199775696,0.4946078956127167,0.2480744868516922,0.26150479912757874,0.23484936356544495,0.265506386756897,0.26416900753974915,0.4329940676689148,0.27346423268318176,0.1889231652021408,0.1826142966747284
dollars,0.21489819884300232,0.1670713871717453,0.23776228725910187,0.4982606768608093,0.21760207414627075,0.3899669349193573,0.22633887827396393,0.23213273286819458,0.16681642830371857,0.1526004523038864,0.2266790270805359,0.136623352766037,0.20960958302021027,0.14074134826660156,0.4739898145198822,0.21298730373382568
supplemented,0.23372972011566162,0.32549041509628296,0.24526110291481018,0.22648431360721588,0.3027358055114746,0.23178914189338684,0.33042988181114197,0.2651025056838989,0.24909961223602295,0.13502992689609528,0.19966760277748108,0.25027334690093994,0.2543759346008301,0.27944695949554443,0.24554407596588135,0.20695461332798004
by,0.370934396982193,0.23403678834438324,0.33534231781959534,0.2666682302951813,0.4289871156215668,0.15613433718681335,0.3680937886238098,0.34370526671409607,0.1481526494026184,0.17161132395267487,0.1415957361459732,0.20553752779960632,0.3242124021053314,0.18530799448490143,0.1958591490983963,0.17966607213020325
fundraising,0.26695460081100464,0.2560340464115143,0.36934012174606323,0.4721827805042267,0.32531246542930603,0.45322224497795105,0.2477634996175766,0.28641030192375183,0.2601933479309082,0.30344370007514954,0.2389693409204483,0.26623818278312683,0.3098825514316559,0.3082250952720642,0.4007837176322937,0.20534715056419373
drives,0.14633353054523468,0.11639586091041565,0.27728408575057983,0.12167410552501678,0.2143097072839737,0.1940898299217224,0.20152543485164642,0.2322252243757248,0.2019246369600296,0.1335621029138565,0.13639630377292633,0.14745308458805084,0.18932300806045532,0.3137117922306061,0.25297409296035767,0.08974530547857285
.,0.5591574311256409,0.27481022477149963,0.4645031690597534,0.31183838844299316,0.588965117931366,0.2443438172340393,0.6812511086463928,0.3287222981452942,0.3613996207714081,0.2459556758403778,0.2752705216407776,0.22325164079666138,0.34427863359451294,0.24669770896434784,0.22994452714920044,0.4130953550338745
