,what,does,the,substitution,of,equipment,for,labor,raise,for,workers,?
the,0.42745697498321533,0.35928019881248474,1.0,0.20520764589309692,0.733189046382904,0.22635069489479065,0.4739971458911896,0.21506793797016144,0.2657596468925476,0.4739971458911896,0.23066683113574982,0.22068053483963013
substitution,0.19002631306648254,0.2475362867116928,0.20520764589309692,0.9999998807907104,0.11923876404762268,0.19963675737380981,0.2861395478248596,0.16266249120235443,0.1823274791240692,0.2861395478248596,0.13614995777606964,0.24351200461387634
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.11923876404762268,1.0,0.18924570083618164,0.4185989499092102,0.23769748210906982,0.2562425136566162,0.4185989499092102,0.20827822387218475,0.1826142966747284
capital,0.17967931926250458,0.08225840330123901,0.3049491047859192,0.20220741629600525,0.30823585391044617,0.0980859100818634,0.16425155103206635,0.17867590487003326,0.08486451208591461,0.16425155103206635,0.169990673661232,0.0907452180981636
equipment,0.21531300246715546,0.18076495826244354,0.22635069489479065,0.19963675737380981,0.18924570083618164,1.0,0.2880359888076782,0.23645642399787903,0.13597388565540314,0.2880359888076782,0.3307946026325226,0.0920877456665039
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.2861395478248596,0.4185989499092102,0.2880359888076782,0.9999999403953552,0.23246270418167114,0.29779115319252014,0.9999999403953552,0.2527289092540741,0.264628142118454
labor,0.1943984031677246,0.12007958441972733,0.21506793797016144,0.16266249120235443,0.23769748210906982,0.23645642399787903,0.23246270418167114,0.9999999403953552,0.16376101970672607,0.23246270418167114,0.5137044787406921,0.19386747479438782
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.16624638438224792,0.35032153129577637,0.12909448146820068,0.3357032239437103,0.12574027478694916,0.1708383709192276,0.3357032239437103,0.11125283688306808,0.40561532974243164
mechanization,0.25148388743400574,0.23469750583171844,0.3485445976257324,0.36405935883522034,0.2939010560512543,0.3889513313770294,0.30877310037612915,0.31519392132759094,0.2025059461593628,0.30877310037612915,0.3393888473510742,0.21008428931236267
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.185602605342865,0.5116966962814331,0.24890132248401642,0.5064792633056641,0.22200584411621094,0.2588892877101898,0.5064792633056641,0.22632038593292236,0.20544172823429108
automation,0.29592621326446533,0.24750173091888428,0.25513768196105957,0.29655998945236206,0.2094230204820633,0.3922896087169647,0.31334394216537476,0.18984940648078918,0.08903521299362183,0.31334394216537476,0.17528240382671356,0.26651784777641296
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.1726195216178894,0.3680361211299896,0.12984225153923035,0.3639558255672455,0.14394445717334747,0.16169865429401398,0.3639558255672455,0.1238962784409523,0.42300865054130554
raises,0.22388479113578796,0.41275256872177124,0.2387484610080719,0.19301238656044006,0.23968493938446045,0.10154823958873749,0.25240424275398254,0.14315684139728546,0.7252395749092102,0.25240424275398254,0.147055983543396,0.20082814991474152
the,0.42745697498321533,0.35928019881248474,1.0,0.20520764589309692,0.733189046382904,0.22635069489479065,0.4739971458911896,0.21506793797016144,0.2657596468925476,0.4739971458911896,0.23066683113574982,0.22068053483963013
productivity,0.2654266059398651,0.23334884643554688,0.22987580299377441,0.22956958413124084,0.2269303798675537,0.29755234718322754,0.2784219980239868,0.30172038078308105,0.21906155347824097,0.2784219980239868,0.2605060636997223,0.23359106481075287
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.11923876404762268,1.0,0.18924570083618164,0.4185989499092102,0.23769748210906982,0.2562425136566162,0.4185989499092102,0.20827822387218475,0.1826142966747284
each,0.3353266417980194,0.31699198484420776,0.470844566822052,0.2241908460855484,0.38460010290145874,0.22502459585666656,0.3044290542602539,0.11410121619701385,0.2582876980304718,0.3044290542602539,0.19554735720157623,0.21173812448978424
