,who,designed,the,möllendorff,dinner,service,?
among,0.32480236887931824,0.15033568441867828,0.3507058024406433,0.2521701157093048,0.12772975862026215,0.08098458498716354,0.14343059062957764
the,0.3733934462070465,0.2559613883495331,1.0,0.28167015314102173,0.22098013758659363,0.22661015391349792,0.22068053483963013
finest,0.22643354535102844,0.19216229021549225,0.3178524971008301,0.23769080638885498,0.2617203891277313,0.13414116203784943,0.1559486985206604
examples,0.17728105187416077,0.25160688161849976,0.30092597007751465,0.11222799122333527,0.14098870754241943,0.14357653260231018,0.19976599514484406
are,0.27294138073921204,0.14064814150333405,0.40399202704429626,0.12205468118190765,0.19955651462078094,0.14771409332752228,0.24591213464736938
the,0.3733934462070465,0.2559613883495331,1.0,0.28167015314102173,0.22098013758659363,0.22661015391349792,0.22068053483963013
meissen,0.14637766778469086,0.1698833405971527,0.19695746898651123,0.6205272078514099,0.2291867882013321,0.13905954360961914,0.16592775285243988
vulture,0.13342419266700745,0.1085418164730072,0.2869260311126709,0.2133747935295105,0.20479990541934967,0.131218820810318,0.15272623300552368
from,0.27839982509613037,0.12069370597600937,0.40150508284568787,0.21855464577674866,0.1450040638446808,0.17239798605442047,0.19969791173934937
1731,0.07555922120809555,0.07806441187858582,0.06430859118700027,0.1849948614835739,0.09117300808429718,0.07638103514909744,0.22479785978794098
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.3262489140033722,0.2288680225610733,0.24532052874565125,0.20544172823429108
the,0.3733934462070465,0.2559613883495331,1.0,0.28167015314102173,0.22098013758659363,0.22661015391349792,0.22068053483963013
möllendorff,0.29464077949523926,0.19476617872714996,0.28167015314102173,1.0,0.249718576669693,0.1325567364692688,0.2073114514350891
dinner,0.2489246129989624,0.14102794229984283,0.22098013758659363,0.249718576669693,1.0000001192092896,0.23194622993469238,0.2127307951450348
service,0.21098247170448303,0.19692067801952362,0.22661015391349792,0.1325567364692688,0.23194622993469238,0.9999998807907104,0.1676298975944519
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.3381357491016388,0.2346692681312561,0.2389259785413742,0.31091248989105225
designed,0.21097040176391602,1.0,0.2559613883495331,0.19476617872714996,0.14102794229984283,0.19692067801952362,0.11213942617177963
in,0.2792111933231354,0.22657902538776398,0.6662389636039734,0.2908075451850891,0.21827612817287445,0.1740635335445404,0.20430970191955566
1762,-0.054902300238609314,0.014275784604251385,-0.021051906049251556,0.07440134137868881,0.014538893476128578,0.03644271567463875,0.09378707408905029
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.23754964768886566,0.1470559537410736,0.20538176596164703,0.17966607213020325
frederick,0.2823238670825958,0.16278468072414398,0.24321560561656952,0.36771589517593384,0.16081145405769348,0.1693912297487259,0.16359178721904755
ii,0.20800143480300903,0.1620330810546875,0.2631464898586273,0.24464869499206543,0.14390458166599274,0.18740230798721313,0.11928234249353409
the,0.3733934462070465,0.2559613883495331,1.0,0.28167015314102173,0.22098013758659363,0.22661015391349792,0.22068053483963013
great,0.24061277508735657,0.10176844149827957,0.2822027802467346,0.2211359441280365,0.1091383621096611,0.18011027574539185,0.13135133683681488
.,0.3541337847709656,0.24422594904899597,0.5934505462646484,0.3729549050331116,0.21702586114406586,0.2115515172481537,0.4130953550338745
