,when,did,o2,begin,to,acculturate,in,the,atmosphere,?
oxygen,0.28107690811157227,0.15723921358585358,-0.037116553634405136,0.10920078307390213,0.24193501472473145,0.30086076259613037,0.1672476977109909,0.20428593456745148,0.48839667439460754,0.16786395013332367
is,0.3471449911594391,0.19247472286224365,-0.0536184124648571,0.18119797110557556,0.42745086550712585,0.2951538562774658,0.5394441485404968,0.5823672413825989,0.1850086748600006,0.22961433231830597
toxic,0.2626907229423523,0.18646468222141266,-0.09450967609882355,0.10281217843294144,0.17271585762500763,0.3447580337524414,0.19547370076179504,0.15216471254825592,0.30969443917274475,0.2523139715194702
to,0.5423505902290344,0.4452643394470215,-0.057241544127464294,0.33302420377731323,1.0,0.3364308178424835,0.45010748505592346,0.535392165184021,0.24801792204380035,0.29463258385658264
obligately,0.27517640590667725,0.3198971152305603,-0.048082031309604645,0.12600883841514587,0.3468760848045349,0.21038298308849335,0.10975756496191025,0.2029905468225479,0.10899578779935837,0.20873405039310455
anaerobic,0.17077471315860748,0.18858875334262848,0.07022630423307419,0.22475630044937134,0.2235346883535385,0.4183143973350525,0.2070082128047943,0.19401071965694427,0.36464884877204895,0.17226801812648773
organisms,0.1860453188419342,0.1827608346939087,0.1488807052373886,0.1298430860042572,0.26437875628471375,0.37840911746025085,0.21345661580562592,0.22463196516036987,0.3749786615371704,0.22621455788612366
",",0.36674630641937256,0.3015086054801941,-0.037892747670412064,0.27304404973983765,0.44245919585227966,0.3579755425453186,0.5201468467712402,0.4933079481124878,0.26560261845588684,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.035213008522987366,0.22235408425331116,0.5345056653022766,0.3315107822418213,0.4840516746044159,0.6521818041801453,0.30373719334602356,0.25814583897590637
were,0.29649975895881653,0.4162326455116272,-0.07509304583072662,0.23794667422771454,0.31913647055625916,0.20557545125484467,0.3815755248069763,0.3906462490558624,0.1976843625307083,0.17890112102031708
the,0.5091903209686279,0.34736719727516174,-0.11169687658548355,0.34293439984321594,0.535392165184021,0.27860820293426514,0.6662389636039734,1.0,0.24429655075073242,0.22068053483963013
dominant,0.21020568907260895,0.12949931621551514,0.01934903860092163,0.19591966271400452,0.21260958909988403,0.305522084236145,0.26107057929039,0.3743239641189575,0.12316132336854935,0.07625212520360947
form,0.31953904032707214,0.18086659908294678,0.016304004937410355,0.1998513787984848,0.2772196829319,0.2101445347070694,0.2815987169742584,0.29286009073257446,0.1448398381471634,0.1463010311126709
of,0.3757161796092987,0.2513895630836487,-0.11047574132680893,0.24830074608325958,0.41548454761505127,0.337729275226593,0.5696388483047485,0.733189046382904,0.1981431096792221,0.1826142966747284
early,0.32107013463974,0.32047218084335327,-0.013589166104793549,0.3178265690803528,0.24557004868984222,0.28749120235443115,0.34672921895980835,0.34442198276519775,0.23882940411567688,0.15272949635982513
life,0.20499193668365479,0.22298283874988556,0.05916711315512657,0.1755559891462326,0.24560359120368958,0.2886154055595398,0.27054134011268616,0.23528170585632324,0.26693180203437805,0.21677987277507782
on,0.37706470489501953,0.2670976221561432,-0.01720587909221649,0.2630721628665924,0.41031414270401,0.24919013679027557,0.46853652596473694,0.5107308030128479,0.20375999808311462,0.2714994251728058
earth,0.23456822335720062,0.15510493516921997,0.05058933421969414,0.12038213759660721,0.2486501932144165,0.233350470662117,0.18566735088825226,0.2801888585090637,0.5628719925880432,0.17717236280441284
