,what,president,eliminated,the,christian,position,in,the,curriculum,?
charles,0.18606366217136383,0.16938506066799164,0.08252578228712082,0.20777860283851624,0.23206427693367004,0.13564488291740417,0.21346928179264069,0.20777860283851624,0.16920454800128937,0.17366734147071838
w.,-0.0846915990114212,-0.01528781559318304,-0.04644545167684555,0.007494001649320126,-0.06224372237920761,-0.021242545917630196,-0.029492290690541267,0.007494001649320126,0.007609230931848288,-0.07353907823562622
eliot,0.20328496396541595,0.25435709953308105,0.13187278807163239,0.15140269696712494,0.2767089307308197,0.0927453562617302,0.1935959905385971,0.15140269696712494,0.1869034320116043,0.2153647243976593
",",0.3087472915649414,0.26552814245224,0.24265623092651367,0.4933079481124878,0.23595517873764038,0.1771278828382492,0.5201468467712402,0.4933079481124878,0.238981232047081,0.31091248989105225
president,0.1870913952589035,1.0000001192092896,0.15411554276943207,0.24330610036849976,0.12777487933635712,0.19582977890968323,0.18811661005020142,0.24330610036849976,0.2491959035396576,0.14148259162902832
1869–1909,0.17139846086502075,0.13205371797084808,0.04061983525753021,0.08334412425756454,0.16534888744354248,0.06314706057310104,0.06377817690372467,0.08334412425756454,0.13796654343605042,0.17179414629936218
",",0.3087472915649414,0.26552814245224,0.24265623092651367,0.4933079481124878,0.23595517873764038,0.1771278828382492,0.5201468467712402,0.4933079481124878,0.238981232047081,0.31091248989105225
eliminated,0.14590737223625183,0.15411554276943207,0.9999999403953552,0.20512576401233673,0.1466037780046463,0.04465842992067337,0.15977920591831207,0.20512576401233673,0.15576675534248352,0.09558668732643127
the,0.42745697498321533,0.24330610036849976,0.20512576401233673,1.0,0.19930796325206757,0.3183514177799225,0.6662389636039734,1.0,0.21278034150600433,0.22068053483963013
favored,0.20515379309654236,0.172689288854599,0.2779485285282135,0.2811082899570465,0.2602550685405731,0.20482487976551056,0.21774357557296753,0.2811082899570465,0.18518511950969696,0.13614626228809357
position,0.22031237185001373,0.19582977890968323,0.04465842992067337,0.3183514177799225,0.10710066556930542,1.0000001192092896,0.20453733205795288,0.3183514177799225,0.17294353246688843,0.15529610216617584
of,0.33290785551071167,0.21610750257968903,0.15453071892261505,0.733189046382904,0.23494116961956024,0.23636478185653687,0.5696388483047485,0.733189046382904,0.2513495087623596,0.1826142966747284
christianity,0.27987581491470337,0.13995732367038727,0.1520647406578064,0.2489117980003357,0.703339159488678,0.17652246356010437,0.22138716280460358,0.2489117980003357,0.24195288121700287,0.22408421337604523
from,0.2737620174884796,0.14635725319385529,0.09774710983037949,0.40150508284568787,0.17520108819007874,0.23697097599506378,0.4274188280105591,0.40150508284568787,0.1670268476009369,0.19969791173934937
the,0.42745697498321533,0.24330610036849976,0.20512576401233673,1.0,0.19930796325206757,0.3183514177799225,0.6662389636039734,1.0,0.21278034150600433,0.22068053483963013
curriculum,0.21728472411632538,0.2491959035396576,0.15576675534248352,0.21278034150600433,0.22798986732959747,0.17294353246688843,0.2303178757429123,0.21278034150600433,1.0,0.24092517793178558
while,0.35511791706085205,0.17505937814712524,0.1590161770582199,0.39804592728614807,0.1943245530128479,0.25766754150390625,0.3399278521537781,0.39804592728614807,0.14689894020557404,0.21076419949531555
opening,0.18146683275699615,0.13196653127670288,0.13420270383358002,0.37298497557640076,0.06662141531705856,0.1483534872531891,0.2907836139202118,0.37298497557640076,0.14451533555984497,0.16502447426319122
it,0.45803478360176086,0.20577441155910492,0.12803050875663757,0.6251175999641418,0.1547669768333435,0.18904933333396912,0.5130809545516968,0.6251175999641418,0.1912725865840912,0.25732165575027466
to,0.455847829580307,0.21247753500938416,0.18241703510284424,0.535392165184021,0.19438040256500244,0.2374807894229889,0.45010748505592346,0.535392165184021,0.2018750011920929,0.29463258385658264
student,0.20548318326473236,0.3333226144313812,0.049213096499443054,0.21259291470050812,0.23913893103599548,0.11683293431997299,0.254856139421463,0.21259291470050812,0.47566431760787964,0.13282090425491333
self-direction,0.3233720064163208,0.18239626288414001,0.12505578994750977,0.33173203468322754,0.17655394971370697,0.3049912452697754,0.2714940905570984,0.33173203468322754,0.2221693992614746,0.21543903648853302
.,0.3567904531955719,0.26255303621292114,0.14593012630939484,0.5934505462646484,0.2474701702594757,0.24342353641986847,0.5591574311256409,0.5934505462646484,0.20690537989139557,0.4130953550338745
