,what,are,the,laws,of,physics,of,galileo,",",in,reference,to,objest,in,motion,and,rest,?
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.2591988444328308,0.5696388483047485,0.2189493626356125,0.5696388483047485,0.19406108558177948,0.5201468467712402,1.0,0.22640638053417206,0.45010748505592346,0.3460400104522705,1.0,0.2190442532300949,0.4954058527946472,0.3255048990249634,0.20430970191955566
other,0.341873437166214,0.5932393670082092,0.44152235984802246,0.25942477583885193,0.38583824038505554,0.1844368726015091,0.38583824038505554,0.13045145571231842,0.4446498453617096,0.39989137649536133,0.21393440663814545,0.4193183183670044,0.2237117737531662,0.39989137649536133,0.18668271601200104,0.5504306554794312,0.3808116614818573,0.24682199954986572
words,0.3355468809604645,0.27760887145996094,0.29205581545829773,0.23344694077968597,0.26259833574295044,0.2224089801311493,0.26259833574295044,0.2079113870859146,0.2805471420288086,0.20740897953510284,0.25616219639778137,0.31468597054481506,0.23633313179016113,0.20740897953510284,0.19065970182418823,0.26495280861854553,0.22514839470386505,0.27074310183525085
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.26751992106437683,0.4946078956127167,0.26689431071281433,0.4946078956127167,0.21606193482875824,1.0000001192092896,0.5201468467712402,0.24524281919002533,0.44245919585227966,0.32805541157722473,0.5201468467712402,0.18457698822021484,0.6633074283599854,0.3065745532512665,0.31091248989105225
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.2910608649253845,0.41548454761505127,0.19172722101211548,0.41548454761505127,0.17046451568603516,0.44245919585227966,0.45010748505592346,0.25784367322921753,1.0,0.3427513837814331,0.45010748505592346,0.26277783513069153,0.48971283435821533,0.367563933134079,0.29463258385658264
phrase,0.31149473786354065,0.17637112736701965,0.25180333852767944,0.21556109189987183,0.17365479469299316,0.15355317294597626,0.17365479469299316,0.16096121072769165,0.1876024752855301,0.18596138060092926,0.32420679926872253,0.24900448322296143,0.2252705842256546,0.18596138060092926,0.22033905982971191,0.17552903294563293,0.16547861695289612,0.32636284828186035
matters,0.4115754961967468,0.3050505220890045,0.32925453782081604,0.4065518081188202,0.298933744430542,0.21066956222057343,0.298933744430542,0.2173577845096588,0.3183421194553375,0.22737738490104675,0.2530737817287445,0.32389286160469055,0.36954694986343384,0.22737738490104675,0.19416280090808868,0.3753611743450165,0.3025287687778473,0.3182642459869385
more,0.3484537899494171,0.4066504240036011,0.39758381247520447,0.22245284914970398,0.30478984117507935,0.21413405239582062,0.30478984117507935,0.1624753773212433,0.3696524500846863,0.32563260197639465,0.21814309060573578,0.47084665298461914,0.20863592624664307,0.32563260197639465,0.17971329391002655,0.39880692958831787,0.2788274884223938,0.27894994616508484
technically,0.32626014947891235,0.3454485237598419,0.3016735911369324,0.1963772028684616,0.26906076073646545,0.17136767506599426,0.26906076073646545,0.060850370675325394,0.2593480050563812,0.21685348451137543,0.2137714922428131,0.3826490044593811,0.2516351640224457,0.21685348451137543,0.14245401322841644,0.2647007703781128,0.20438790321350098,0.2409483939409256
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.26751992106437683,0.4946078956127167,0.26689431071281433,0.4946078956127167,0.21606193482875824,1.0000001192092896,0.5201468467712402,0.24524281919002533,0.44245919585227966,0.32805541157722473,0.5201468467712402,0.18457698822021484,0.6633074283599854,0.3065745532512665,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,1.0,0.2587076723575592,0.733189046382904,0.17952929437160492,0.733189046382904,0.21531248092651367,0.4933079481124878,0.6662389636039734,0.26254498958587646,0.535392165184021,0.30493536591529846,0.6662389636039734,0.30530840158462524,0.5171257257461548,0.41330549120903015,0.22068053483963013
laws,0.29636016488075256,0.22158654034137726,0.2587076723575592,1.0,0.2539142072200775,0.25417420268058777,0.2539142072200775,0.2947969436645508,0.26751992106437683,0.2591988444328308,0.19343294203281403,0.2910608649253845,0.21435481309890747,0.2591988444328308,0.33198657631874084,0.290377676486969,0.18116822838783264,0.17911791801452637
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.2539142072200775,1.0,0.2395489662885666,1.0,0.20429757237434387,0.4946078956127167,0.5696388483047485,0.21538788080215454,0.41548454761505127,0.29591554403305054,0.5696388483047485,0.24864931404590607,0.5116966962814331,0.33621829748153687,0.1826142966747284
