,where,is,the,abc,four-note,jingle,still,in,use,?
the,0.5003893971443176,0.5823672413825989,1.0,0.2068762183189392,0.41836729645729065,0.2605932354927063,0.40142056345939636,0.6662389636039734,0.34342584013938904,0.22068053483963013
old,0.24182595312595367,0.24332627654075623,0.31849798560142517,0.16446132957935333,0.20624038577079773,0.16636428236961365,0.35824617743492126,0.2865324318408966,0.17659397423267365,0.20577076077461243
four-note,0.2580208480358124,0.35156723856925964,0.41836729645729065,0.23158463835716248,1.0,0.263755738735199,0.2753830850124359,0.3152153789997101,0.4354862570762634,0.33317825198173523
theme,0.187139093875885,0.20746418833732605,0.2470158040523529,0.23545488715171814,0.2810903489589691,0.2908795475959778,0.15002837777137756,0.21164380013942719,0.20642897486686707,0.21507632732391357
tune,0.1741095781326294,0.17619308829307556,0.22937244176864624,0.15874753892421722,0.33263665437698364,0.29293063282966614,0.23705489933490753,0.15517957508563995,0.20276705920696259,0.19689199328422546
is,0.3586711287498474,1.0,0.5823672413825989,0.16037321090698242,0.35156723856925964,0.20564457774162292,0.3574111759662628,0.5394441485404968,0.3357410430908203,0.22961433231830597
still,0.42040762305259705,0.3574111759662628,0.40142056345939636,0.09773536026477814,0.2753830850124359,0.22216905653476715,1.0,0.3424699008464813,0.37452417612075806,0.3039587736129761
used,0.31140151619911194,0.3288823366165161,0.3718377649784088,0.16642345488071442,0.3758193850517273,0.24990370869636536,0.35497698187828064,0.3090210556983948,0.7127541303634644,0.22430120408535004
by,0.2641284465789795,0.3899846076965332,0.4408751428127289,0.17600902915000916,0.29603901505470276,0.20927733182907104,0.25492724776268005,0.370934396982193,0.21048003435134888,0.17966607213020325
abc,0.08676808327436447,0.16037321090698242,0.2068762183189392,1.0000001192092896,0.23158463835716248,0.24744270741939545,0.09773536026477814,0.1697147786617279,0.1775941103696823,0.19065172970294952
on,0.37630224227905273,0.3635730445384979,0.5107308030128479,0.2862928807735443,0.3151443898677826,0.28436943888664246,0.317820280790329,0.46853652596473694,0.2776605486869812,0.2714994251728058
demand,0.24772581458091736,0.20401930809020996,0.27194610238075256,0.12548789381980896,0.21587245166301727,0.1432291716337204,0.29824069142341614,0.22946900129318237,0.25025656819343567,0.13359291851520538
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.1762417107820511,0.33709073066711426,0.21533888578414917,0.41205283999443054,0.45010748505592346,0.47261837124824524,0.29463258385658264
the,0.5003893971443176,0.5823672413825989,1.0,0.2068762183189392,0.41836729645729065,0.2605932354927063,0.40142056345939636,0.6662389636039734,0.34342584013938904,0.22068053483963013
beginning,0.2946988344192505,0.2446223646402359,0.49622642993927,0.24296143651008606,0.3401716947555542,0.2711022198200226,0.3171294331550598,0.3787442147731781,0.2937738001346588,0.19413669407367706
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.14607268571853638,0.3959604799747467,0.20029208064079285,0.3288819193840027,0.5696388483047485,0.2750902473926544,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,1.0,0.2068762183189392,0.41836729645729065,0.2605932354927063,0.40142056345939636,0.6662389636039734,0.34342584013938904,0.22068053483963013
abc,0.08676808327436447,0.16037321090698242,0.2068762183189392,1.0000001192092896,0.23158463835716248,0.24744270741939545,0.09773536026477814,0.1697147786617279,0.1775941103696823,0.19065172970294952
show,0.25432080030441284,0.2144283652305603,0.319829523563385,0.4449407458305359,0.28103193640708923,0.34430789947509766,0.26825034618377686,0.27595704793930054,0.28425782918930054,0.2520138621330261
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2567209303379059,0.3729911148548126,0.24309298396110535,0.38162845373153687,0.5591574311256409,0.3711656630039215,0.4130953550338745
