,when,did,herve,serve,as,a,byzantine,general,?
one,0.38307374715805054,0.27659472823143005,0.16033439338207245,0.2658191919326782,0.3954789340496063,0.4910551905632019,0.16870449483394623,0.18572571873664856,0.2673267424106598
of,0.3757161796092987,0.2513895630836487,0.2824864089488983,0.2656401991844177,0.3886612355709076,0.5052502155303955,0.20621167123317719,0.28352999687194824,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.25227540731430054,0.2749462425708771,0.48381632566452026,0.5829201340675354,0.20800244808197021,0.28634732961654663,0.22068053483963013
first,0.4282494783401489,0.33691170811653137,0.18443194031715393,0.2588934600353241,0.33842000365257263,0.4287874400615692,0.1285688430070877,0.23021191358566284,0.18701928853988647
norman,0.18821191787719727,0.1672605574131012,0.14819565415382385,0.05717161297798157,0.22526757419109344,0.16633400321006775,0.32583457231521606,0.13344340026378632,0.12243545055389404
mercenaries,0.2253636121749878,0.27699610590934753,0.23967185616493225,0.19150663912296295,0.21705207228660583,0.17987102270126343,0.4040985703468323,0.2114853411912918,0.16118861734867096
to,0.5423505902290344,0.4452643394470215,0.22280661761760712,0.3411368131637573,0.42092081904411316,0.45503583550453186,0.19445456564426422,0.24755197763442993,0.29463258385658264
serve,0.24939022958278656,0.19442126154899597,0.38637107610702515,0.9999998807907104,0.3768509030342102,0.22927480936050415,0.12837561964988708,0.2238321602344513,0.19925682246685028
as,0.4437963366508484,0.3596470057964325,0.17561104893684387,0.3768509030342102,1.0,0.39550232887268066,0.22779297828674316,0.250458300113678,0.27043893933296204
a,0.44397395849227905,0.2552328109741211,0.26561999320983887,0.22927480936050415,0.39550232887268066,1.0,0.1341300755739212,0.2157215178012848,0.23916715383529663
byzantine,0.17145349085330963,0.13554735481739044,0.16036297380924225,0.12837561964988708,0.22779297828674316,0.1341300755739212,1.0,0.22768555581569672,0.21581105887889862
general,0.20438088476657867,0.19499315321445465,0.17059120535850525,0.2238321602344513,0.250458300113678,0.2157215178012848,0.22768555581569672,1.0000001192092896,0.1972234547138214
was,0.37326499819755554,0.41399896144866943,0.22088411450386047,0.21861431002616882,0.3677520453929901,0.4508470594882965,0.1656121164560318,0.2445744127035141,0.18412111699581146
hervé,0.14130137860774994,0.13240718841552734,0.6553956270217896,0.1610112339258194,0.20377852022647858,0.23787134885787964,0.27301523089408875,0.22148430347442627,0.14986754953861237
in,0.4431333839893341,0.2593238651752472,0.21393775939941406,0.20702329277992249,0.3887844979763031,0.539380669593811,0.12042805552482605,0.259066641330719,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.25227540731430054,0.2749462425708771,0.48381632566452026,0.5829201340675354,0.20800244808197021,0.28634732961654663,0.22068053483963013
1050s,0.4185897707939148,0.3935926556587219,0.17262622714042664,0.2895297706127167,0.33493760228157043,0.2767680287361145,0.31459084153175354,0.30879703164100647,0.3519805073738098
.,0.475719153881073,0.35288307070732117,0.24829110503196716,0.26939791440963745,0.515582263469696,0.50484299659729,0.24655847251415253,0.2929490804672241,0.4130953550338745
