,what,company,developed,the,most,successful,steam,engine,indicator,?
early,0.2454567849636078,0.18508462607860565,0.40307047963142395,0.34442198276519775,0.3838981091976166,0.32916441559791565,0.24322280287742615,0.12666913866996765,0.18130406737327576,0.15272949635982513
versions,0.22019806504249573,0.19281946122646332,0.28415781259536743,0.2621293067932129,0.294249951839447,0.20310328900814056,0.26325514912605286,0.2456447035074234,0.13933990895748138,0.2371230572462082
were,0.22298263013362885,0.1783226877450943,0.2749831974506378,0.3906462490558624,0.3543298542499542,0.24574939906597137,0.20219570398330688,0.164800226688385,0.0793139785528183,0.17890112102031708
in,0.30808621644973755,0.22141718864440918,0.2498214840888977,0.6662389636039734,0.41416558623313904,0.2864660918712616,0.19852672517299652,0.18885408341884613,0.2048887014389038,0.20430970191955566
use,0.3453877568244934,0.25678253173828125,0.3135351538658142,0.34342584013938904,0.3331718146800995,0.22062073647975922,0.2950085997581482,0.2398114949464798,0.31880542635917664,0.32795652747154236
by,0.2455483376979828,0.22328482568264008,0.2796236276626587,0.4408751428127289,0.270847886800766,0.1869579404592514,0.18134352564811707,0.1870088279247284,0.1357191801071167,0.17966607213020325
1851,0.09412921965122223,0.14914493262767792,0.14957503974437714,0.1120925024151802,0.08769764006137848,0.08694132417440414,0.06164843589067459,0.0722942054271698,0.09251407533884048,0.04808126762509346
",",0.3087472915649414,0.2697763442993164,0.24565434455871582,0.4933079481124878,0.3636029064655304,0.28826844692230225,0.2264556586742401,0.19789794087409973,0.23202009499073029,0.31091248989105225
but,0.5029441118240356,0.2024446725845337,0.23437225818634033,0.4859698414802551,0.45211657881736755,0.2666237950325012,0.25995272397994995,0.22055119276046753,0.3360828459262848,0.27921953797340393
the,0.42745697498321533,0.26591673493385315,0.24490751326084137,1.0,0.47635307908058167,0.31354787945747375,0.23105813562870026,0.21651263535022736,0.29087164998054504,0.22068053483963013
most,0.3219912350177765,0.14912553131580353,0.28766918182373047,0.47635307908058167,1.0,0.38893797993659973,0.2003706395626068,0.19863130152225494,0.20948345959186554,0.2107497900724411
successful,0.16902779042720795,0.2381802797317505,0.1987343728542328,0.31354787945747375,0.38893797993659973,1.0,0.2572654187679291,0.16274981200695038,0.15732377767562866,0.1132197454571724
indicator,0.27311187982559204,0.12137538939714432,0.1613597869873047,0.29087164998054504,0.20948345959186554,0.15732377767562866,0.12344299256801605,0.2206995189189911,1.0,0.2145715057849884
was,0.22111038863658905,0.2293137013912201,0.3253139555454254,0.48711544275283813,0.29933857917785645,0.3046294152736664,0.16913670301437378,0.205611914396286,0.14304766058921814,0.18412111699581146
developed,0.15555569529533386,0.25853192806243896,1.0000001192092896,0.24490751326084137,0.28766918182373047,0.1987343728542328,0.1999523788690567,0.25843650102615356,0.1613597869873047,0.10763012617826462
for,0.3017193675041199,0.25874319672584534,0.22294896841049194,0.4739971458911896,0.3906237483024597,0.2988608777523041,0.19393667578697205,0.17779722809791565,0.2892799973487854,0.264628142118454
the,0.42745697498321533,0.26591673493385315,0.24490751326084137,1.0,0.47635307908058167,0.31354787945747375,0.23105813562870026,0.21651263535022736,0.29087164998054504,0.22068053483963013
high,0.20466077327728271,0.10688766092061996,0.1837092936038971,0.28034812211990356,0.20456670224666595,0.18497750163078308,0.17955797910690308,0.14603596925735474,0.1432913988828659,0.11137914657592773
speed,0.23285695910453796,0.1543533056974411,0.17271099984645844,0.2310667634010315,0.13443005084991455,0.1748146414756775,0.3738003075122833,0.3154596984386444,0.24764756858348846,0.17392314970493317
engine,0.18463268876075745,0.2818155288696289,0.25843650102615356,0.21651263535022736,0.19863130152225494,0.16274981200695038,0.4921848475933075,1.0,0.2206995189189911,0.17739196121692657
inventor,0.1433403640985489,0.34904319047927856,0.31705090403556824,0.15489226579666138,0.1578904539346695,0.18833690881729126,0.3006623089313507,0.2885926067829132,0.19032397866249084,0.1474177986383438
and,0.31309178471565247,0.23788511753082275,0.25542938709259033,0.5171257257461548,0.4309377074241638,0.2795376479625702,0.24133789539337158,0.18437977135181427,0.2561950385570526,0.20544172823429108
manufacturer,0.13465645909309387,0.5423061847686768,0.27513259649276733,0.18454907834529877,0.13275206089019775,0.1692388355731964,0.3498929440975189,0.3859609365463257,0.1668616086244583,0.11731472611427307
charles,0.18606366217136383,0.19797001779079437,0.09723134338855743,0.20777860283851624,0.1356566697359085,0.16775353252887726,0.09958212822675705,0.1379614919424057,0.09797421842813492,0.17366734147071838
porter,0.09541113674640656,0.21256011724472046,0.04822126030921936,0.221673846244812,0.20936527848243713,0.1613784283399582,0.19468344748020172,0.2080778181552887,0.1126273050904274,0.13770055770874023
by,0.2455483376979828,0.22328482568264008,0.2796236276626587,0.4408751428127289,0.270847886800766,0.1869579404592514,0.18134352564811707,0.1870088279247284,0.1357191801071167,0.17966607213020325
charles,0.18606366217136383,0.19797001779079437,0.09723134338855743,0.20777860283851624,0.1356566697359085,0.16775353252887726,0.09958212822675705,0.1379614919424057,0.09797421842813492,0.17366734147071838
richard,0.19329693913459778,0.1630045771598816,0.12728145718574524,0.2087954580783844,0.12919823825359344,0.20974306762218475,0.17245730757713318,0.14558422565460205,0.09708552807569504,0.15003317594528198
and,0.31309178471565247,0.23788511753082275,0.25542938709259033,0.5171257257461548,0.4309377074241638,0.2795376479625702,0.24133789539337158,0.18437977135181427,0.2561950385570526,0.20544172823429108
exhibited,0.16807207465171814,0.1639106273651123,0.21381931006908417,0.19632861018180847,0.14444689452648163,0.15503084659576416,0.2031852751970291,0.1644672155380249,0.2038690447807312,0.1261514127254486
at,0.2838611304759979,0.17487694323062897,0.1761963814496994,0.457212895154953,0.22451047599315643,0.23558123409748077,0.15630799531936646,0.16097232699394226,0.20407646894454956,0.21978627145290375
london,0.15188734233379364,0.2053280621767044,0.15611234307289124,0.27034124732017517,0.1537603884935379,0.15422332286834717,0.19368141889572144,0.13462264835834503,0.05944143608212471,0.11278104782104492
exhibition,0.1526671200990677,0.16511084139347076,0.16722755134105682,0.22614671289920807,0.19692854583263397,0.1472965031862259,0.24873676896095276,0.18112687766551971,0.11970572918653488,0.11494685709476471
in,0.30808621644973755,0.22141718864440918,0.2498214840888977,0.6662389636039734,0.41416558623313904,0.2864660918712616,0.19852672517299652,0.18885408341884613,0.2048887014389038,0.20430970191955566
1862,0.069773368537426,0.03746168315410614,0.08401105552911758,0.043515436351299286,0.06853721290826797,0.10692110657691956,0.024435099214315414,0.11112385988235474,0.16624318063259125,0.06664664298295975
.,0.3567904531955719,0.266353577375412,0.2569568455219269,0.5934505462646484,0.35404038429260254,0.361310213804245,0.22855372726917267,0.21814921498298645,0.26492640376091003,0.4130953550338745
