,who,was,named,the,president,of,abc,news,in,1977,?
in,0.2792111933231354,0.45514053106307983,0.28130269050598145,0.6662389636039734,0.18811661005020142,0.5696388483047485,0.1697147786617279,0.19753123819828033,1.0,0.09717167168855667,0.20430970191955566
1977,-0.026102975010871887,0.047073230147361755,-0.030346354469656944,0.06613131612539291,-0.007808472495526075,0.09827802330255508,-0.03946845605969429,-0.012250939384102821,0.09717167168855667,1.0000001192092896,-0.059247612953186035
",",0.3365725874900818,0.45456063747406006,0.2530003488063812,0.4933079481124878,0.26552814245224,0.4946078956127167,0.2097204476594925,0.25081464648246765,0.5201468467712402,0.03737548738718033,0.31091248989105225
roone,0.3240370750427246,0.2372283935546875,0.23372623324394226,0.24336695671081543,0.2821989953517914,0.21601058542728424,0.30657878518104553,0.20402652025222778,0.19310562312602997,-0.010399964638054371,0.21176548302173615
arledge,0.23872581124305725,0.23825472593307495,0.1689491868019104,0.38004153966903687,0.168301522731781,0.382069855928421,0.31692740321159363,0.21971860527992249,0.3222145140171051,0.07060518115758896,0.30967646837234497
was,0.3318818509578705,1.0000001192092896,0.37528327107429504,0.48711544275283813,0.2505730390548706,0.4069072902202606,0.21565799415111542,0.1809975951910019,0.45514053106307983,0.047073230147361755,0.18412111699581146
named,0.38541290163993835,0.37528327107429504,1.0,0.3521348536014557,0.15809892117977142,0.2820465862751007,0.2247007191181183,0.13983704149723053,0.28130269050598145,-0.030346354469656944,0.1297498345375061
president,0.22565458714962006,0.2505730390548706,0.15809892117977142,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.20593604445457458,0.1919996291399002,0.18811661005020142,-0.007808472495526075,0.14148259162902832
of,0.2827862501144409,0.4069072902202606,0.2820465862751007,0.733189046382904,0.21610750257968903,1.0,0.14607268571853638,0.1894020140171051,0.5696388483047485,0.09827802330255508,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.3521348536014557,1.0,0.24330610036849976,0.733189046382904,0.2068762183189392,0.2294066995382309,0.6662389636039734,0.06613131612539291,0.22068053483963013
new,0.2378052920103073,0.2748313844203949,0.24223081767559052,0.3845241069793701,0.14439737796783447,0.343457967042923,0.20663127303123474,0.19536228477954865,0.3758552670478821,0.07154843211174011,0.14782847464084625
abc,0.14673753082752228,0.21565799415111542,0.2247007191181183,0.2068762183189392,0.20593604445457458,0.14607268571853638,1.0000001192092896,0.40620431303977966,0.1697147786617279,-0.03946845605969429,0.19065172970294952
news,0.17873786389827728,0.1809975951910019,0.13983704149723053,0.2294066995382309,0.1919996291399002,0.1894020140171051,0.40620431303977966,0.9999999403953552,0.19753123819828033,-0.012250939384102821,0.1899169683456421
in,0.2792111933231354,0.45514053106307983,0.28130269050598145,0.6662389636039734,0.18811661005020142,0.5696388483047485,0.1697147786617279,0.19753123819828033,1.0,0.09717167168855667,0.20430970191955566
addition,0.20351898670196533,0.2078816294670105,0.17749032378196716,0.32955414056777954,0.0852181538939476,0.27503931522369385,0.15853777527809143,0.16933903098106384,0.3033084571361542,0.09188039600849152,0.19187232851982117
to,0.42656609416007996,0.3636345863342285,0.23689822852611542,0.535392165184021,0.21247753500938416,0.41548454761505127,0.1762417107820511,0.2372783124446869,0.45010748505592346,0.04582442715764046,0.29463258385658264
being,0.44037187099456787,0.5201660394668579,0.2385193556547165,0.419739305973053,0.14944888651371002,0.34885138273239136,0.10816651582717896,0.19596634805202484,0.33162933588027954,0.03903811424970627,0.26743772625923157
president,0.22565458714962006,0.2505730390548706,0.15809892117977142,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.20593604445457458,0.1919996291399002,0.18811661005020142,-0.007808472495526075,0.14148259162902832
of,0.2827862501144409,0.4069072902202606,0.2820465862751007,0.733189046382904,0.21610750257968903,1.0,0.14607268571853638,0.1894020140171051,0.5696388483047485,0.09827802330255508,0.1826142966747284
abc,0.14673753082752228,0.21565799415111542,0.2247007191181183,0.2068762183189392,0.20593604445457458,0.14607268571853638,1.0000001192092896,0.40620431303977966,0.1697147786617279,-0.03946845605969429,0.19065172970294952
sports,0.15396633744239807,0.19941140711307526,0.10165973007678986,0.20313861966133118,0.19719795882701874,0.24392472207546234,0.20410163700580597,0.3389986753463745,0.27591386437416077,0.004011510405689478,0.04557104781270027
.,0.3541337847709656,0.40146201848983765,0.24760639667510986,0.5934505462646484,0.26255303621292114,0.5352458953857422,0.2567209303379059,0.18083259463310242,0.5591574311256409,0.06467100232839584,0.4130953550338745
