,what,did,martin,luther,'s,marriage,allow,?
his,0.26976513862609863,0.3546801507472992,0.23498685657978058,0.27093374729156494,0.047556519508361816,0.3367312550544739,0.1637401282787323,0.18075084686279297
marriage,0.1536911427974701,0.26697254180908203,0.20510952174663544,0.23981435596942902,-0.04451000317931175,0.9999999403953552,0.19032536447048187,0.13543564081192017
to,0.455847829580307,0.4452643394470215,0.1691744029521942,0.18029534816741943,0.03782717138528824,0.21359077095985413,0.4900954067707062,0.29463258385658264
katharina,0.12859892845153809,0.20237471163272858,0.2808230519294739,0.34570983052253723,0.04765372723340988,0.32383739948272705,0.10883376002311707,0.13054367899894714
von,0.18003655970096588,0.22224590182304382,0.23812420666217804,0.30416905879974365,0.014292019419372082,0.15979543328285217,0.07681988179683685,0.13907472789287567
bora,0.14574234187602997,0.06930505484342575,0.2335331290960312,0.1740429401397705,0.014310713857412338,0.1492779552936554,0.09740661084651947,0.13829001784324646
set,0.28954121470451355,0.19107604026794434,0.11026172339916229,0.12155359983444214,0.05998389050364494,0.13926903903484344,0.230990931391716,0.1698019951581955
a,0.3320399522781372,0.2552328109741211,0.2163310945034027,0.17967689037322998,0.04866964742541313,0.17188730835914612,0.27607089281082153,0.23916715383529663
model,0.2303347885608673,0.13862785696983337,0.009101832285523415,0.02681276760995388,0.06566128134727478,0.12132330983877182,0.1638447344303131,0.14843042194843292
for,0.3017193675041199,0.318512886762619,0.1178249642252922,0.12958186864852905,-0.07241261005401611,0.19036811590194702,0.34999027848243713,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.22029393911361694,0.1759674996137619,-0.01540423184633255,0.17375090718269348,0.27822166681289673,0.22068053483963013
practice,0.2749895751476288,0.256716251373291,0.07523434609174728,0.11158391088247299,0.06984969228506088,0.24132820963859558,0.37592077255249023,0.21386858820915222
of,0.33290785551071167,0.2513895630836487,0.13722093403339386,0.1719115972518921,-0.03817026689648628,0.1860882043838501,0.28057926893234253,0.1826142966747284
clerical,0.23011668026447296,0.24222606420516968,0.1657184511423111,0.25550025701522827,-0.041984789073467255,0.2857988774776459,0.19965484738349915,0.15405778586864471
marriage,0.1536911427974701,0.26697254180908203,0.20510952174663544,0.23981435596942902,-0.04451000317931175,0.9999999403953552,0.19032536447048187,0.13543564081192017
",",0.3087472915649414,0.3015086054801941,0.27058324217796326,0.23255878686904907,-0.0016132977325469255,0.25912216305732727,0.24557842314243317,0.31091248989105225
allowing,0.21854478120803833,0.34487593173980713,0.1019364520907402,0.1390635073184967,0.0355193056166172,0.15444757044315338,0.7338253259658813,0.1434045135974884
protestant,0.23531195521354675,0.23091652989387512,0.27636203169822693,0.45695769786834717,0.04482585936784744,0.31360089778900146,0.20771482586860657,0.14798137545585632
clergy,0.21005667746067047,0.2231728881597519,0.18483787775039673,0.2769649922847748,-0.03667555749416351,0.27839550375938416,0.25380292534828186,0.14422976970672607
to,0.455847829580307,0.4452643394470215,0.1691744029521942,0.18029534816741943,0.03782717138528824,0.21359077095985413,0.4900954067707062,0.29463258385658264
marry,0.2587384581565857,0.27373647689819336,0.1770680844783783,0.19635523855686188,0.0056321825832128525,0.6951314806938171,0.2637883722782135,0.15644006431102753
.,0.3567904531955719,0.35288307070732117,0.25235527753829956,0.24907569587230682,-0.003708066651597619,0.2275817096233368,0.28562283515930176,0.4130953550338745
