,what,is,god,'s,expression,of,eternal,will,",",according,to,luther,?
on,0.34226128458976746,0.3635730445384979,0.13295738399028778,0.0026888418942689896,0.15352408587932587,0.3966929316520691,0.12162340432405472,0.3240351676940918,0.49057599902153015,0.2925943434238434,0.41031414270401,0.19090485572814941,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.24689088761806488,-0.01540423184633255,0.2569258511066437,0.733189046382904,0.25021472573280334,0.3635469079017639,0.4933079481124878,0.3202974498271942,0.535392165184021,0.1759674996137619,0.22068053483963013
other,0.341873437166214,0.25895947217941284,0.17532478272914886,0.04445967823266983,0.19813983142375946,0.38583824038505554,0.17902985215187073,0.3551507890224457,0.4446498453617096,0.13228808343410492,0.4193183183670044,0.18881922960281372,0.24682199954986572
hand,0.26703396439552307,0.2402249276638031,0.21944616734981537,0.1219150647521019,0.20970980823040009,0.18184109032154083,0.164908304810524,0.2959495484828949,0.22187741100788116,0.1420014351606369,0.29793334007263184,0.11325366795063019,0.20656698942184448
",",0.3087472915649414,0.4691906273365021,0.24755379557609558,-0.0016132977325469255,0.22825834155082703,0.4946078956127167,0.241245836019516,0.29706671833992004,1.0000001192092896,0.3107093870639801,0.44245919585227966,0.23255878686904907,0.31091248989105225
luther,0.2134782373905182,0.08282390236854553,0.2238161414861679,-0.009990512393414974,0.1497253179550171,0.1719115972518921,0.1919119656085968,0.12248248606920242,0.23255878686904907,0.1085624098777771,0.18029534816741943,1.0,0.1732746809720993
also,0.42747777700424194,0.5012649297714233,0.29678380489349365,-0.0014726108638569713,0.22490060329437256,0.4924938678741455,0.21409405767917633,0.3469482660293579,0.4717654287815094,0.27162909507751465,0.5348826050758362,0.22154976427555084,0.21848613023757935
points,0.2184005230665207,0.1847371906042099,0.14433401823043823,0.07513526827096939,0.17599666118621826,0.20397144556045532,0.12746015191078186,0.22753766179084778,0.2862778604030609,0.14595678448677063,0.2551480233669281,0.15558326244354248,0.11006313562393188
out,0.3633197546005249,0.2817855477333069,0.19655923545360565,0.0021837172098457813,0.1886001080274582,0.34176841378211975,0.17739786207675934,0.2908986806869507,0.3161109685897827,0.18543526530265808,0.42386990785598755,0.1738509088754654,0.22020699083805084
that,0.6297725439071655,0.3995479643344879,0.30817699432373047,0.04397977516055107,0.29427656531333923,0.41498205065727234,0.2722966969013214,0.4857470989227295,0.4137537479400635,0.29146862030029297,0.5436353087425232,0.21746599674224854,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,0.24689088761806488,-0.01540423184633255,0.2569258511066437,0.733189046382904,0.25021472573280334,0.3635469079017639,0.4933079481124878,0.3202974498271942,0.535392165184021,0.1759674996137619,0.22068053483963013
ten,0.1616830825805664,0.17448657751083374,0.19632895290851593,0.0769851952791214,0.12551897764205933,0.2743614614009857,0.06364984065294266,0.1683346927165985,0.23681947588920593,0.22897444665431976,0.2618066668510437,0.15128806233406067,0.14471080899238586
commandments,0.3296407163143158,0.2231278270483017,0.48053210973739624,0.028551464900374413,0.25140684843063354,0.23104912042617798,0.3097476363182068,0.2619515359401703,0.26035192608833313,0.3222202658653259,0.29559826850891113,0.2768189609050751,0.25463607907295227
–,0.13008765876293182,0.1436920464038849,0.08678116649389267,0.02811010740697384,0.15419341623783112,0.2799985408782959,0.19770917296409607,0.17588835954666138,0.43221306800842285,0.130038321018219,0.19410304725170135,0.21198253333568573,0.2714554965496063
when,0.4700249433517456,0.3471449911594391,0.213263139128685,-0.03368149697780609,0.2317575216293335,0.3757161796092987,0.16853727400302887,0.42625120282173157,0.36674630641937256,0.1697726845741272,0.5423505902290344,0.14516782760620117,0.22841128706932068
considered,0.2834889590740204,0.4096149802207947,0.17649108171463013,0.03146931901574135,0.27529922127723694,0.4190242290496826,0.2009916603565216,0.21823614835739136,0.32932984828948975,0.32602179050445557,0.2954166829586029,0.09524611383676529,0.19909770786762238
not,0.5449194312095642,0.3776007890701294,0.25066840648651123,0.002583299996331334,0.2796218693256378,0.3307090103626251,0.15616458654403687,0.5266793966293335,0.3769696354866028,0.20130372047424316,0.5149973034858704,0.21636232733726501,0.41942933201789856
as,0.31749409437179565,0.43216490745544434,0.20248441398143768,-0.05775856226682663,0.2435152530670166,0.3886612355709076,0.12679269909858704,0.3047071695327759,0.48816442489624023,0.24795791506767273,0.42092081904411316,0.20242992043495178,0.27043893933296204
god,0.3127830922603607,0.2211674600839615,1.0,0.1100120022892952,0.2369012087583542,0.2159487009048462,0.45902934670448303,0.23583611845970154,0.24755379557609558,0.22527611255645752,0.2408517301082611,0.2238161414861679,0.23396754264831543
's,0.02692362666130066,0.02396530658006668,0.1100120022892952,0.9999999403953552,-0.02351965196430683,-0.03817026689648628,0.11692248284816742,0.00371179124340415,-0.0016132977325469255,-0.0037221983075141907,0.03782717138528824,-0.009990512393414974,-0.023395681753754616
condemning,0.3369600474834442,0.2186450958251953,0.2930895686149597,0.022287139669060707,0.27806156873703003,0.2885548770427704,0.20733365416526794,0.2561863660812378,0.2510647177696228,0.2518419027328491,0.3191162645816803,0.23023608326911926,0.26393499970436096
judgment,0.4164268970489502,0.2425585240125656,0.33191877603530884,0.06342562288045883,0.28548529744148254,0.21844886243343353,0.3160887360572815,0.2881917357444763,0.24941958487033844,0.19689588248729706,0.21608297526836395,0.22386842966079712,0.27361494302749634
but,0.5029441118240356,0.4106791317462921,0.2278047651052475,0.04136733338236809,0.25476983189582825,0.39942997694015503,0.19817638397216797,0.4515458047389984,0.48126736283302307,0.2617877423763275,0.5542377829551697,0.20694120228290558,0.27921953797340393
as,0.31749409437179565,0.43216490745544434,0.20248441398143768,-0.05775856226682663,0.2435152530670166,0.3886612355709076,0.12679269909858704,0.3047071695327759,0.48816442489624023,0.24795791506767273,0.42092081904411316,0.20242992043495178,0.27043893933296204
an,0.2821882665157318,0.4654068350791931,0.11981361359357834,0.025255560874938965,0.19900327920913696,0.32280945777893066,0.13867303729057312,0.22877877950668335,0.3581022024154663,0.16550497710704803,0.3138085603713989,0.10983039438724518,0.19793890416622162
expression,0.258706271648407,0.24893754720687866,0.2369012087583542,-0.02351965196430683,1.0,0.2863939702510834,0.231383815407753,0.24600063264369965,0.22825834155082703,0.18922168016433716,0.28936564922332764,0.1497253179550171,0.17946012318134308
of,0.33290785551071167,0.4854315221309662,0.2159487009048462,-0.03817026689648628,0.2863939702510834,1.0,0.28316113352775574,0.2473582625389099,0.4946078956127167,0.3307822346687317,0.41548454761505127,0.1719115972518921,0.1826142966747284
