,what,percentage,of,the,vote,for,a,scottish,assembly,in,favor,of,it,?
although,0.24844598770141602,0.20601436495780945,0.3024747669696808,0.3265823423862457,0.17959332466125488,0.2825305759906769,0.29747897386550903,0.22960782051086426,0.17898230254650116,0.28763338923454285,0.2966444194316864,0.3024747669696808,0.4662907123565674,0.15541206300258636
the,0.42745697498321533,0.2736506462097168,0.733189046382904,1.0,0.22779929637908936,0.4739971458911896,0.5829201340675354,0.21724988520145416,0.2524827718734741,0.6662389636039734,0.24460799992084503,0.733189046382904,0.6251175999641418,0.22068053483963013
vote,0.30723845958709717,0.3713477849960327,0.19845709204673767,0.22779929637908936,1.0,0.2269713580608368,0.21813347935676575,0.21137574315071106,0.30670177936553955,0.21458156406879425,0.39272135496139526,0.19845709204673767,0.2709835171699524,0.2888886630535126
was,0.22111038863658905,0.12115965038537979,0.4069072902202606,0.48711544275283813,0.22398914396762848,0.3863949179649353,0.4508470594882965,0.20229777693748474,0.2233278602361679,0.45514053106307983,0.24904057383537292,0.4069072902202606,0.4577186405658722,0.18412111699581146
51.6,-0.07751870155334473,-0.02829582802951336,0.03544444963335991,0.060178473591804504,-0.03673906251788139,0.03133461996912956,0.06221538037061691,0.031208883970975876,-0.09312761574983597,0.032352983951568604,-0.07680704444646835,0.03544444963335991,0.06074438616633415,-0.11259301751852036
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.21490740776062012,0.32132625579833984,0.16658860445022583,0.17798779904842377,0.13082700967788696,0.18049770593643188,0.19465309381484985,0.19740736484527588,0.19953428208827972,0.2159399837255478,0.21441808342933655
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.6662389636039734,0.21458156406879425,0.4322226941585541,0.539380669593811,0.16512006521224976,0.2425609529018402,1.0,0.2092810571193695,0.5696388483047485,0.5130809545516968,0.20430970191955566
favour,0.225682333111763,0.2796039581298828,0.29678869247436523,0.2575749158859253,0.39030981063842773,0.28668880462646484,0.20011751353740692,0.19182777404785156,0.16135182976722717,0.18740855157375336,0.6456412672996521,0.29678869247436523,0.23854191601276398,0.19697274267673492
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.19845709204673767,0.4185989499092102,0.5052502155303955,0.1698460429906845,0.2946469783782959,0.5696388483047485,0.25472742319107056,1.0,0.38761502504348755,0.1826142966747284
a,0.3320399522781372,0.25336048007011414,0.5052502155303955,0.5829201340675354,0.21813347935676575,0.44038116931915283,1.0,0.18544672429561615,0.21305732429027557,0.539380669593811,0.2670113742351532,0.5052502155303955,0.5452592968940735,0.23916715383529663
scottish,0.13777151703834534,0.1837088167667389,0.1698460429906845,0.21724988520145416,0.21137574315071106,0.15676887333393097,0.18544672429561615,1.0000001192092896,0.14503487944602966,0.16512006521224976,0.14981122314929962,0.1698460429906845,0.13680848479270935,0.06442669779062271
assembly,0.21462371945381165,0.13082094490528107,0.2946469783782959,0.2524827718734741,0.30670177936553955,0.15736129879951477,0.21305732429027557,0.14503487944602966,1.0000001192092896,0.2425609529018402,0.14286455512046814,0.2946469783782959,0.21690727770328522,0.1488889455795288
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.27201512455940247,0.4464869201183319,0.427140474319458,0.21369139850139618,0.21222424507141113,0.5201468467712402,0.2809197008609772,0.4946078956127167,0.48329564929008484,0.31091248989105225
this,0.5489566326141357,0.3210579752922058,0.45148900151252747,0.6274310946464539,0.31675276160240173,0.5082864165306091,0.5422310829162598,0.20456062257289886,0.18542645871639252,0.45205554366111755,0.32531973719596863,0.45148900151252747,0.6107783317565918,0.3155723512172699
figure,0.2582065463066101,0.14419806003570557,0.21327486634254456,0.24786046147346497,0.12028335779905319,0.1523953080177307,0.2584710121154785,0.1440287083387375,0.12648040056228638,0.17097173631191254,0.12377604097127914,0.21327486634254456,0.23280033469200134,0.21107101440429688
did,0.4259131848812103,0.23947858810424805,0.2513895630836487,0.34736719727516174,0.27747371792793274,0.318512886762619,0.2552328109741211,0.1726994663476944,0.13346484303474426,0.2593238651752472,0.2881953716278076,0.2513895630836487,0.2993364930152893,0.3023456633090973
not,0.5449194312095642,0.3768462836742401,0.3307090103626251,0.4310511648654938,0.331701397895813,0.39280617237091064,0.3791346549987793,0.19732609391212463,0.18340423703193665,0.3403114080429077,0.3428305387496948,0.3307090103626251,0.4651523232460022,0.41942933201789856
equal,0.2397335022687912,0.32928845286369324,0.2787107825279236,0.21154357492923737,0.21515466272830963,0.24821323156356812,0.22565314173698425,0.09599462151527405,0.19155754148960114,0.12870801985263824,0.22593866288661957,0.2787107825279236,0.18672451376914978,0.15421567857265472
the,0.42745697498321533,0.2736506462097168,0.733189046382904,1.0,0.22779929637908936,0.4739971458911896,0.5829201340675354,0.21724988520145416,0.2524827718734741,0.6662389636039734,0.24460799992084503,0.733189046382904,0.6251175999641418,0.22068053483963013
40,-0.05768606811761856,0.03126995638012886,-0.03308193385601044,-0.09923846274614334,0.1055321916937828,-0.02182970941066742,-0.02814851514995098,-0.04117614030838013,0.052310410887002945,-0.058843277394771576,-0.004145348444581032,-0.03308193385601044,-0.045623306185007095,0.010195288807153702
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.21490740776062012,0.32132625579833984,0.16658860445022583,0.17798779904842377,0.13082700967788696,0.18049770593643188,0.19465309381484985,0.19740736484527588,0.19953428208827972,0.2159399837255478,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.19845709204673767,0.4185989499092102,0.5052502155303955,0.1698460429906845,0.2946469783782959,0.5696388483047485,0.25472742319107056,1.0,0.38761502504348755,0.1826142966747284
the,0.42745697498321533,0.2736506462097168,0.733189046382904,1.0,0.22779929637908936,0.4739971458911896,0.5829201340675354,0.21724988520145416,0.2524827718734741,0.6662389636039734,0.24460799992084503,0.733189046382904,0.6251175999641418,0.22068053483963013
total,0.19850242137908936,0.46965354681015015,0.29045331478118896,0.27068960666656494,0.25600868463516235,0.18924455344676971,0.20922091603279114,0.08443612605333328,0.11636454612016678,0.27667245268821716,0.10520961880683899,0.29045331478118896,0.20137327909469604,0.14396025240421295
electorate,0.2379383146762848,0.2277282029390335,0.3167199194431305,0.23709100484848022,0.5328934192657471,0.14738976955413818,0.19261659681797028,0.17602887749671936,0.39669743180274963,0.2352893352508545,0.23805855214595795,0.3167199194431305,0.21155306696891785,0.1467054933309555
