,why,is,using,o2,instead,of,co2,less,efficient,?
this,0.5040162205696106,0.480927973985672,0.4070901870727539,-0.018702425062656403,0.4313099682331085,0.45148900151252747,0.09755565971136093,0.4385764002799988,0.37687912583351135,0.3155723512172699
process,0.3879414200782776,0.21762968599796295,0.3079608380794525,0.1024903729557991,0.3365512192249298,0.23962904512882233,0.12817227840423584,0.324845552444458,0.39311400055885315,0.2460896074771881
reduces,0.15409353375434875,0.25002920627593994,0.30452123284339905,-0.029043078422546387,0.31413769721984863,0.3051842451095581,0.07485253363847733,0.39858710765838623,0.48786765336990356,0.09830642491579056
the,0.30742117762565613,0.5823672413825989,0.28364112973213196,-0.11169687658548355,0.3940567970275879,0.733189046382904,0.2283933311700821,0.29185041785240173,0.22032952308654785,0.22068053483963013
efficiency,0.20141072571277618,0.19588415324687958,0.2615547478199005,-0.019720138981938362,0.22301915287971497,0.22438649833202362,0.11208514869213104,0.3742229640483856,0.8282090425491333,0.14680004119873047
of,0.28464117646217346,0.4854315221309662,0.24298200011253357,-0.11047574132680893,0.31208282709121704,1.0,0.20196707546710968,0.30836719274520874,0.22586165368556976,0.1826142966747284
photosynthesis—it,0.2694512605667114,0.2238721400499344,0.2639576196670532,0.11136917024850845,0.23898275196552277,0.26473405957221985,0.10506223887205124,0.29725953936576843,0.4434330463409424,0.18267710506916046
consumes,0.19220386445522308,0.2618393898010254,0.2872611880302429,-0.04595952481031418,0.3159606456756592,0.24102890491485596,0.14094547927379608,0.4299948513507843,0.4596252739429474,0.20505772531032562
atp,0.21190263330936432,0.1572589874267578,0.14147281646728516,0.10300231724977493,0.17794223129749298,0.209827721118927,0.09318197518587112,0.20601119101047516,0.29922130703926086,0.17643076181411743
and,0.27806392312049866,0.3859752118587494,0.33157408237457275,-0.05017917603254318,0.38524195551872253,0.5116966962814331,0.24557308852672577,0.35327455401420593,0.2733532190322876,0.20544172823429108
oxygen,0.2391396164894104,0.21825239062309265,0.20990879833698273,-0.037116553634405136,0.24622170627117157,0.16848602890968323,0.10799314826726913,0.28631672263145447,0.3464674949645996,0.16786395013332367
",",0.2827242314815521,0.4691906273365021,0.27050045132637024,-0.037892747670412064,0.32166025042533875,0.4946078956127167,0.24751001596450806,0.28111666440963745,0.19394852221012115,0.31091248989105225
releases,0.18938316404819489,0.21961836516857147,0.20236451923847198,0.0995262935757637,0.2505425810813904,0.23871108889579773,0.09763024747371674,0.23941440880298615,0.1846064329147339,0.12452229112386703
co2,0.137096107006073,0.19324472546577454,0.02031649462878704,0.032912787050008774,0.06405524909496307,0.20196707546710968,1.0,0.12218616157770157,0.09335073828697205,0.0799083262681961
",",0.2827242314815521,0.4691906273365021,0.27050045132637024,-0.037892747670412064,0.32166025042533875,0.4946078956127167,0.24751001596450806,0.28111666440963745,0.19394852221012115,0.31091248989105225
and,0.27806392312049866,0.3859752118587494,0.33157408237457275,-0.05017917603254318,0.38524195551872253,0.5116966962814331,0.24557308852672577,0.35327455401420593,0.2733532190322876,0.20544172823429108
produces,0.164468914270401,0.35465162992477417,0.29474693536758423,0.05512383207678795,0.2898315191268921,0.24670347571372986,0.08936417102813721,0.28249597549438477,0.34369954466819763,0.17052298784255981
no,0.3188003897666931,0.19581134617328644,0.18604721128940582,0.01297530997544527,0.2996675968170166,0.24809792637825012,0.08537543565034866,0.3085037171840668,0.24114809930324554,0.32165053486824036
sugar,0.08908149600028992,0.23222456872463226,0.19021479785442352,-0.06761544197797775,0.2783883213996887,0.21003012359142303,0.24566158652305603,0.22878485918045044,0.223013773560524,0.12463535368442535
.,0.32909876108169556,0.4569662809371948,0.3629456162452698,0.09499986469745636,0.3707379400730133,0.5352458953857422,0.1901669055223465,0.32668155431747437,0.2178027182817459,0.4130953550338745
