,what,was,part,of,the,aftermath,of,the,elections,in,2007,?
further,0.30867868661880493,0.16107149422168732,0.19611193239688873,0.24797867238521576,0.32531118392944336,0.17946399748325348,0.24797867238521576,0.32531118392944336,0.1748962551355362,0.233941450715065,-0.17891806364059448,0.20960763096809387
",",0.3087472915649414,0.45456063747406006,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.2569456994533539,0.4946078956127167,0.4933079481124878,0.2606843113899231,0.5201468467712402,-0.24049624800682068,0.31091248989105225
in,0.30808621644973755,0.45514053106307983,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.24593965709209442,0.5696388483047485,0.6662389636039734,0.2604275643825531,1.0,-0.2201838344335556,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,0.527681291103363,0.733189046382904,1.0,0.24227569997310638,0.733189046382904,1.0,0.23646192252635956,0.6662389636039734,-0.23657195270061493,0.22068053483963013
aftermath,0.18331018090248108,0.2607690393924713,0.15868254005908966,0.18747471272945404,0.24227569997310638,0.9999999403953552,0.18747471272945404,0.24227569997310638,0.22445054352283478,0.24593965709209442,-0.12552693486213684,0.13848184049129486
of,0.33290785551071167,0.4069072902202606,0.452393114566803,1.0,0.733189046382904,0.18747471272945404,1.0,0.733189046382904,0.25554418563842773,0.5696388483047485,-0.21244128048419952,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.527681291103363,0.733189046382904,1.0,0.24227569997310638,0.733189046382904,1.0,0.23646192252635956,0.6662389636039734,-0.23657195270061493,0.22068053483963013
national,0.16882304847240448,0.2433898150920868,0.1833047866821289,0.3314673602581024,0.32739606499671936,0.1936826854944229,0.3314673602581024,0.32739606499671936,0.18435390293598175,0.28915393352508545,-0.13758890330791473,0.15643028914928436
elections,0.2432289719581604,0.26122042536735535,0.1996009796857834,0.25554418563842773,0.23646192252635956,0.22445054352283478,0.25554418563842773,0.23646192252635956,1.0,0.2604275643825531,-0.26696276664733887,0.2319818139076233
of,0.33290785551071167,0.4069072902202606,0.452393114566803,1.0,0.733189046382904,0.18747471272945404,1.0,0.733189046382904,0.25554418563842773,0.5696388483047485,-0.21244128048419952,0.1826142966747284
december,0.19304980337619781,0.41127854585647583,0.12766133248806,0.1503814309835434,0.23266014456748962,0.2171604335308075,0.1503814309835434,0.23266014456748962,0.22773024439811707,0.25854936242103577,-0.22690580785274506,0.2480352818965912
2007,-0.15549811720848083,-0.29168957471847534,-0.146101713180542,-0.21244128048419952,-0.23657195270061493,-0.12552693486213684,-0.21244128048419952,-0.23657195270061493,-0.26696276664733887,-0.2201838344335556,1.0,-0.1664225310087204
and,0.31309178471565247,0.3740963041782379,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.22175663709640503,0.5116966962814331,0.5171257257461548,0.21463163197040558,0.4954058527946472,-0.2391151487827301,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,0.527681291103363,0.733189046382904,1.0,0.24227569997310638,0.733189046382904,1.0,0.23646192252635956,0.6662389636039734,-0.23657195270061493,0.22068053483963013
violence,0.24788525700569153,0.1779039204120636,0.14132161438465118,0.21331627666950226,0.25465771555900574,0.3886755704879761,0.21331627666950226,0.25465771555900574,0.2377234697341919,0.2653872072696686,-0.14047670364379883,0.20634515583515167
that,0.6297725439071655,0.33670201897621155,0.37747326493263245,0.41498205065727234,0.5473989248275757,0.2823801636695862,0.41498205065727234,0.5473989248275757,0.24628452956676483,0.435920387506485,-0.18422195315361023,0.32716336846351624
subsequently,0.10897690057754517,0.3486802279949188,0.14144645631313324,0.19330023229122162,0.2886511981487274,0.2812561094760895,0.19330023229122162,0.2886511981487274,0.08488515764474869,0.21820683777332306,-0.11969860643148422,0.005594457965344191
