,what,group,of,people,performed,revolutionary,civil,disobedience,toward,the,austrian,government,?
it,0.45803478360176086,0.2364906221628189,0.38761502504348755,0.3940119743347168,0.23260155320167542,0.17951145768165588,0.17707513272762299,0.2648297846317291,0.2763417363166809,0.6251175999641418,0.12122321128845215,0.28037968277931213,0.25732165575027466
has,0.20338068902492523,0.1970849484205246,0.3909035325050354,0.2147672474384308,0.20503535866737366,0.1292729377746582,0.14805923402309418,0.11896127462387085,0.20727217197418213,0.4177538752555847,0.1138937845826149,0.205010324716568,0.15994466841220856
been,0.2567804455757141,0.18679015338420868,0.31685134768486023,0.23209184408187866,0.24806736409664154,0.13452745974063873,0.16754008829593658,0.20087917149066925,0.14101871848106384,0.3563927710056305,0.12963584065437317,0.20358073711395264,0.24354910850524902
claimed,0.2667301297187805,0.14714056253433228,0.25888603925704956,0.24996361136436462,0.13657259941101074,0.20526692271232605,0.15448780357837677,0.30783548951148987,0.15395846962928772,0.2761930227279663,0.16364844143390656,0.31301286816596985,0.2083493024110794
that,0.6297725439071655,0.3089635670185089,0.41498205065727234,0.3621441423892975,0.18835227191448212,0.20114073157310486,0.16867391765117645,0.3551425039768219,0.29561343789100647,0.5473989248275757,0.18530410528182983,0.29558056592941284,0.32716336846351624
the,0.42745697498321533,0.30795547366142273,0.733189046382904,0.36838498711586,0.239950031042099,0.24521014094352722,0.2477465271949768,0.30963727831840515,0.3341628313064575,1.0,0.23007287085056305,0.31798112392425537,0.22068053483963013
hungarians,0.1350010335445404,0.1685570627450943,0.1752525269985199,0.34452277421951294,0.14934973418712616,0.244203582406044,0.09864373505115509,0.18422435224056244,0.1203543022274971,0.19833560287952423,0.45816460251808167,0.16694387793540955,0.12572893500328064
under,0.20154598355293274,0.18789589405059814,0.32766106724739075,0.13689811527729034,0.14866554737091064,0.13906197249889374,0.14464205503463745,0.2651269733905792,0.1905096024274826,0.3348022699356079,0.13983280956745148,0.20301255583763123,0.18233340978622437
ferenc,0.12516885995864868,0.15686161816120148,0.15843814611434937,0.13368746638298035,0.15577714145183563,0.29172050952911377,0.12374794483184814,0.12638022005558014,0.06944819539785385,0.16982068121433258,0.4355647563934326,0.21694420278072357,0.1401035487651825
deák,0.30668824911117554,0.13439658284187317,0.18503226339817047,0.1885930895805359,0.33166927099227905,0.27200308442115784,0.20957373082637787,0.3351793885231018,0.18805751204490662,0.2475004345178604,0.30172207951545715,0.18704985082149506,0.24935168027877808
directed,0.1783117949962616,0.12679116427898407,0.14901293814182281,0.05765819549560547,0.30568405985832214,0.13933075964450836,0.10098446905612946,0.1998557299375534,0.27134156227111816,0.21284286677837372,0.14055830240249634,0.10432524234056473,0.1359327733516693
revolutionary,0.15823614597320557,0.18658220767974854,0.29118266701698303,0.22206878662109375,0.12289389967918396,0.9999999403953552,0.4157695174217224,0.368465393781662,0.20026174187660217,0.24521014094352722,0.19419963657855988,0.3604598045349121,0.1343436986207962
civil,0.15091551840305328,0.07985135167837143,0.24698495864868164,0.24625034630298615,0.12082292884588242,0.4157695174217224,1.0,0.5442691445350647,0.16121837496757507,0.2477465271949768,0.11131515353918076,0.30626749992370605,0.1494513899087906
disobedience,0.3298627436161041,0.2244253009557724,0.31932318210601807,0.2943185269832611,0.23244498670101166,0.368465393781662,0.5442691445350647,1.0,0.2830926775932312,0.30963727831840515,0.1453547179698944,0.39617401361465454,0.19890835881233215
against,0.24561616778373718,0.2582053244113922,0.2669808566570282,0.20144562423229218,0.17119967937469482,0.25376826524734497,0.22722691297531128,0.3858777582645416,0.3345416486263275,0.3090755045413971,0.14416831731796265,0.2628965973854065,0.18095137178897858
the,0.42745697498321533,0.30795547366142273,0.733189046382904,0.36838498711586,0.239950031042099,0.24521014094352722,0.2477465271949768,0.30963727831840515,0.3341628313064575,1.0,0.23007287085056305,0.31798112392425537,0.22068053483963013
austrian,0.1206708550453186,0.1735876351594925,0.16766223311424255,0.06782781332731247,0.16413705050945282,0.19419963657855988,0.11131515353918076,0.1453547179698944,0.12760958075523376,0.23007287085056305,1.0,0.13328170776367188,0.10452693700790405
government,0.28074538707733154,0.1905447095632553,0.3475167155265808,0.351580411195755,0.11699540913105011,0.3604598045349121,0.30626749992370605,0.39617401361465454,0.15782661736011505,0.31798112392425537,0.13328170776367188,1.0000001192092896,0.18851417303085327
.,0.3567904531955719,0.27268800139427185,0.5352458953857422,0.33118996024131775,0.2417089343070984,0.2612297534942627,0.2541380822658539,0.2603943943977356,0.21516545116901398,0.5934505462646484,0.20832042396068573,0.2521961033344269,0.4130953550338745
