,what,did,the,network,install,in,1999
the,0.42745697498321533,0.34736719727516174,1.0,0.27187061309814453,0.18724390864372253,0.6662389636039734,0.06755080074071884
vbns,0.24957886338233948,0.2123332917690277,0.2813221216201782,0.25583016872406006,0.29471442103385925,0.16415390372276306,-0.06818153709173203
installed,0.18395552039146423,0.19468750059604645,0.2233201116323471,0.16910289227962494,0.8615224361419678,0.1724025458097458,0.034887898713350296
one,0.376489520072937,0.27659472823143005,0.5514441132545471,0.2341459095478058,0.20501968264579773,0.4129433035850525,0.028071630746126175
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.21800683438777924,0.14315830171108246,0.5696388483047485,0.06211002916097641
the,0.42745697498321533,0.34736719727516174,1.0,0.27187061309814453,0.18724390864372253,0.6662389636039734,0.06755080074071884
first,0.28086137771606445,0.33691170811653137,0.49448907375335693,0.2069581300020218,0.14209844172000885,0.4127444326877594,0.029182899743318558
ever,0.3486426770687103,0.3356092572212219,0.3474041819572449,0.12745024263858795,0.19078728556632996,0.31014615297317505,0.06908784061670303
production,0.16636081039905548,0.1752309501171112,0.2657334506511688,0.2118968814611435,0.21851696074008942,0.22079120576381683,-0.14554950594902039
oc-48c,0.13957442343235016,0.09760929644107819,0.1991194784641266,0.12301672995090485,0.10765210539102554,0.21369852125644684,0.02867954410612583
(,0.2411840260028839,0.18979617953300476,0.33289089798927307,0.20757101476192474,0.12746530771255493,0.3087427020072937,0.04074253514409065
2.5,-0.1488470584154129,-0.2193155735731125,-0.2036779820919037,-0.06694858521223068,-0.04332840442657471,-0.13183799386024475,-0.07438047975301743
gbit/s,0.30645161867141724,0.1511046290397644,0.21445198357105255,0.3847980201244354,0.4312237799167633,0.1276172250509262,0.08209361881017685
),0.26259949803352356,0.18584993481636047,0.3456730246543884,0.23536871373653412,0.14585573971271515,0.3326910734176636,0.03568542003631592
ip,0.31860238313674927,0.19457244873046875,0.20262880623340607,0.39564546942710876,0.31099045276641846,0.14581629633903503,0.047436732798814774
links,0.28343620896339417,0.18682783842086792,0.2692725956439972,0.21717320382595062,0.20185840129852295,0.2188456952571869,-0.014403077773749828
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.19496823847293854,0.14673753082752228,1.0,-0.0026030326262116432
february,0.1913013905286789,0.25426602363586426,0.26483774185180664,0.18069471418857574,0.1815422922372818,0.2990526556968689,0.1611117124557495
1999,0.09112130105495453,0.08004042506217957,0.06755080074071884,-0.01821882463991642,-0.03842002525925636,-0.0026030326262116432,0.9999999403953552
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.27591994404792786,0.1670209765434265,0.4954058527946472,-0.09923774003982544
went,0.20164033770561218,0.4810470640659332,0.3345835506916046,0.14566566050052643,0.0987837016582489,0.30470821261405945,0.08734177052974701
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.30190837383270264,0.18541453778743744,0.46853652596473694,0.03319690749049187
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.25940340757369995,0.27672526240348816,0.45010748505592346,0.03205801546573639
upgrade,0.18096618354320526,0.20234769582748413,0.2122071534395218,0.23708662390708923,0.4414069950580597,0.13753563165664673,0.025673845782876015
the,0.42745697498321533,0.34736719727516174,1.0,0.27187061309814453,0.18724390864372253,0.6662389636039734,0.06755080074071884
entire,0.37562522292137146,0.22471237182617188,0.4870373010635376,0.21380192041397095,0.23473061621189117,0.3347092568874359,-0.0028185939881950617
backbone,0.19907666742801666,0.1093868687748909,0.36627256870269775,0.33543524146080017,0.22227945923805237,0.2334928661584854,-0.08686541020870209
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.25940340757369995,0.27672526240348816,0.45010748505592346,0.03205801546573639
oc-48c,0.13957442343235016,0.09760929644107819,0.1991194784641266,0.12301672995090485,0.10765210539102554,0.21369852125644684,0.02867954410612583
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.23909442126750946,0.21965621411800385,0.5591574311256409,0.037616800516843796
