,what,is,another,general,concept,that,applies,to,elements,of,commutative,rings,?
prime,0.15586113929748535,0.16680827736854553,0.1532704085111618,0.3252279460430145,0.14651358127593994,0.18163643777370453,0.1586577296257019,0.2015804797410965,0.10836401581764221,0.23935265839099884,0.24575275182724,0.1756053864955902,0.11276303976774216
numbers,0.24586999416351318,0.19465886056423187,0.25528380274772644,0.2060379683971405,0.21497990190982819,0.342125803232193,0.25316545367240906,0.29515770077705383,0.31586575508117676,0.228018656373024,0.4214276075363159,0.2327689230442047,0.19297972321510315
give,0.32935357093811035,0.25632646679878235,0.30758363008499146,0.1693277657032013,0.170683816075325,0.41792264580726624,0.3815274238586426,0.4396136403083801,0.18557952344417572,0.33489471673965454,0.23099683225154877,0.22715625166893005,0.2985610067844391
rise,0.23887591063976288,0.1640702784061432,0.21996404230594635,0.12404406070709229,0.24085469543933868,0.26001712679862976,0.13895265758037567,0.23256368935108185,0.1875297576189041,0.2733727991580963,0.1428094506263733,0.1807279735803604,0.10799103230237961
to,0.455847829580307,0.42745086550712585,0.48769932985305786,0.24755197763442993,0.2465057224035263,0.5436353087425232,0.3004893660545349,1.0,0.22117622196674347,0.41548454761505127,0.21027719974517822,0.21012280881404877,0.29463258385658264
two,0.23363454639911652,0.2315155267715454,0.39954787492752075,0.20819194614887238,0.18652471899986267,0.3858162462711334,0.18869450688362122,0.3343428373336792,0.18649069964885712,0.37726253271102905,0.21843352913856506,0.2710493803024292,0.19645625352859497
more,0.3484537899494171,0.2946030795574188,0.4338461756706238,0.2037004828453064,0.3052826225757599,0.4813884496688843,0.24708668887615204,0.47084665298461914,0.22712326049804688,0.30478984117507935,0.20620839297771454,0.22269392013549805,0.27894994616508484
general,0.24928055703639984,0.20144300162792206,0.19686520099639893,1.0000001192092896,0.20796801149845123,0.2510950565338135,0.2703021168708801,0.24755197763442993,0.16685700416564941,0.28352999687194824,0.20578932762145996,0.10404278337955475,0.1972234547138214
concepts,0.30926722288131714,0.27732059359550476,0.25586163997650146,0.16837343573570251,0.7868887186050415,0.33172982931137085,0.34802544116973877,0.31806352734565735,0.40866321325302124,0.23946964740753174,0.31766200065612793,0.17027528584003448,0.21270129084587097
that,0.6297725439071655,0.3995479643344879,0.5273378491401672,0.2510950565338135,0.3531160056591034,1.0,0.3473225235939026,0.5436353087425232,0.30113428831100464,0.41498205065727234,0.27850520610809326,0.26710817217826843,0.32716336846351624
apply,0.3400125503540039,0.2002597153186798,0.2951948940753937,0.21125534176826477,0.2906710207462311,0.39202404022216797,0.7130704522132874,0.3410952687263489,0.2671899199485779,0.23030845820903778,0.29966169595718384,0.15987922251224518,0.3161788284778595
to,0.455847829580307,0.42745086550712585,0.48769932985305786,0.24755197763442993,0.2465057224035263,0.5436353087425232,0.3004893660545349,1.0,0.22117622196674347,0.41548454761505127,0.21027719974517822,0.21012280881404877,0.29463258385658264
