,what,did,colonial,authorities,reduce,because,of,the,ballarat,revolt,?
this,0.5489566326141357,0.3609912693500519,0.18399208784103394,0.2683684229850769,0.33131372928619385,0.5723192095756531,0.45148900151252747,0.6274310946464539,0.24432530999183655,0.2172854244709015,0.3155723512172699
was,0.22111038863658905,0.41399896144866943,0.2549057900905609,0.2960662841796875,0.08882597088813782,0.3841400742530823,0.4069072902202606,0.48711544275283813,0.30413487553596497,0.25198274850845337,0.18412111699581146
crushed,0.16237099468708038,0.16701029241085052,0.10696637630462646,0.1469331681728363,0.22057336568832397,0.2759232223033905,0.2754969298839569,0.274326890707016,0.17365841567516327,0.29746320843696594,0.09412815421819687
by,0.2455483376979828,0.18574509024620056,0.19209767878055573,0.2724512219429016,0.22512349486351013,0.3562704622745514,0.3646814823150635,0.4408751428127289,0.19086384773254395,0.22489765286445618,0.17966607213020325
british,0.19255435466766357,0.2039594054222107,0.37019065022468567,0.22486959397792816,0.12360367178916931,0.1413789987564087,0.23701532185077667,0.28973397612571716,0.29082736372947693,0.28063979744911194,0.09711728990077972
troops,0.18311697244644165,0.2146090567111969,0.3565918803215027,0.4014270007610321,0.1712522953748703,0.16876207292079926,0.23602326214313507,0.3229958415031433,0.22019822895526886,0.36692625284194946,0.14329779148101807
",",0.3087472915649414,0.3015086054801941,0.2506951689720154,0.24295401573181152,0.15094059705734253,0.372031033039093,0.4946078956127167,0.4933079481124878,0.222074493765831,0.18433308601379395,0.31091248989105225
but,0.5029441118240356,0.49033689498901367,0.19171887636184692,0.2837049663066864,0.27568286657333374,0.6638238430023193,0.39942997694015503,0.4859698414802551,0.24382837116718292,0.21578238904476166,0.27921953797340393
the,0.42745697498321533,0.34736719727516174,0.2715741693973541,0.2784515917301178,0.2735816240310669,0.44596394896507263,0.733189046382904,1.0,0.2850953936576843,0.26279088854789734,0.22068053483963013
discontents,0.27175650000572205,0.1692427396774292,0.10847044736146927,0.2441839575767517,0.28268468379974365,0.2651284337043762,0.16628575325012207,0.2135908454656601,0.1291600912809372,0.09941171109676361,0.29574844241142273
prompted,0.20217911899089813,0.33951452374458313,0.14030413329601288,0.3675709366798401,0.20499084889888763,0.2640990912914276,0.24356763064861298,0.3065200448036194,0.08142156153917313,0.23995672166347504,0.13139130175113678
colonial,0.15791663527488708,0.17575712502002716,1.0,0.300587922334671,0.16242533922195435,0.17749784886837006,0.2972153425216675,0.2715741693973541,0.3072989881038666,0.37788447737693787,0.10191229730844498
authorities,0.23251837491989136,0.30031415820121765,0.300587922334671,1.0,0.21249043941497803,0.2709572911262512,0.2408684492111206,0.2784515917301178,0.2890026867389679,0.31122973561286926,0.17285770177841187
to,0.455847829580307,0.4452643394470215,0.22932834923267365,0.29137885570526123,0.35182690620422363,0.5166091918945312,0.41548454761505127,0.535392165184021,0.2867371439933777,0.2202012687921524,0.29463258385658264
reform,0.20049384236335754,0.2208065688610077,0.229111909866333,0.37722596526145935,0.31433647871017456,0.2519792318344116,0.28063878417015076,0.28116169571876526,0.27066659927368164,0.32646802067756653,0.14216484129428864
the,0.42745697498321533,0.34736719727516174,0.2715741693973541,0.2784515917301178,0.2735816240310669,0.44596394896507263,0.733189046382904,1.0,0.2850953936576843,0.26279088854789734,0.22068053483963013
administration,0.2483910471200943,0.20127087831497192,0.27479130029678345,0.4097300171852112,0.2308947741985321,0.2092500627040863,0.3326551914215088,0.3083578944206238,0.19466489553451538,0.18170544505119324,0.14283715188503265
(,0.2411840260028839,0.18979617953300476,0.19721278548240662,0.11441605538129807,0.12784263491630554,0.2131619155406952,0.35032153129577637,0.33289089798927307,0.15090259909629822,0.1071397215127945,0.40561532974243164
particularly,0.33027681708335876,0.2694823145866394,0.19241514801979065,0.26702454686164856,0.22758813202381134,0.4249844253063202,0.30258041620254517,0.32132959365844727,0.227334126830101,0.19176101684570312,0.2644225060939789
reducing,0.16407831013202667,0.14360693097114563,0.13436296582221985,0.17593543231487274,0.735232949256897,0.3435882031917572,0.23143820464611053,0.2389497607946396,0.1367146521806717,0.12212672084569931,0.1068432405591011
the,0.42745697498321533,0.34736719727516174,0.2715741693973541,0.2784515917301178,0.2735816240310669,0.44596394896507263,0.733189046382904,1.0,0.2850953936576843,0.26279088854789734,0.22068053483963013
hated,0.29935210943222046,0.47796839475631714,0.17672820389270782,0.2866467833518982,0.13631102442741394,0.43142467737197876,0.2505388855934143,0.25385117530822754,0.11785239726305008,0.2930569052696228,0.20572209358215332
mining,0.24916619062423706,0.17553259432315826,0.2788104712963104,0.27108460664749146,0.25656986236572266,0.25611215829849243,0.29953035712242126,0.24748016893863678,0.40166085958480835,0.2121858447790146,0.11012917757034302
licence,0.19156304001808167,0.2268308401107788,0.1228439137339592,0.2744322419166565,0.08060752600431442,0.17540422081947327,0.12410656362771988,0.19777196645736694,0.22906124591827393,0.07787800580263138,0.14982500672340393
fees,0.19752082228660583,0.2814892828464508,0.19044622778892517,0.37208616733551025,0.2122698277235031,0.1943911463022232,0.15170428156852722,0.22297759354114532,0.2909846603870392,0.20926648378372192,0.18385712802410126
),0.26259949803352356,0.18584993481636047,0.18209196627140045,0.1073325052857399,0.11328841745853424,0.2400766909122467,0.3680361211299896,0.3456730246543884,0.1558670550584793,0.12460894137620926,0.42300865054130554
and,0.31309178471565247,0.34479495882987976,0.29516419768333435,0.2857656180858612,0.2456025630235672,0.5069696307182312,0.5116966962814331,0.5171257257461548,0.265418142080307,0.17719049751758575,0.20544172823429108
extend,0.30407145619392395,0.1862391084432602,0.182101309299469,0.18061567842960358,0.3096565902233124,0.19744113087654114,0.2804538309574127,0.29680711030960083,0.09994009882211685,0.11002618074417114,0.2181791514158249
