,what,could,someone,be,investigated,for,?
the,0.42745697498321533,0.35393214225769043,0.2575405538082123,0.4248143136501312,0.258423388004303,0.4739971458911896,0.22068053483963013
functions,0.22357098758220673,0.2632847726345062,0.20286723971366882,0.2704888582229614,0.32875940203666687,0.26696184277534485,0.13745930790901184
of,0.33290785551071167,0.29043012857437134,0.18018293380737305,0.33904364705085754,0.21427537500858307,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.35393214225769043,0.2575405538082123,0.4248143136501312,0.258423388004303,0.4739971458911896,0.22068053483963013
teacher,0.20492632687091827,0.21291975677013397,0.2887204587459564,0.1891087293624878,0.17857684195041656,0.23373261094093323,0.1797819435596466
's,0.02692362666130066,0.02905246801674366,0.052476685494184494,0.025217169895768166,-0.07113172113895416,-0.07241261005401611,-0.023395681753754616
colleges,0.19657261669635773,0.1819974035024643,0.169062077999115,0.21227063238620758,0.17910446226596832,0.2304772138595581,0.15586905181407928
may,0.25739946961402893,0.41583991050720215,0.24132280051708221,0.45514434576034546,0.23856070637702942,0.29255861043930054,0.2768254578113556
include,0.1535889357328415,0.12381427735090256,0.12583564221858978,0.29535481333732605,0.126585453748703,0.39020416140556335,0.14925788342952728
setting,0.287603497505188,0.18002209067344666,0.20756885409355164,0.23218974471092224,0.12511621415615082,0.3253006041049957,0.16943378746509552
out,0.3633197546005249,0.3307218849658966,0.33993372321128845,0.3626708686351776,0.3268953561782837,0.3312093913555145,0.22020699083805084
clear,0.4239453375339508,0.28718194365501404,0.2613815665245056,0.30344653129577637,0.2851652204990387,0.2821788191795349,0.2738020122051239
standards,0.2855789363384247,0.26357120275497437,0.24692927300930023,0.2821919918060303,0.18786588311195374,0.3276354670524597,0.2011813372373581
of,0.33290785551071167,0.29043012857437134,0.18018293380737305,0.33904364705085754,0.21427537500858307,0.4185989499092102,0.1826142966747284
practice,0.2749895751476288,0.2482292354106903,0.2649141550064087,0.2743644714355469,0.20963895320892334,0.3276185989379883,0.21386858820915222
",",0.3087472915649414,0.27399855852127075,0.23755213618278503,0.39254459738731384,0.21958711743354797,0.4464869201183319,0.31091248989105225
providing,0.21766136586666107,0.350618451833725,0.267265647649765,0.36757728457450867,0.23858195543289185,0.44196924567222595,0.1936793476343155
for,0.3017193675041199,0.3405117690563202,0.31841790676116943,0.3801851272583008,0.23705774545669556,0.9999999403953552,0.264628142118454
the,0.42745697498321533,0.35393214225769043,0.2575405538082123,0.4248143136501312,0.258423388004303,0.4739971458911896,0.22068053483963013
ongoing,0.30659452080726624,0.24061985313892365,0.23228175938129425,0.23346158862113953,0.30418893694877625,0.25234121084213257,0.24929021298885345
education,0.19940856099128723,0.17886723577976227,0.16705161333084106,0.19451211392879486,0.181345596909523,0.27265021204948425,0.18067774176597595
of,0.33290785551071167,0.29043012857437134,0.18018293380737305,0.33904364705085754,0.21427537500858307,0.4185989499092102,0.1826142966747284
teachers,0.2526462972164154,0.22082939743995667,0.22973167896270752,0.20256873965263367,0.2167082577943802,0.274332195520401,0.19522249698638916
",",0.3087472915649414,0.27399855852127075,0.23755213618278503,0.39254459738731384,0.21958711743354797,0.4464869201183319,0.31091248989105225
investigating,0.25692835450172424,0.2245662659406662,0.24883557856082916,0.23547308146953583,0.8735681772232056,0.292300820350647,0.16215763986110687
complaints,0.3619142174720764,0.2937130928039551,0.34556668996810913,0.34405168890953064,0.43009111285209656,0.268669456243515,0.25279009342193604
involving,0.22227725386619568,0.1901727318763733,0.19347645342350006,0.20224297046661377,0.2911708652973175,0.26007816195487976,0.19034086167812347
members,0.16873176395893097,0.19841845333576202,0.15339738130569458,0.20344331860542297,0.2540748417377472,0.2612179219722748,0.10212311148643494
",",0.3087472915649414,0.27399855852127075,0.23755213618278503,0.39254459738731384,0.21958711743354797,0.4464869201183319,0.31091248989105225
conducting,0.18511110544204712,0.19300907850265503,0.15492090582847595,0.15140944719314575,0.3073320686817169,0.3109472990036011,0.06755834817886353
hearings,0.27326205372810364,0.27085304260253906,0.25796452164649963,0.2526901960372925,0.36606845259666443,0.2593338191509247,0.17367567121982574
into,0.2180619090795517,0.2989432215690613,0.18324270844459534,0.3462390601634979,0.20714466273784637,0.231735959649086,0.15662476420402527
allegations,0.23008185625076294,0.2987082600593567,0.2645992934703827,0.2245500236749649,0.5177721977233887,0.2303617298603058,0.23546560108661652
of,0.33290785551071167,0.29043012857437134,0.18018293380737305,0.33904364705085754,0.21427537500858307,0.4185989499092102,0.1826142966747284
professional,0.20202119648456573,0.16283391416072845,0.16279834508895874,0.14581933617591858,0.1217886209487915,0.2828660011291504,0.13074518740177155
misconduct,0.2703917920589447,0.25254225730895996,0.3436666429042816,0.27857711911201477,0.3989589214324951,0.3236996531486511,0.21460698544979095
and,0.31309178471565247,0.3385082483291626,0.22983601689338684,0.41766801476478577,0.20584087073802948,0.5064792633056641,0.20544172823429108
taking,0.24635453522205353,0.2644332945346832,0.28648650646209717,0.28882884979248047,0.19702045619487762,0.3636261522769928,0.19960761070251465
appropriate,0.29508692026138306,0.31504392623901367,0.2711789309978485,0.4851205348968506,0.19883514940738678,0.2875204086303711,0.2732597291469574
disciplinary,0.23881381750106812,0.18080520629882812,0.1924947202205658,0.17670394480228424,0.31028497219085693,0.2708965241909027,0.0760471373796463
action,0.30170392990112305,0.2448296695947647,0.25549566745758057,0.2540651559829712,0.1839647740125656,0.23083873093128204,0.250188946723938
and,0.31309178471565247,0.3385082483291626,0.22983601689338684,0.41766801476478577,0.20584087073802948,0.5064792633056641,0.20544172823429108
accrediting,0.28766679763793945,0.24719074368476868,0.2224823236465454,0.22478130459785461,0.22983203828334808,0.3472830653190613,0.29970458149909973
teacher,0.20492632687091827,0.21291975677013397,0.2887204587459564,0.1891087293624878,0.17857684195041656,0.23373261094093323,0.1797819435596466
education,0.19940856099128723,0.17886723577976227,0.16705161333084106,0.19451211392879486,0.181345596909523,0.27265021204948425,0.18067774176597595
programs,0.23178155720233917,0.23197562992572784,0.25160402059555054,0.24123507738113403,0.20411239564418793,0.3644469678401947,0.16452431678771973
.,0.3567904531955719,0.3200591504573822,0.24185851216316223,0.4383580684661865,0.2773345708847046,0.4726039469242096,0.4130953550338745
