,what,are,injectors,used,to,supply,?
another,0.4190070629119873,0.23159852623939514,0.2272905707359314,0.2980952560901642,0.48769932985305786,0.23941664397716522,0.295511931180954
means,0.2553325295448303,0.36549869179725647,0.24850958585739136,0.3492375612258911,0.2301892638206482,0.25601109862327576,0.21233566105365753
of,0.33290785551071167,0.39081433415412903,0.20155547559261322,0.3075267970561981,0.41548454761505127,0.23476092517375946,0.1826142966747284
supplying,0.26363927125930786,0.24836061894893646,0.2849189043045044,0.346168577671051,0.3052118420600891,0.7828907370567322,0.1387658268213272
lower-pressure,0.3006000816822052,0.2396802008152008,0.2720322906970978,0.24088573455810547,0.3608352541923523,0.26398390531539917,0.20680983364582062
boiler,0.23551298677921295,0.14706286787986755,0.31552451848983765,0.2350785881280899,0.18706591427326202,0.3564266264438629,0.20881007611751556
feed,0.24202558398246765,0.3201434016227722,0.24394766986370087,0.29459625482559204,0.2905908226966858,0.3145395815372467,0.19348634779453278
water,0.17456887662410736,0.26855918765068054,0.26361215114593506,0.2721066176891327,0.27858173847198486,0.38052332401275635,0.14731885492801666
is,0.28837618231773376,0.5330929756164551,0.16110967099666595,0.3288823366165161,0.42745086550712585,0.23221483826637268,0.22961433231830597
an,0.2821882665157318,0.1556541919708252,0.15946714580059052,0.25728896260261536,0.3138085603713989,0.22502268850803375,0.19793890416622162
injector,0.1260526329278946,0.17958348989486694,0.8605967164039612,0.3062690496444702,0.16660310328006744,0.1898757815361023,0.15984784066677094
",",0.3087472915649414,0.4062570035457611,0.16109678149223328,0.3120402991771698,0.44245919585227966,0.24017441272735596,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.2718522548675537,0.414506196975708,0.5345056653022766,0.33623191714286804,0.25814583897590637
uses,0.1933930367231369,0.3289667069911957,0.2981865108013153,0.645188570022583,0.3010925054550171,0.24092760682106018,0.18407079577445984
a,0.3320399522781372,0.265255331993103,0.2312500923871994,0.3864384889602661,0.45503583550453186,0.2115103155374527,0.23916715383529663
steam,0.15672586858272552,0.14139318466186523,0.29565978050231934,0.2604328691959381,0.22894427180290222,0.34906667470932007,0.113324373960495
jet,0.08737172186374664,0.13387368619441986,0.33982670307159424,0.21575720608234406,0.1442762017250061,0.2170989215373993,0.13072358071804047
usually,0.32521089911460876,0.5635237097740173,0.3344060182571411,0.4620378017425537,0.3824864327907562,0.24886207282543182,0.19435347616672516
supplied,0.148319274187088,0.17819365859031677,0.26382672786712646,0.41606608033180237,0.2647247314453125,0.6631507873535156,0.08668285608291626
from,0.2737620174884796,0.2674213647842407,0.17407004535198212,0.25821518898010254,0.4069952368736267,0.21366941928863525,0.19969791173934937
the,0.42745697498321533,0.40399202704429626,0.20639577507972717,0.3718377649784088,0.535392165184021,0.31942567229270935,0.22068053483963013
boiler,0.23551298677921295,0.14706286787986755,0.31552451848983765,0.2350785881280899,0.18706591427326202,0.3564266264438629,0.20881007611751556
.,0.3567904531955719,0.3452940285205841,0.18691767752170563,0.33111312985420227,0.4645031690597534,0.2485988885164261,0.4130953550338745
