,how,many,points,are,there,in,the,foundation,of,the,reformation,?
luther,0.13354721665382385,0.2471185326576233,0.15558326244354248,0.13997888565063477,0.17028528451919556,0.20523880422115326,0.1759674996137619,0.11262933164834976,0.1719115972518921,0.1759674996137619,0.43711021542549133,0.1732746809720993
's,-0.026164190843701363,0.01698932610452175,0.07513526827096939,-0.008927806280553341,-0.04860968142747879,-0.037580832839012146,-0.01540423184633255,-0.05394602566957474,-0.03817026689648628,-0.01540423184633255,0.012000528164207935,-0.023395681753754616
rediscovery,0.20108278095722198,0.29362496733665466,0.12423030287027359,0.17189723253250122,0.18562254309654236,0.24031950533390045,0.28241732716560364,0.27860015630722046,0.2683425843715668,0.28241732716560364,0.34260132908821106,0.1588134467601776
of,0.2480744868516922,0.37253960967063904,0.20397144556045532,0.39081433415412903,0.44397735595703125,0.5696388483047485,0.733189046382904,0.26611822843551636,1.0,0.733189046382904,0.311197429895401,0.1826142966747284
``,-0.01591024175286293,0.012824942357838154,0.11454413086175919,0.12624181807041168,0.0756821483373642,0.04765888676047325,0.029072100296616554,-0.11778474599123001,0.06780257821083069,0.029072100296616554,0.08668238669633865,0.0685480609536171
christ,0.2164338231086731,0.15581963956356049,0.15351130068302155,0.14103081822395325,0.14791475236415863,0.16419753432273865,0.25124865770339966,0.20148108899593353,0.27289092540740967,0.25124865770339966,0.41863441467285156,0.13772203028202057
and,0.33647966384887695,0.5296266674995422,0.2753230333328247,0.48576638102531433,0.4242868423461914,0.4954058527946472,0.5171257257461548,0.19384855031967163,0.5116966962814331,0.5171257257461548,0.2996911108493805,0.20544172823429108
his,0.24614305794239044,0.3188176155090332,0.20367783308029175,0.1785505712032318,0.19937020540237427,0.3598145842552185,0.4394008219242096,0.21840602159500122,0.38364991545677185,0.4394008219242096,0.25813475251197815,0.18075084686279297
salvation,0.22351785004138947,0.19983379542827606,0.1460351198911667,0.13394585251808167,0.15852728486061096,0.23297500610351562,0.30236515402793884,0.2780756950378418,0.2523575723171234,0.30236515402793884,0.416370153427124,0.2133665680885315
'',-0.0029843549709767103,-0.016843097284436226,0.011888626962900162,0.0263817198574543,0.03646579384803772,0.07432962208986282,0.041273195296525955,-0.03497930243611336,0.13035868108272552,0.041273195296525955,0.010702555999159813,0.018684765323996544
was,0.16678167879581451,0.260356068611145,0.13673242926597595,0.3076191842556,0.24909798800945282,0.45514053106307983,0.48711544275283813,0.18908900022506714,0.4069072902202606,0.48711544275283813,0.29210031032562256,0.18412111699581146
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.23942872881889343,0.733189046382904,1.0,0.3290504217147827,0.22068053483963013
first,0.27731001377105713,0.2931244373321533,0.1958259493112564,0.20306691527366638,0.2373337596654892,0.4127444326877594,0.49448907375335693,0.1887335330247879,0.3536086082458496,0.49448907375335693,0.20907169580459595,0.18701928853988647
of,0.2480744868516922,0.37253960967063904,0.20397144556045532,0.39081433415412903,0.44397735595703125,0.5696388483047485,0.733189046382904,0.26611822843551636,1.0,0.733189046382904,0.311197429895401,0.1826142966747284
two,0.2499001920223236,0.5147606730461121,0.2553710341453552,0.46276170015335083,0.40416133403778076,0.36463531851768494,0.43858039379119873,0.11177027225494385,0.37726253271102905,0.43858039379119873,0.21386678516864777,0.19645625352859497
points,0.22446410357952118,0.17477619647979736,1.0000001192092896,0.25911909341812134,0.23616521060466766,0.1616203784942627,0.2560983896255493,0.13981054723262787,0.20397144556045532,0.2560983896255493,0.20751599967479706,0.11006313562393188
that,0.557814359664917,0.5391656160354614,0.2772720456123352,0.45265161991119385,0.6006520986557007,0.435920387506485,0.5473989248275757,0.23472844064235687,0.41498205065727234,0.5473989248275757,0.27698859572410583,0.32716336846351624
became,0.10954522341489792,0.25642040371894836,0.0668783038854599,0.23589006066322327,0.13976998627185822,0.31047213077545166,0.36325156688690186,0.15069620311260223,0.3638904094696045,0.36325156688690186,0.2733845114707947,0.11374033987522125
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.23942872881889343,0.733189046382904,1.0,0.3290504217147827,0.22068053483963013
foundation,0.20461364090442657,0.18052014708518982,0.13981054723262787,0.14010508358478546,0.1428777575492859,0.2082953006029129,0.23942872881889343,1.0000001192092896,0.26611822843551636,0.23942872881889343,0.25689172744750977,0.1791457086801529
for,0.3308170735836029,0.40972793102264404,0.22348499298095703,0.3895993232727051,0.3728419542312622,0.4322226941585541,0.4739971458911896,0.2412533462047577,0.4185989499092102,0.4739971458911896,0.18465812504291534,0.264628142118454
the,0.33890387415885925,0.4335206151008606,0.2560983896255493,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.23942872881889343,0.733189046382904,1.0,0.3290504217147827,0.22068053483963013
reformation,0.18478074669837952,0.2656411826610565,0.20751599967479706,0.2030785083770752,0.22650611400604248,0.2716333270072937,0.3290504217147827,0.25689172744750977,0.311197429895401,0.3290504217147827,1.0,0.14843040704727173
.,0.3287222981452942,0.3974229395389557,0.19175463914871216,0.3452940285205841,0.43897318840026855,0.5591574311256409,0.5934505462646484,0.26203909516334534,0.5352458953857422,0.5934505462646484,0.29916802048683167,0.4130953550338745
