,what,type,of,outcomes,can,even,stable,markets,lead,to,?
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.08867388218641281,0.12428006529808044,0.11795219779014587,0.0420256108045578,-0.045080240815877914,-0.03717687353491783,0.06720756739377975,0.0685480609536171
markets,0.12341798096895218,0.11673485487699509,0.17050357162952423,0.3094528019428253,0.2390061318874359,0.16960416734218597,0.16862744092941284,1.0000001192092896,0.07291955500841141,0.23568420112133026,0.11209505051374435
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2300342321395874,0.3139454126358032,0.34610581398010254,0.20380382239818573,0.24350304901599884,0.2561914026737213,0.44245919585227966,0.31091248989105225
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.2189769297838211,0.29642900824546814,0.2642922103404999,0.15101240575313568,0.1262868195772171,0.23356960713863373,0.33534231781959534,0.17966607213020325
themselves,0.34807315468788147,0.07982215285301208,0.2638634443283081,0.28456634283065796,0.37007617950439453,0.41193893551826477,0.19177618622779846,0.1715625673532486,0.1827435940504074,0.37259936332702637,0.20170879364013672
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2300342321395874,0.3139454126358032,0.34610581398010254,0.20380382239818573,0.24350304901599884,0.2561914026737213,0.44245919585227966,0.31091248989105225
even,0.40872135758399963,0.1578398495912552,0.34735506772994995,0.34372609853744507,0.4626958966255188,0.9999999403953552,0.318288117647171,0.16960416734218597,0.21729864180088043,0.46467068791389465,0.30082517862319946
when,0.4700249433517456,0.17292563617229462,0.3757161796092987,0.3070484399795532,0.39191514253616333,0.5135882496833801,0.3108965754508972,0.16949507594108582,0.2627306580543518,0.5423505902290344,0.22841128706932068
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.2669767439365387,0.47909218072891235,0.5229170322418213,0.2621898055076599,0.2727968990802765,0.2170887142419815,0.5452046394348145,0.2753053903579712
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.35184332728385925,0.5408529043197632,0.43312960863113403,0.23883670568466187,0.28276127576828003,0.14601658284664154,0.3504326641559601,0.24591213464736938
stable,0.19113974273204803,0.16082602739334106,0.21093958616256714,0.2842431366443634,0.23748689889907837,0.318288117647171,1.0000001192092896,0.16862744092941284,0.19617675244808197,0.2686217427253723,0.11452282965183258
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2300342321395874,0.3139454126358032,0.34610581398010254,0.20380382239818573,0.24350304901599884,0.2561914026737213,0.44245919585227966,0.31091248989105225
often,0.3849453330039978,0.29205119609832764,0.3351972997188568,0.3177269995212555,0.5252479314804077,0.48392632603645325,0.2131967842578888,0.27365124225616455,0.19302546977996826,0.4351843297481537,0.23748154938220978
lead,0.19642074406147003,0.08599045127630234,0.19835850596427917,0.2136140763759613,0.21390347182750702,0.21729864180088043,0.19617675244808197,0.07291955500841141,0.9999998807907104,0.23490607738494873,0.14552436769008636
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2919275462627411,0.4979398250579834,0.46467068791389465,0.2686217427253723,0.23568420112133026,0.23490607738494873,1.0,0.29463258385658264
