,who,wants,a,more,confrontational,type,of,discipline,?
whilst,0.2786848545074463,0.1899988055229187,0.2896597385406494,0.25775146484375,0.22157563269138336,0.10738121718168259,0.24168513715267181,0.19060997664928436,0.12100983411073685
this,0.3345087468624115,0.27963075041770935,0.5422310829162598,0.5430014133453369,0.3102882206439972,0.36936521530151367,0.45148900151252747,0.2229543775320053,0.3155723512172699
is,0.24293622374534607,0.32272228598594666,0.658733606338501,0.2946030795574188,0.18275511264801025,0.3053323030471802,0.4854315221309662,0.13422119617462158,0.22961433231830597
the,0.3733934462070465,0.2615984082221985,0.5829201340675354,0.39758381247520447,0.2618546485900879,0.21819381415843964,0.733189046382904,0.1981438249349594,0.22068053483963013
consensus,0.22854581475257874,0.22308175265789032,0.2618806064128876,0.2843518555164337,0.26109498739242554,0.1621013879776001,0.14788506925106049,0.22404946386814117,0.3630031645298004
viewpoint,0.26021069288253784,0.2259475737810135,0.23994766175746918,0.29352763295173645,0.37241068482398987,0.1304972767829895,0.20330668985843658,0.25545546412467957,0.3248816728591919
amongst,0.2664080262184143,0.16257433593273163,0.129265695810318,0.31401047110557556,0.28119271993637085,0.07778054475784302,0.29788947105407715,0.17332200706005096,0.16806721687316895
the,0.3733934462070465,0.2615984082221985,0.5829201340675354,0.39758381247520447,0.2618546485900879,0.21819381415843964,0.733189046382904,0.1981438249349594,0.22068053483963013
majority,0.3048361837863922,0.22479625046253204,0.227370023727417,0.2696058750152588,0.19845978915691376,0.1443064659833908,0.29706597328186035,0.17082364857196808,0.220119908452034
of,0.2827862501144409,0.22823545336723328,0.5052502155303955,0.30478984117507935,0.3061554431915283,0.18112817406654358,1.0,0.2260950356721878,0.1826142966747284
academics,0.2997336983680725,0.20316076278686523,0.17293110489845276,0.25088560581207275,0.3292725682258606,0.06300079822540283,0.21528516709804535,0.3503478765487671,0.15616270899772644
",",0.3365725874900818,0.2471858412027359,0.427140474319458,0.3696524500846863,0.25934934616088867,0.1804078221321106,0.4946078956127167,0.18374353647232056,0.31091248989105225
some,0.3978389501571655,0.2427259385585785,0.34539633989334106,0.5524908900260925,0.33575984835624695,0.2761056125164032,0.4300730526447296,0.21145696938037872,0.2562315762042999
teachers,0.34250906109809875,0.2787933647632599,0.2509842813014984,0.22816872596740723,0.22791610658168793,0.09933348745107651,0.27737662196159363,0.28530004620552063,0.19522249698638916
and,0.41279885172843933,0.3308160901069641,0.3739250600337982,0.39880692958831787,0.32221657037734985,0.16898801922798157,0.5116966962814331,0.22925299406051636,0.20544172823429108
parents,0.35227856040000916,0.2748974561691284,0.1443362832069397,0.14236314594745636,0.19612379372119904,0.04523434117436409,0.15361808240413666,0.14040187001228333,0.17306075990200043
advocate,0.33117255568504333,0.3027709722518921,0.23267892003059387,0.18509609997272491,0.30110740661621094,0.1554168164730072,0.22164754569530487,0.2862596809864044,0.19954998791217804
a,0.36608949303627014,0.30014514923095703,1.0,0.3452818691730499,0.29158490896224976,0.3813284635543823,0.5052502155303955,0.21818003058433533,0.23916715383529663
more,0.31567877531051636,0.2451164275407791,0.3452818691730499,1.0,0.2971571385860443,0.2277899980545044,0.30478984117507935,0.20206241309642792,0.27894994616508484
assertive,0.19431260228157043,0.2156321406364441,0.2814101576805115,0.2697914242744446,0.38071006536483765,0.1796112358570099,0.24557600915431976,0.3375295102596283,0.32370299100875854
and,0.41279885172843933,0.3308160901069641,0.3739250600337982,0.39880692958831787,0.32221657037734985,0.16898801922798157,0.5116966962814331,0.22925299406051636,0.20544172823429108
confrontational,0.2705046832561493,0.3096594512462616,0.29158490896224976,0.2971571385860443,1.0000001192092896,0.12997615337371826,0.3061554431915283,0.30990731716156006,0.18393896520137787
style,0.15775224566459656,0.12790341675281525,0.23984776437282562,0.25443214178085327,0.18381710350513458,0.23222918808460236,0.23203764855861664,0.20265641808509827,0.19862167537212372
of,0.2827862501144409,0.22823545336723328,0.5052502155303955,0.30478984117507935,0.3061554431915283,0.18112817406654358,1.0,0.2260950356721878,0.1826142966747284
discipline,0.2213398814201355,0.18801994621753693,0.21818003058433533,0.20206241309642792,0.30990731716156006,0.1828993856906891,0.2260950356721878,1.0000001192092896,0.06836310029029846
.,0.3541337847709656,0.24278217554092407,0.50484299659729,0.4070230722427368,0.21580731868743896,0.23195341229438782,0.5352458953857422,0.129770427942276,0.4130953550338745
