,what,did,the,church,claim,could,be,avoided,with,money,?
he,0.3114890456199646,0.3292143940925598,0.4571082592010498,0.23494282364845276,0.2535962760448456,0.2828438878059387,0.3325980603694916,0.18837012350559235,0.2845253646373749,0.3266763389110565,0.2089974731206894
strongly,0.33651110529899597,0.26648396253585815,0.2760447859764099,0.18637417256832123,0.22115027904510498,0.28681862354278564,0.35617637634277344,0.30115261673927307,0.35296630859375,0.053227007389068604,0.1874239444732666
disputed,0.3041055202484131,0.18744073808193207,0.32414746284484863,0.22046250104904175,0.4690662622451782,0.15925873816013336,0.2190023809671402,0.30499330163002014,0.22393669188022614,0.08423295617103577,0.2165134698152542
the,0.42745697498321533,0.34736719727516174,1.0,0.23846197128295898,0.25873351097106934,0.35393214225769043,0.4248143136501312,0.2570779025554657,0.4223487675189972,0.2699695825576782,0.22068053483963013
claim,0.30214840173721313,0.30867162346839905,0.25873351097106934,0.2062796950340271,1.0,0.25326234102249146,0.2544366419315338,0.2007588893175125,0.16929714381694794,0.23751749098300934,0.2665664851665497
that,0.6297725439071655,0.47518548369407654,0.5473989248275757,0.18300943076610565,0.39801377058029175,0.5584503412246704,0.6036020517349243,0.3334939181804657,0.4154358208179474,0.3115869462490082,0.32716336846351624
freedom,0.21405836939811707,0.21706336736679077,0.24307598173618317,0.24909649789333344,0.20465978980064392,0.20246784389019012,0.203146293759346,0.15009252727031708,0.1636766493320465,0.2927899658679962,0.1626027375459671
from,0.2737620174884796,0.20248863101005554,0.40150508284568787,0.1894836276769638,0.1602199673652649,0.25045305490493774,0.3107333183288574,0.19376082718372345,0.26272761821746826,0.24181504547595978,0.19969791173934937
god,0.3127830922603607,0.2420882135629654,0.24689088761806488,0.3016095757484436,0.24241036176681519,0.25938257575035095,0.21916557848453522,0.08515888452529907,0.19523796439170837,0.2103714942932129,0.23396754264831543
's,0.02692362666130066,0.05069678649306297,-0.01540423184633255,0.023664841428399086,-0.01196212600916624,0.02905246801674366,0.025217169895768166,0.03832167759537697,-0.04624466598033905,0.11903500556945801,-0.023395681753754616
punishment,0.31300443410873413,0.2483551949262619,0.2503047287464142,0.11263202875852585,0.21447740495204926,0.26540130376815796,0.3186786472797394,0.29318422079086304,0.14433805644512177,0.31127315759658813,0.23842233419418335
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.15542230010032654,0.22986814379692078,0.3405117690563202,0.3801851272583008,0.29581332206726074,0.39140474796295166,0.3105318546295166,0.264628142118454
sin,0.2028670310974121,0.12168633192777634,0.18401655554771423,0.16003409028053284,0.17353278398513794,0.18168620765209198,0.16489247977733612,0.1467929482460022,0.07473058253526688,0.17650851607322693,0.17164617776870728
could,0.4188697934150696,0.6308382749557495,0.35393214225769043,0.17006391286849976,0.25326234102249146,0.9999998807907104,0.4791525900363922,0.35331258177757263,0.32055896520614624,0.2954118251800537,0.3411986827850342
be,0.3929833769798279,0.22657383978366852,0.4248143136501312,0.14655785262584686,0.2544366419315338,0.4791525900363922,1.0,0.4245990514755249,0.36101722717285156,0.23008064925670624,0.3324260413646698
purchased,0.1431688368320465,0.19566655158996582,0.21101699769496918,0.18839536607265472,0.2554505169391632,0.21466000378131866,0.21126045286655426,0.18348945677280426,0.20240865647792816,0.39072272181510925,0.04121813923120499
with,0.2464839518070221,0.25472134351730347,0.4223487675189972,0.17961077392101288,0.16929714381694794,0.32055896520614624,0.36101722717285156,0.2805270254611969,0.9999999403953552,0.2095198929309845,0.2433311939239502
money,0.2704482674598694,0.3498571217060089,0.2699695825576782,0.19516867399215698,0.23751749098300934,0.2954118251800537,0.23008064925670624,0.22068263590335846,0.2095198929309845,0.9999998807907104,0.2069680541753769
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.28898224234580994,0.24773532152175903,0.3200591504573822,0.4383580684661865,0.22245344519615173,0.4446153938770294,0.2570818066596985,0.4130953550338745
