,where,was,the,cm,intended,to,land,upon,re,entering,the,earth,'s,atmosphere,?
the,0.5003893971443176,0.48711544275283813,1.0,0.1848733276128769,0.29853108525276184,0.535392165184021,0.28587454557418823,0.28184252977371216,0.282033234834671,0.41189688444137573,1.0,0.2801888585090637,-0.01540423184633255,0.24429655075073242,0.22068053483963013
command,0.18125168979167938,0.22477014362812042,0.27488255500793457,0.10887647420167923,0.26033496856689453,0.25119054317474365,0.21581754088401794,0.24175617098808289,0.12813927233219147,0.1540675014257431,0.27488255500793457,0.2111762911081314,-0.020514624193310738,0.10433478653430939,0.13402260839939117
module,0.1924731284379959,0.09592796117067337,0.15147453546524048,-0.005161388777196407,0.2379239797592163,0.17751087248325348,0.1077171340584755,0.19063332676887512,0.17858383059501648,0.10173249989748001,0.15147453546524048,0.25992727279663086,-0.008640206418931484,0.1680779904127121,0.2131270468235016
(,0.1970011591911316,0.2980341613292694,0.33289089798927307,0.22482873499393463,0.13209833204746246,0.30882009863853455,0.15432493388652802,0.1563204526901245,0.19587107002735138,0.12628966569900513,0.33289089798927307,0.18478946387767792,0.0012731997994706035,0.15048934519290924,0.40561532974243164
cm,0.17868997156620026,0.15153862535953522,0.1848733276128769,0.9999999403953552,0.17957842350006104,0.16218599677085876,0.10447939485311508,0.08024601638317108,0.16300415992736816,0.06955061852931976,0.1848733276128769,0.0821603313088417,-0.08324526995420456,0.1338852196931839,0.22839917242527008
),0.20711064338684082,0.3267642855644226,0.3456730246543884,0.22564169764518738,0.13285088539123535,0.31236231327056885,0.1601184755563736,0.14562536776065826,0.19754202663898468,0.1385265737771988,0.3456730246543884,0.18219341337680817,0.021107977256178856,0.14808179438114166,0.42300865054130554
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.15153862535953522,0.2740823030471802,0.3636345863342285,0.23751215636730194,0.21848641335964203,0.34286779165267944,0.2288406491279602,0.48711544275283813,0.18661361932754517,0.008974763564765453,0.1805005818605423,0.18412111699581146
the,0.5003893971443176,0.48711544275283813,1.0,0.1848733276128769,0.29853108525276184,0.535392165184021,0.28587454557418823,0.28184252977371216,0.282033234834671,0.41189688444137573,1.0,0.2801888585090637,-0.01540423184633255,0.24429655075073242,0.22068053483963013
conical,0.2307441234588623,0.10811880230903625,0.24984674155712128,0.2820913791656494,0.17615962028503418,0.2374635636806488,0.13489416241645813,0.1463613659143448,0.1341884881258011,0.10309246927499771,0.24984674155712128,0.25163304805755615,0.04288288578391075,0.24363254010677338,0.10065434873104095
crew,0.17521944642066956,0.20329242944717407,0.25329816341400146,0.09735295176506042,0.1398959755897522,0.21819929778575897,0.22212311625480652,0.18148642778396606,0.10412129759788513,0.1852951943874359,0.25329816341400146,0.1996253877878189,0.018528997898101807,0.1884101778268814,0.16586194932460785
cabin,0.12491767853498459,0.20808860659599304,0.23489025235176086,0.033280499279499054,0.13969697058200836,0.2513850927352905,0.1368180811405182,0.17663860321044922,0.09454550594091415,0.11853954941034317,0.23489025235176086,0.19708707928657532,1.0357887731515802e-05,0.16521137952804565,0.15796571969985962
