,who,was,the,v,&,a,'s,first,director,?
the,0.3733934462070465,0.48711544275283813,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.49448907375335693,0.19949141144752502,0.22068053483963013
v,0.06742344051599503,0.16128918528556824,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,-0.008823617361485958,0.22899948060512543,0.1115185096859932,0.28677162528038025
&,0.09244576841592789,0.12134000658988953,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,-0.02038128487765789,0.10695473104715347,0.19849403202533722,0.12596383690834045
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.04866964742541313,0.4287874400615692,0.17745283246040344,0.23916715383529663
has,0.2558172643184662,0.40313825011253357,0.4177538752555847,0.07488378137350082,0.1216270700097084,0.4670248031616211,-0.040683966130018234,0.28288596868515015,0.22498498857021332,0.15994466841220856
its,0.1326070874929428,0.3518870174884796,0.559237003326416,0.1524200141429901,0.11429427564144135,0.4424409866333008,0.03202139586210251,0.26377397775650024,0.1245870441198349,0.15103481709957123
origins,0.12711016833782196,0.2043774425983429,0.2890577018260956,0.17641711235046387,0.13062849640846252,0.1583317220211029,-0.02242027409374714,0.23039120435714722,0.1563609540462494,0.1275135576725006
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,-0.037580832839012146,0.4127444326877594,0.19124983251094818,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.49448907375335693,0.19949141144752502,0.22068053483963013
great,0.24061277508735657,0.19652196764945984,0.2822027802467346,0.06902553886175156,0.08465798944234848,0.21836373209953308,-0.014279589988291264,0.2416098713874817,0.09555206447839737,0.13135133683681488
exhibition,0.1821725070476532,0.24921445548534393,0.22614671289920807,0.066697858273983,0.1514037847518921,0.18410839140415192,-0.03198433294892311,0.2745283544063568,0.16178658604621887,0.11494685709476471
