,europe,first,colonized,the,americas,",",then,asia,",",but,what,continent,was,third,?
across,0.34742245078086853,0.19914396107196808,0.22000694274902344,0.3816230297088623,0.3151289224624634,0.22515052556991577,0.31009459495544434,0.3513064980506897,0.22515052556991577,0.2568860352039337,0.24809791147708893,0.3579186499118805,0.20413610339164734,0.10962405055761337,0.17034576833248138
the,0.34463706612586975,0.49448907375335693,0.3187461197376251,1.0,0.3215886056423187,0.4933079481124878,0.4297412931919098,0.2838890850543976,0.4933079481124878,0.4859698414802551,0.42745697498321533,0.3139871060848236,0.48711544275283813,0.4229298532009125,0.22068053483963013
three,0.19768020510673523,0.35148099064826965,0.17232146859169006,0.43452659249305725,0.21844930946826935,0.3347506821155548,0.31523916125297546,0.2025202214717865,0.3347506821155548,0.3208388388156891,0.24888746440410614,0.2565537989139557,0.2748996615409851,0.36654382944107056,0.20928427577018738
waves,0.13116924464702606,0.20698948204517365,0.2144613265991211,0.2572701871395111,0.18837863206863403,0.24359957873821259,0.23784226179122925,0.09668298065662384,0.24359957873821259,0.2150282859802246,0.2342342883348465,0.20134812593460083,0.12913775444030762,0.17380543053150177,0.1603909134864807
of,0.29299741983413696,0.3536086082458496,0.2987323999404907,0.733189046382904,0.24329231679439545,0.4946078956127167,0.2937326431274414,0.2372564673423767,0.4946078956127167,0.39942997694015503,0.33290785551071167,0.2647381126880646,0.4069072902202606,0.30602210760116577,0.1826142966747284
european,0.5846181511878967,0.3093690872192383,0.3246036171913147,0.3423081040382385,0.4649293124675751,0.19684812426567078,0.08923911303281784,0.347962349653244,0.19684812426567078,0.20225681364536285,0.15324164927005768,0.4386987090110779,0.22463937103748322,0.1677141636610031,0.14560863375663757
colonialism,0.27938395738601685,0.22445465624332428,0.5959034562110901,0.25141018629074097,0.4112342596054077,0.25518688559532166,0.17914673686027527,0.22599586844444275,0.25518688559532166,0.22852420806884766,0.27914220094680786,0.376543790102005,0.20783506333827972,0.15280839800834656,0.1519109606742859
(,0.21958892047405243,0.2450505793094635,0.1569720357656479,0.33289089798927307,0.20516060292720795,0.6363511681556702,0.25864338874816895,0.18316683173179626,0.6363511681556702,0.26263320446014404,0.2411840260028839,0.17002850770950317,0.2980341613292694,0.2346733808517456,0.40561532974243164
first,0.29071953892707825,1.0,0.26905855536460876,0.49448907375335693,0.3060013949871063,0.34503069519996643,0.38077428936958313,0.2426309585571289,0.34503069519996643,0.34309494495391846,0.28086137771606445,0.26509958505630493,0.5022147297859192,0.6071826219558716,0.18701928853988647
in,0.33061710000038147,0.4127444326877594,0.2796047627925873,0.6662389636039734,0.21108631789684296,0.5201468467712402,0.36253848671913147,0.26562291383743286,0.5201468467712402,0.48674455285072327,0.30808621644973755,0.29258909821510315,0.45514053106307983,0.3309578001499176,0.20430970191955566
the,0.34463706612586975,0.49448907375335693,0.3187461197376251,1.0,0.3215886056423187,0.4933079481124878,0.4297412931919098,0.2838890850543976,0.4933079481124878,0.4859698414802551,0.42745697498321533,0.3139871060848236,0.48711544275283813,0.4229298532009125,0.22068053483963013
