,what,has,shortened,the,rhine,river,?
the,0.42745697498321533,0.4177538752555847,0.29444620013237,1.0,0.30735138058662415,0.2894456386566162,0.22068053483963013
river,0.13815869390964508,0.19486697018146515,0.12421271204948425,0.2894456386566162,0.3672541379928589,0.9999999403953552,0.15390869975090027
length,0.20598092675209045,0.24087199568748474,0.30182239413261414,0.26581600308418274,0.20094704627990723,0.2794579565525055,0.16668567061424255
is,0.28837618231773376,0.5668748617172241,0.27040979266166687,0.5823672413825989,0.15617261826992035,0.20670881867408752,0.22961433231830597
significantly,0.2746123671531677,0.3428170382976532,0.176824688911438,0.3313288986682892,0.12487909197807312,0.04946019873023033,0.1823679804801941
shortened,0.1894529163837433,0.14178535342216492,1.0,0.29444620013237,0.0905374065041542,0.12421271204948425,0.17955641448497772
from,0.2737620174884796,0.2621968984603882,0.1620403379201889,0.40150508284568787,0.2181936800479889,0.20433256030082703,0.19969791173934937
the,0.42745697498321533,0.4177538752555847,0.29444620013237,1.0,0.30735138058662415,0.2894456386566162,0.22068053483963013
river,0.13815869390964508,0.19486697018146515,0.12421271204948425,0.2894456386566162,0.3672541379928589,0.9999999403953552,0.15390869975090027
's,0.02692362666130066,-0.040683966130018234,0.07042587548494339,-0.01540423184633255,0.0778765007853508,-0.03599277883768082,-0.023395681753754616
natural,0.15666867792606354,0.17507778108119965,0.07048605382442474,0.2291368842124939,0.10907647758722305,0.1303650140762329,0.16155436635017395
course,0.3412042260169983,0.2658419609069824,0.19588503241539001,0.32268625497817993,0.259599506855011,0.2660539448261261,0.28826573491096497
due,0.15204688906669617,0.19837327301502228,0.19056040048599243,0.22577603161334991,0.12440928816795349,0.12233645468950272,0.10954997688531876
to,0.455847829580307,0.3619994819164276,0.23803548514842987,0.535392165184021,0.1736302673816681,0.13636653125286102,0.29463258385658264
number,0.23046229779720306,0.31251442432403564,0.1799255907535553,0.35145696997642517,0.12258799374103546,0.133196622133255,0.19256845116615295
of,0.33290785551071167,0.3909035325050354,0.23784239590168,0.733189046382904,0.2548927664756775,0.19903257489204407,0.1826142966747284
canalisation,0.23259051144123077,0.2694016993045807,0.23184777796268463,0.33694133162498474,0.2549199163913727,0.3084486722946167,0.1670498549938202
projects,0.28646913170814514,0.23373813927173615,0.05533933266997337,0.23802334070205688,0.19679950177669525,0.12167639285326004,0.3193145990371704
completed,0.19063329696655273,0.2442467212677002,0.21857064962387085,0.29278936982154846,0.12183065712451935,0.1408989131450653,0.08272653818130493
in,0.30808621644973755,0.4173259735107422,0.21362186968326569,0.6662389636039734,0.24648422002792358,0.2149806171655655,0.20430970191955566
the,0.42745697498321533,0.4177538752555847,0.29444620013237,1.0,0.30735138058662415,0.2894456386566162,0.22068053483963013
19th,0.11525199562311172,0.14299483597278595,0.18347764015197754,0.24964287877082825,0.14088697731494904,0.12107488512992859,0.004712673369795084
and,0.31309178471565247,0.43716782331466675,0.10184358805418015,0.5171257257461548,0.22029656171798706,0.19898422062397003,0.20544172823429108
20th,0.1850772649049759,0.1597633808851242,0.22808562219142914,0.3097512125968933,0.18670986592769623,0.16710533201694489,0.14985637366771698
century,0.20422613620758057,0.2044479250907898,0.1234760582447052,0.3617299497127533,0.21836237609386444,0.19776281714439392,0.1026201918721199
.,0.3567904531955719,0.4105546176433563,0.2067112922668457,0.5934505462646484,0.2089352011680603,0.21443960070610046,0.4130953550338745
