,what,notion,keeps,it,'s,meaning,through,both,netonian,and,schrodinger,physics,equations,?
the,0.42745697498321533,0.23529204726219177,0.26333102583885193,0.6251175999641418,-0.01540423184633255,0.31918859481811523,0.44071322679519653,0.4931981563568115,0.20784702897071838,0.5171257257461548,0.24251551926136017,0.17952929437160492,0.1991964876651764,0.22068053483963013
notion,0.3655226528644562,1.0,0.21964021027088165,0.20967018604278564,-0.0499933622777462,0.29206857085227966,0.1816118359565735,0.23471033573150635,0.22621606290340424,0.198011115193367,0.33407115936279297,0.3787100315093994,0.4467298090457916,0.20487375557422638
``,0.008517155423760414,0.09839580953121185,0.014850160107016563,0.035206809639930725,-0.03416389226913452,0.1370125412940979,-0.027386896312236786,0.05544934421777725,0.049089670181274414,0.036644238978624344,0.005190805997699499,0.03193385526537895,0.15236277878284454,0.0685480609536171
force,0.16915984451770782,0.2059972882270813,0.15337827801704407,0.22565218806266785,0.020782919600605965,0.1733345091342926,0.20056840777397156,0.2151227593421936,0.08749547600746155,0.24372100830078125,0.1960548311471939,0.29059725999832153,0.26144513487815857,0.1650998443365097
'',0.08143015950918198,0.011955952271819115,-0.06925714015960693,-0.016964951530098915,-0.04859459400177002,-0.004718669690191746,-0.06932127475738525,-0.011287134140729904,-0.021752716973423958,0.021612688899040222,-0.01873696967959404,0.007329173386096954,0.051985982805490494,0.018684765323996544
keeps,0.21853329241275787,0.21964021027088165,1.0000001192092896,0.21831431984901428,-0.04965794086456299,0.19805538654327393,0.287777304649353,0.22393588721752167,0.2381512075662613,0.23177483677864075,0.17982372641563416,0.12264840304851532,0.20550623536109924,0.21800975501537323
its,0.30393704771995544,0.25010567903518677,0.28679385781288147,0.5786119699478149,0.03202139586210251,0.32199627161026,0.25456881523132324,0.29517319798469543,0.11788146942853928,0.3841775357723236,0.20820584893226624,0.13397902250289917,0.13691440224647522,0.15103481709957123
meaning,0.24135559797286987,0.29206857085227966,0.19805538654327393,0.29842689633369446,0.05367003753781319,0.9999999403953552,0.21035654842853546,0.20678973197937012,0.14144514501094818,0.20612139999866486,0.12368547916412354,0.1222742572426796,0.1595432609319687,0.20420892536640167
in,0.30808621644973755,0.1522059291601181,0.17895497381687164,0.5130809545516968,-0.037580832839012146,0.2137773334980011,0.38533157110214233,0.3960166871547699,0.15715326368808746,0.4954058527946472,0.2875301241874695,0.2189493626356125,0.19343294203281403,0.20430970191955566
quantum,0.3095471262931824,0.4157155454158783,0.14015670120716095,0.18909627199172974,0.041531480848789215,0.19070464372634888,0.14202788472175598,0.228361576795578,0.26231643557548523,0.16976895928382874,0.43875959515571594,0.5938736200332642,0.5374217629432678,0.20770002901554108
mechanics,0.3135516941547394,0.40699806809425354,0.19676078855991364,0.2415274977684021,0.014140010811388493,0.17317654192447662,0.09777114540338516,0.23578721284866333,0.2032420039176941,0.1544848382472992,0.33578720688819885,0.6208994388580322,0.5642503499984741,0.15634238719940186
",",0.3087472915649414,0.1813203990459442,0.19321146607398987,0.48329564929008484,-0.0016132977325469255,0.2096743881702423,0.3060276508331299,0.38080528378486633,0.22517366707324982,0.6633074283599854,0.38805103302001953,0.26689431071281433,0.22271932661533356,0.31091248989105225
