,case,complexities,provide,three,likelihoods,of,what,differing,variable,that,remains,the,same,size,?
the,0.31022098660469055,0.26121237874031067,0.26373472809791565,0.43452659249305725,0.3770338296890259,0.733189046382904,0.42745697498321533,0.32952189445495605,0.18287865817546844,0.5473989248275757,0.3663966655731201,1.0,0.4583131968975067,0.2946445941925049,0.22068053483963013
best,0.17166443169116974,0.21729324758052826,0.22218263149261475,0.2050526887178421,0.18001393973827362,0.23660683631896973,0.3036847710609436,0.1669105589389801,0.16389410197734833,0.24222435057163239,0.18018552660942078,0.3134109377861023,0.23943012952804565,0.14271192252635956,0.2799045741558075
",",0.2977246046066284,0.33099550008773804,0.20966707170009613,0.3347506821155548,0.30538100004196167,0.4946078956127167,0.3087472915649414,0.2845778465270996,0.18179240822792053,0.4137537479400635,0.25045427680015564,0.4933079481124878,0.3207721710205078,0.2156888097524643,0.31091248989105225
worst,0.26580122113227844,0.19674646854400635,0.07481471449136734,0.14484070241451263,0.22124578058719635,0.16431279480457306,0.2650845944881439,0.12628647685050964,0.10507598519325256,0.2362307906150818,0.16628333926200867,0.21166902780532837,0.21950602531433105,0.10294542461633682,0.21551604568958282
and,0.2394348531961441,0.32739776372909546,0.32960009574890137,0.3826501965522766,0.35673823952674866,0.5116966962814331,0.31309178471565247,0.32861730456352234,0.1734716147184372,0.4731321930885315,0.2846171259880066,0.5171257257461548,0.3205644488334656,0.252314954996109,0.20544172823429108
average,0.1706133931875229,0.2571108341217041,0.16709241271018982,0.2407672107219696,0.353428453207016,0.23717734217643738,0.24068789184093475,0.26389944553375244,0.2796184718608856,0.2513456642627716,0.15988972783088684,0.27058175206184387,0.2897954285144806,0.3103724718093872,0.21764592826366425
case,1.0000001192092896,0.29787805676460266,0.30795538425445557,0.14444349706172943,0.3679056763648987,0.24743439257144928,0.30770957469940186,0.2200939655303955,0.30229535698890686,0.4129708409309387,0.22467215359210968,0.31022098660469055,0.33921727538108826,0.16975711286067963,0.33232852816581726
complexity,0.33170047402381897,0.8802255988121033,0.3199557662010193,0.20467406511306763,0.48082736134529114,0.23338180780410767,0.33747240900993347,0.3479740619659424,0.40565627813339233,0.3234518766403198,0.21577057242393494,0.21171598136425018,0.29134202003479004,0.3099218010902405,0.23062916100025177
refer,0.11384499818086624,0.24089302122592926,0.2704731822013855,0.06699841469526291,0.1783197522163391,0.2576347291469574,0.17466352880001068,0.2973608076572418,0.19634516537189484,0.23802036046981812,0.13525079190731049,0.22268381714820862,0.22249984741210938,0.1807042956352234,0.12567369639873505
to,0.3172709345817566,0.3390582203865051,0.3479624092578888,0.3043823838233948,0.4681452512741089,0.41548454761505127,0.455847829580307,0.30897170305252075,0.20649605989456177,0.5436353087425232,0.2588605582714081,0.535392165184021,0.3205692768096924,0.26289698481559753,0.29463258385658264
three,0.14444349706172943,0.256091833114624,0.1854586899280548,1.0,0.22930698096752167,0.3844621181488037,0.24888746440410614,0.2968486249446869,0.12477946281433105,0.3407050371170044,0.1955326795578003,0.43452659249305725,0.3318946957588196,0.14938819408416748,0.20928427577018738
different,0.2549264132976532,0.3861449360847473,0.32278433442115784,0.41553589701652527,0.41135916113853455,0.3747533857822418,0.39262300729751587,0.6289448738098145,0.30513903498649597,0.4608689844608307,0.15320846438407898,0.36412742733955383,0.5916512608528137,0.28718388080596924,0.24476227164268494
ways,0.261412113904953,0.41296857595443726,0.2703500986099243,0.23289813101291656,0.4513215124607086,0.23171216249465942,0.394069641828537,0.3694875240325928,0.19884207844734192,0.41844984889030457,0.15164418518543243,0.25153350830078125,0.35286232829093933,0.1731344610452652,0.2710120975971222
of,0.24743439257144928,0.2722324728965759,0.27198103070259094,0.3844621181488037,0.3578944206237793,1.0,0.33290785551071167,0.3535034656524658,0.1980873942375183,0.41498205065727234,0.3198432922363281,0.733189046382904,0.3808329105377197,0.27599775791168213,0.1826142966747284
measuring,0.23168981075286865,0.2914552390575409,0.22237110137939453,0.1908663958311081,0.336728572845459,0.30754444003105164,0.2584631145000458,0.3198043406009674,0.3866190016269684,0.2990984320640564,0.19339361786842346,0.29231998324394226,0.2730162441730499,0.37770766019821167,0.16787901520729065
the,0.31022098660469055,0.26121237874031067,0.26373472809791565,0.43452659249305725,0.3770338296890259,0.733189046382904,0.42745697498321533,0.32952189445495605,0.18287865817546844,0.5473989248275757,0.3663966655731201,1.0,0.4583131968975067,0.2946445941925049,0.22068053483963013
time,0.2244701236486435,0.2667813003063202,0.22206640243530273,0.3144358992576599,0.3773098289966583,0.35127586126327515,0.36319252848625183,0.21093234419822693,0.20189765095710754,0.388528436422348,0.2866787910461426,0.43061500787734985,0.4052887558937073,0.25952205061912537,0.27391523122787476
complexity,0.33170047402381897,0.8802255988121033,0.3199557662010193,0.20467406511306763,0.48082736134529114,0.23338180780410767,0.33747240900993347,0.3479740619659424,0.40565627813339233,0.3234518766403198,0.21577057242393494,0.21171598136425018,0.29134202003479004,0.3099218010902405,0.23062916100025177
(,0.2248619794845581,0.2174818068742752,0.16570471227169037,0.2272176295518875,0.22540225088596344,0.35032153129577637,0.2411840260028839,0.13589896261692047,0.1934523731470108,0.2264307141304016,0.15209302306175232,0.33289089798927307,0.2173650562763214,0.20613399147987366,0.40561532974243164
or,0.3510584235191345,0.3357275724411011,0.36427032947540283,0.25355035066604614,0.44867178797721863,0.3792596757411957,0.33867141604423523,0.3443777859210968,0.3462861180305481,0.4729836881160736,0.2162707895040512,0.4174870550632477,0.36380261182785034,0.23418565094470978,0.32389625906944275
any,0.4125841557979584,0.4151321351528168,0.4371793568134308,0.33841368556022644,0.4996795058250427,0.3769088089466095,0.43670421838760376,0.362528920173645,0.3448382019996643,0.5484943389892578,0.2771358788013458,0.4525727927684784,0.4279707968235016,0.28004691004753113,0.4113408327102661
other,0.2931601405143738,0.3617374002933502,0.3091827630996704,0.35207873582839966,0.37657272815704346,0.38583824038505554,0.341873437166214,0.4138818383216858,0.23353567719459534,0.5570666193962097,0.23663471639156342,0.44152235984802246,0.44757193326950073,0.24720238149166107,0.24682199954986572
complexity,0.33170047402381897,0.8802255988121033,0.3199557662010193,0.20467406511306763,0.48082736134529114,0.23338180780410767,0.33747240900993347,0.3479740619659424,0.40565627813339233,0.3234518766403198,0.21577057242393494,0.21171598136425018,0.29134202003479004,0.3099218010902405,0.23062916100025177
measure,0.2402588278055191,0.2647015154361725,0.32265704870224,0.18879275023937225,0.3672419786453247,0.22469913959503174,0.2807709276676178,0.3156868517398834,0.4068167209625244,0.3084415793418884,0.1460217833518982,0.2528008222579956,0.30482929944992065,0.377786248922348,0.22092340886592865
),0.2503088414669037,0.21905949711799622,0.1700008660554886,0.2493964433670044,0.23505300283432007,0.3680361211299896,0.26259949803352356,0.13414856791496277,0.17337962985038757,0.23478686809539795,0.14537934958934784,0.3456730246543884,0.22932277619838715,0.1989639550447464,0.42300865054130554
of,0.24743439257144928,0.2722324728965759,0.27198103070259094,0.3844621181488037,0.3578944206237793,1.0,0.33290785551071167,0.3535034656524658,0.1980873942375183,0.41498205065727234,0.3198432922363281,0.733189046382904,0.3808329105377197,0.27599775791168213,0.1826142966747284
