,what,is,the,term,for,the,arrangement,of,two,unpaired,electrons,in,dioxygen,?
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.16153281927108765,0.3236706852912903,0.4207492768764496,0.21676984429359436,0.32280945777893066,0.1867314726114273,0.23289787769317627,0.19334055483341217,0.2605783939361572,0.22185549139976501,0.19793890416622162
electron,0.22967670857906342,0.2023618221282959,0.20653016865253448,0.16025786101818085,0.16706301271915436,0.20653016865253448,0.31806331872940063,0.21591268479824066,0.24031871557235718,0.3327081799507141,0.9217658638954163,0.16054019331932068,0.5052019953727722,0.18293288350105286
configuration,0.258445680141449,0.23210495710372925,0.23673003911972046,0.21203163266181946,0.23529355227947235,0.23673003911972046,0.37489575147628784,0.2122134566307068,0.23899288475513458,0.36549466848373413,0.4229027032852173,0.1699506789445877,0.3111548125743866,0.23573997616767883
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.18053050339221954,0.39140474796295166,0.4223487675189972,0.33442118763923645,0.41827285289764404,0.4333336651325226,0.34165775775909424,0.1847456693649292,0.4080928862094879,0.23137815296649933,0.2433311939239502
two,0.23363454639911652,0.2315155267715454,0.43858039379119873,0.15393944084644318,0.34734001755714417,0.43858039379119873,0.2935350239276886,0.37726253271102905,1.0000001192092896,0.37259218096733093,0.27902093529701233,0.36463531851768494,0.25695866346359253,0.19645625352859497
unpaired,0.28306058049201965,0.17967237532138824,0.2942753732204437,0.23972298204898834,0.3037075996398926,0.2942753732204437,0.303831547498703,0.2803429663181305,0.37259218096733093,1.0000001192092896,0.3475542366504669,0.24776829779148102,0.3086656332015991,0.1656719297170639
electrons,0.23107858002185822,0.20416733622550964,0.2109822928905487,0.13905486464500427,0.16157317161560059,0.2109822928905487,0.33146682381629944,0.1921376883983612,0.27902093529701233,0.3475542366504669,1.0,0.15858358144760132,0.531101644039154,0.15516111254692078
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3224089443683624,0.44774648547172546,0.48381632566452026,0.2856515347957611,0.3886612355709076,0.3029302954673767,0.3121371865272522,0.20837858319282532,0.3887844979763031,0.19579321146011353,0.27043893933296204
found,0.1796332150697708,0.3526395261287689,0.3452354073524475,0.14670544862747192,0.19707661867141724,0.3452354073524475,0.13372741639614105,0.2982911467552185,0.20758113265037537,0.1778213083744049,0.13765910267829895,0.39141854643821716,0.18772810697555542,0.16790300607681274
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27866655588150024,0.4322226941585541,0.6662389636039734,0.20867182314395905,0.5696388483047485,0.36463531851768494,0.24776829779148102,0.15858358144760132,1.0,0.21299557387828827,0.20430970191955566
dioxygen,0.22355574369430542,0.2500855028629303,0.2871758043766022,0.16776388883590698,0.22379902005195618,0.2871758043766022,0.25150933861732483,0.24121849238872528,0.25695866346359253,0.3086656332015991,0.531101644039154,0.21299557387828827,1.0,0.18348100781440735
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.16755855083465576,0.3357032239437103,0.33289089798927307,0.1472814828157425,0.35032153129577637,0.2169162482023239,0.22824618220329285,0.17656587064266205,0.3087427020072937,0.21295587718486786,0.40561532974243164
see,0.44941186904907227,0.30759111046791077,0.3770301640033722,0.27148494124412537,0.36478325724601746,0.3770301640033722,0.14114120602607727,0.33962661027908325,0.27297520637512207,0.32734283804893494,0.22532467544078827,0.2973747253417969,0.2641315460205078,0.42005208134651184
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,1.0,0.290839284658432,0.733189046382904,0.43858039379119873,0.2942753732204437,0.2109822928905487,0.6662389636039734,0.2871758043766022,0.22068053483963013
filled,0.17941854894161224,0.17559823393821716,0.2674119770526886,0.14758151769638062,0.20580747723579407,0.2674119770526886,0.19977907836437225,0.24504315853118896,0.20943626761436462,0.36340317130088806,0.18155598640441895,0.21960462629795074,0.27810436487197876,0.1782117635011673
π*,0.03290259838104248,-0.04053543880581856,-0.010997002013027668,0.02666657231748104,-0.005216599907726049,-0.010997002013027668,-0.031677618622779846,0.0007962265517562628,0.04538464546203613,0.07162661850452423,0.019727060571312904,-0.031236719340085983,-0.03266018256545067,0.06550074368715286
