,what,was,the,ancestor,of,chloroplasts,?
chloroplasts,0.2524593770503998,0.1579415500164032,0.23062430322170258,0.3018394708633423,0.23179760575294495,0.9999999403953552,0.13049766421318054
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25656500458717346,0.4946078956127167,0.20794041454792023,0.31091248989105225
like,0.4320242702960968,0.19745829701423645,0.32912567257881165,0.22675563395023346,0.3244853615760803,0.21969065070152283,0.3268813192844391
mitochondria,0.26347023248672485,0.09197089821100235,0.22119471430778503,0.3532072901725769,0.22407293319702148,0.7002830505371094,0.20248937606811523
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25656500458717346,0.4946078956127167,0.20794041454792023,0.31091248989105225
contain,0.1832355558872223,0.0908108651638031,0.26383090019226074,0.20592546463012695,0.30574339628219604,0.3972540497779846,0.18853069841861725
their,0.35142919421195984,0.2396296262741089,0.516537070274353,0.2106238156557083,0.4329940676689148,0.2906811833381653,0.1898253709077835
own,0.35062843561172485,0.19632458686828613,0.334675133228302,0.15248432755470276,0.3269667625427246,0.24355259537696838,0.1937696635723114
dna,0.24220526218414307,0.15064743161201477,0.19235704839229584,0.31223562359809875,0.21253140270709991,0.5363800525665283,0.1548636108636856
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25656500458717346,0.4946078956127167,0.20794041454792023,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.22538192570209503,0.5011631846427917,0.3874085545539856,0.25814583897590637
is,0.28837618231773376,0.5810302495956421,0.5823672413825989,0.19833189249038696,0.4854315221309662,0.22550933063030243,0.22961433231830597
thought,0.4469435214996338,0.42560186982154846,0.3509289622306824,0.3057493269443512,0.34673458337783813,0.2474929243326187,0.2600135803222656
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.22389167547225952,0.41548454761505127,0.23370109498500824,0.29463258385658264
be,0.3929833769798279,0.42228707671165466,0.4248143136501312,0.18904908001422882,0.33904364705085754,0.2777445316314697,0.3324260413646698
inherited,0.2796041667461395,0.19125580787658691,0.2094005048274994,0.4263058602809906,0.2982654571533203,0.30440470576286316,0.1930614858865738
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.20539839565753937,0.4249346852302551,0.21740731596946716,0.19969791173934937
their,0.35142919421195984,0.2396296262741089,0.516537070274353,0.2106238156557083,0.4329940676689148,0.2906811833381653,0.1898253709077835
ancestor—a,0.21535451710224152,0.25099796056747437,0.24999503791332245,0.952655017375946,0.26812684535980225,0.27703195810317993,0.1704791933298111
photosynthetic,0.20943596959114075,0.14218483865261078,0.24047884345054626,0.21035881340503693,0.23934365808963776,0.7179837822914124,0.15254013240337372
cyanobacterium,0.241913303732872,0.21382540464401245,0.22151070833206177,0.3359370231628418,0.22479623556137085,0.6887122988700867,0.20120567083358765
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.2760840356349945,0.41498205065727234,0.3177454173564911,0.32716336846351624
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.22579047083854675,0.4069072902202606,0.1579415500164032,0.18412111699581146
engulfed,0.2526431679725647,0.24227403104305267,0.3533762991428375,0.27890101075172424,0.30268484354019165,0.5026228427886963,0.1501116305589676
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.13472113013267517,0.3646814823150635,0.1951972097158432,0.17966607213020325
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.14282234013080597,0.32280945777893066,0.15571507811546326,0.19793890416622162
early,0.2454567849636078,0.4148794412612915,0.34442198276519775,0.3391346335411072,0.30937549471855164,0.16960738599300385,0.15272949635982513
eukaryotic,0.22978590428829193,0.13816869258880615,0.21435415744781494,0.36207640171051025,0.2760854661464691,0.7482460141181946,0.1899385005235672
cell,0.19222842156887054,0.11768463999032974,0.15822452306747437,0.17549797892570496,0.18332023918628693,0.5408841967582703,0.2058541625738144
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.18910954892635345,0.5352458953857422,0.23868323862552643,0.4130953550338745
