,what,did,fritschel,say,the,man,'s,sleep,was,disturbed,by,?
francis,0.17941924929618835,0.15455317497253418,0.21964041888713837,0.163052499294281,0.25598275661468506,0.21561028063297272,-0.05719728767871857,0.055544301867485046,0.3005248010158539,0.17297035455703735,0.28856825828552246,0.11903949081897736
blackburne,0.18555139005184174,0.17967574298381805,0.3118182420730591,0.14827854931354523,0.27937185764312744,0.19546669721603394,0.05059860274195671,0.11359827220439911,0.2425031214952469,0.12838855385780334,0.17930151522159576,0.1781988888978958
in,0.30808621644973755,0.2593238651752472,0.28379741311073303,0.26482993364334106,0.6662389636039734,0.19554144144058228,-0.037580832839012146,0.23918524384498596,0.45514053106307983,0.2822857201099396,0.370934396982193,0.20430970191955566
1765,0.10602817684412003,0.06421034038066864,0.20989355444908142,0.11068252474069595,0.11409745365381241,-0.015521271154284477,-0.013099447824060917,-0.010241042822599411,0.11096122115850449,0.03655260428786278,0.15306463837623596,0.15980970859527588
argued,0.31776854395866394,0.40107595920562744,0.15939225256443024,0.3901379704475403,0.1919303685426712,0.22967907786369324,-0.03666406124830246,0.1270761340856552,0.21668414771556854,0.21944300830364227,0.24532800912857056,0.18905270099639893
that,0.6297725439071655,0.47518548369407654,0.15459130704402924,0.5852095484733582,0.5473989248275757,0.25507083535194397,0.04397977516055107,0.22555981576442719,0.33670201897621155,0.3267257809638977,0.37496164441108704,0.32716336846351624
john,0.18237407505512238,0.18785913288593292,0.2586287558078766,0.1421445906162262,0.2230520099401474,0.24302804470062256,-0.1023898646235466,0.16714565455913544,0.2875721752643585,0.12205745279788971,0.2502059042453766,0.13162356615066528
jortin,0.14758022129535675,0.19028468430042267,0.41389644145965576,0.16965849697589874,0.2611871063709259,0.1885254979133606,0.0052495128475129604,0.17360204458236694,0.3009810745716095,0.10883824527263641,0.28422728180885315,0.14228448271751404
misread,0.45836228132247925,0.2734934985637665,0.06753645092248917,0.4529174268245697,0.2051905244588852,0.2648356258869171,-0.018624519929289818,0.20834992825984955,0.2234887182712555,0.2637339234352112,0.1658884584903717,0.44138994812965393
this,0.5489566326141357,0.3609912693500519,0.2080433964729309,0.4232628345489502,0.6274310946464539,0.26895007491111755,0.02106832154095173,0.20745596289634705,0.3638818562030792,0.26063868403434753,0.38438332080841064,0.3155723512172699
and,0.31309178471565247,0.34479495882987976,0.20331218838691711,0.3314565122127533,0.5171257257461548,0.22261469066143036,0.06895173341035843,0.2224324643611908,0.3740963041782379,0.25946033000946045,0.4289871156215668,0.20544172823429108
other,0.341873437166214,0.31707024574279785,0.1534104198217392,0.3273765444755554,0.44152235984802246,0.2102649062871933,0.04445967823266983,0.17732781171798706,0.14651623368263245,0.25280192494392395,0.3321913778781891,0.24682199954986572
