,how,do,co-teachers,work,with,each,other,to,fulfill,the,needs,of,students,?
co-teaching,0.2874126732349396,0.3016550838947296,0.5466437935829163,0.32597804069519043,0.25933220982551575,0.2719663083553314,0.30175697803497314,0.3256809115409851,0.2698497772216797,0.32308104634284973,0.25658509135246277,0.36828407645225525,0.47762614488601685,0.2545979619026184
is,0.22544461488723755,0.30895981192588806,0.19392113387584686,0.22475390136241913,0.3250955045223236,0.2954041659832001,0.25895947217941284,0.42745086550712585,0.21701541543006897,0.5823672413825989,0.36612293124198914,0.4854315221309662,0.2124544233083725,0.22961433231830597
defined,0.22723962366580963,0.2263660430908203,0.15664397180080414,0.24636632204055786,0.23112677037715912,0.23114724457263947,0.23875565826892853,0.21911276876926422,0.20068573951721191,0.2634572982788086,0.23495517671108246,0.2659633457660675,0.08074034005403519,0.22494901716709137
as,0.33782753348350525,0.38329678773880005,0.28205060958862305,0.32418152689933777,0.40387406945228577,0.27854636311531067,0.42805421352386475,0.42092081904411316,0.2501620650291443,0.48381632566452026,0.27244406938552856,0.3886612355709076,0.2101105898618698,0.27043893933296204
two,0.2499001920223236,0.22086432576179504,0.27520614862442017,0.23419323563575745,0.4333336651325226,0.524709939956665,0.46609029173851013,0.3343428373336792,0.1676112860441208,0.43858039379119873,0.2013634443283081,0.37726253271102905,0.26938170194625854,0.19645625352859497
or,0.3378981947898865,0.39439281821250916,0.2567894160747528,0.289409875869751,0.38158315420150757,0.4373190701007843,0.5325124859809875,0.38921234011650085,0.14896339178085327,0.4174870550632477,0.39858484268188477,0.3792596757411957,0.21765491366386414,0.32389625906944275
more,0.4319567084312439,0.3514035940170288,0.2596622705459595,0.3156890571117401,0.3535402715206146,0.37741073966026306,0.49628373980522156,0.47084665298461914,0.24525751173496246,0.39758381247520447,0.40033766627311707,0.30478984117507935,0.27059733867645264,0.27894994616508484
teachers,0.24127359688282013,0.28984060883522034,0.9409055709838867,0.3191879391670227,0.17936164140701294,0.20301613211631775,0.2326095551252365,0.2668606638908386,0.174920454621315,0.22025763988494873,0.19749702513217926,0.27737662196159363,0.7183375358581543,0.19522249698638916
working,0.27748700976371765,0.2560761868953705,0.3174661695957184,0.6558395028114319,0.3168335258960724,0.23383015394210815,0.2923934757709503,0.28215980529785156,0.20078465342521667,0.25857484340667725,0.26122617721557617,0.19986772537231445,0.26996156573295593,0.17154020071029663
harmoniously,0.30261367559432983,0.16519369184970856,0.28461024165153503,0.2562927305698395,0.32081419229507446,0.24938641488552094,0.3060767948627472,0.29291847348213196,0.3177557587623596,0.2502402663230896,0.31529268622398376,0.2307126820087433,0.2641866207122803,0.20018011331558228
to,0.44169697165489197,0.38876664638519287,0.2874455153942108,0.3482864499092102,0.4239959120750427,0.3941934108734131,0.4193183183670044,1.0,0.39557287096977234,0.535392165184021,0.3999912142753601,0.41548454761505127,0.2905822694301605,0.29463258385658264
fulfill,0.2679888606071472,0.3104103207588196,0.17655415832996368,0.2992733120918274,0.22256653010845184,0.22162511944770813,0.231583833694458,0.39557287096977234,1.0000001192092896,0.2856690585613251,0.3691050708293915,0.26972636580467224,0.22240817546844482,0.23932743072509766
the,0.33890387415885925,0.30239659547805786,0.2912253141403198,0.2704800069332123,0.4223487675189972,0.470844566822052,0.44152235984802246,0.535392165184021,0.2856690585613251,1.0,0.24302323162555695,0.733189046382904,0.25268980860710144,0.22068053483963013
needs,0.41854971647262573,0.4004036486148834,0.17946240305900574,0.38107502460479736,0.32937565445899963,0.31910741329193115,0.28606489300727844,0.3999912142753601,0.3691050708293915,0.24302323162555695,1.0,0.17594867944717407,0.2259404957294464,0.34586572647094727
of,0.2480744868516922,0.26150479912757874,0.3147999346256256,0.23473061621189117,0.41827285289764404,0.38460010290145874,0.38583824038505554,0.41548454761505127,0.26972636580467224,0.733189046382904,0.17594867944717407,1.0,0.25513339042663574,0.1826142966747284
every,0.31805798411369324,0.27442893385887146,0.2576652467250824,0.22213251888751984,0.2629130780696869,0.5941283702850342,0.3262629508972168,0.3643300235271454,0.26238012313842773,0.4023689329624176,0.35376888513565063,0.3414052724838257,0.256399005651474,0.24066033959388733
student,0.22541755437850952,0.10608264058828354,0.5024286508560181,0.27804502844810486,0.1580762416124344,0.15584132075309753,0.1325913965702057,0.21220189332962036,0.19619877636432648,0.21259291470050812,0.21455693244934082,0.20310284197330475,0.7746244072914124,0.13282090425491333
in,0.2601168751716614,0.23402775824069977,0.2505507171154022,0.2753349542617798,0.4080928862094879,0.30816060304641724,0.39989137649536133,0.45010748505592346,0.17418348789215088,0.6662389636039734,0.18482829630374908,0.5696388483047485,0.2676171064376831,0.20430970191955566
the,0.33890387415885925,0.30239659547805786,0.2912253141403198,0.2704800069332123,0.4223487675189972,0.470844566822052,0.44152235984802246,0.535392165184021,0.2856690585613251,1.0,0.24302323162555695,0.733189046382904,0.25268980860710144,0.22068053483963013
classroom,0.25533923506736755,0.2328576296567917,0.4410952627658844,0.29350462555885315,0.21731817722320557,0.19959229230880737,0.20136655867099762,0.2640056908130646,0.30881571769714355,0.18035247921943665,0.3517550826072693,0.18854095041751862,0.5304811596870422,0.23190370202064514
.,0.3287222981452942,0.3613996207714081,0.29478487372398376,0.33121398091316223,0.4446153938770294,0.31204065680503845,0.41511186957359314,0.4645031690597534,0.21717563271522522,0.5934505462646484,0.23357591032981873,0.5352458953857422,0.2607303857803345,0.4130953550338745
,how,do,co-teachers,work,with,each,other,to,fulfill,the,needs,of,students,?
co-teachers,0.23578232526779175,0.27782994508743286,1.0,0.2916613221168518,0.23122522234916687,0.2280236780643463,0.2773524522781372,0.2874455153942108,0.17655415832996368,0.2912253141403198,0.17946240305900574,0.3147999346256256,0.6574877500534058,0.20842592418193817
work,0.38187548518180847,0.3533625304698944,0.2916613221168518,1.0,0.2649822533130646,0.22387753427028656,0.29067906737327576,0.3482864499092102,0.2992733120918274,0.2704800069332123,0.38107502460479736,0.23473061621189117,0.29425370693206787,0.2621155381202698
in,0.2601168751716614,0.23402775824069977,0.2505507171154022,0.2753349542617798,0.4080928862094879,0.30816060304641724,0.39989137649536133,0.45010748505592346,0.17418348789215088,0.6662389636039734,0.18482829630374908,0.5696388483047485,0.2676171064376831,0.20430970191955566
sync,0.20228558778762817,0.1356445848941803,0.14947888255119324,0.2071777582168579,0.24307015538215637,0.2979477643966675,0.2841527462005615,0.21993599832057953,0.14026877284049988,0.21155211329460144,0.2729276120662689,0.12885412573814392,0.15794797241687775,0.22854812443256378
