,why,are,researchers,struggling,to,identify,the,history,of,the,plague,?
it,0.376611590385437,0.3617996573448181,0.28482088446617126,0.23166242241859436,0.513711154460907,0.19665460288524628,0.6251175999641418,0.2701857089996338,0.38761502504348755,0.6251175999641418,0.28122323751449585,0.25732165575027466
is,0.26410171389579773,0.5330929756164551,0.23568220436573029,0.17176972329616547,0.42745086550712585,0.2316393256187439,0.5823672413825989,0.1751103699207306,0.4854315221309662,0.5823672413825989,0.15890252590179443,0.22961433231830597
recognised,0.2246347963809967,0.2507559657096863,0.29974424839019775,0.14599744975566864,0.1954433172941208,0.39946088194847107,0.2839850187301636,0.17437440156936646,0.29297497868537903,0.2839850187301636,0.11170549690723419,0.1985509693622589
that,0.5601457357406616,0.45265161991119385,0.3901746869087219,0.38189029693603516,0.5436353087425232,0.34957918524742126,0.5473989248275757,0.24826017022132874,0.41498205065727234,0.5473989248275757,0.23825600743293762,0.32716336846351624
an,0.22638356685638428,0.1556541919708252,0.18744920194149017,0.19433361291885376,0.3138085603713989,0.19922707974910736,0.4207492768764496,0.18678420782089233,0.32280945777893066,0.4207492768764496,0.1596491038799286,0.19793890416622162
epidemiological,0.2627037465572357,0.24328705668449402,0.4706681966781616,0.20258407294750214,0.27072006464004517,0.3119462728500366,0.26771029829978943,0.28909337520599365,0.34833070635795593,0.26771029829978943,0.39032092690467834,0.1989784687757492
account,0.3330613970756531,0.2508987486362457,0.2500118613243103,0.2081233561038971,0.2893601059913635,0.29810625314712524,0.21117976307868958,0.23853455483913422,0.19751501083374023,0.21117976307868958,0.17489254474639893,0.34417325258255005
of,0.28464117646217346,0.39081433415412903,0.23457743227481842,0.22746723890304565,0.41548454761505127,0.244131401181221,0.733189046382904,0.31014925241470337,1.0,0.733189046382904,0.27455615997314453,0.1826142966747284
the,0.30742117762565613,0.40399202704429626,0.27997422218322754,0.26166340708732605,0.535392165184021,0.2653810381889343,1.0,0.33215048909187317,0.733189046382904,1.0,0.2537761330604553,0.22068053483963013
plague,0.2038693130016327,0.15205079317092896,0.23188947141170502,0.10404478758573532,0.21845681965351105,0.09702266752719879,0.2537761330604553,0.21418564021587372,0.27455615997314453,0.2537761330604553,0.9999999403953552,0.11872942000627518
is,0.26410171389579773,0.5330929756164551,0.23568220436573029,0.17176972329616547,0.42745086550712585,0.2316393256187439,0.5823672413825989,0.1751103699207306,0.4854315221309662,0.5823672413825989,0.15890252590179443,0.22961433231830597
