,what,was,the,name,of,börte,'s,second,male,child,?
börte,0.26751965284347534,0.25561463832855225,0.26430708169937134,0.19940178096294403,0.2801446318626404,1.0,0.09438558667898178,0.14894498884677887,0.08886183053255081,0.2082253098487854,0.2609442472457886
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.1840408891439438,0.37755560874938965,0.20829665660858154,-0.004401352722197771,0.2551495432853699,0.16917262971401215,0.25409579277038574,0.20728366076946259
three,0.24888746440410614,0.2748996615409851,0.43452659249305725,0.1462973952293396,0.3844621181488037,0.18547029793262482,0.03946888819336891,0.3514942526817322,0.1074458509683609,0.12762458622455597,0.20928427577018738
more,0.3484537899494171,0.21525104343891144,0.39758381247520447,0.15184196829795837,0.30478984117507935,0.21692456305027008,0.032942235469818115,0.2036297470331192,0.22044740617275238,0.18404532968997955,0.27894994616508484
sons,0.1335936188697815,0.2263665646314621,0.16342225670814514,0.16656138002872467,0.17722462117671967,0.22274290025234222,-0.033577390015125275,0.17287679016590118,0.15206441283226013,0.35215064883232117,0.13006451725959778
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.30557334423065186,-0.0016132977325469255,0.29927265644073486,0.19301897287368774,0.24469749629497528,0.31091248989105225
chagatai,0.15011419355869293,0.24193820357322693,0.30581143498420715,0.20357394218444824,0.29625993967056274,0.3179619610309601,0.001981237204745412,0.18094539642333984,0.12881937623023987,0.13057582080364227,0.1902039349079132
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.3193424940109253,0.0012731997994706035,0.27435752749443054,0.15397608280181885,0.20179787278175354,0.40561532974243164
1187—1241,0.07121225446462631,0.1764451265335083,0.11322485655546188,-0.009298505261540413,0.11511966586112976,0.20794907212257385,0.06141505017876625,-0.027485918253660202,0.08427831530570984,0.03619622811675072,0.05855670943856239
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.2638341188430786,0.3680361211299896,0.3353121876716614,0.021107977256178856,0.29819294810295105,0.15918458998203278,0.21542808413505554,0.42300865054130554
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.30557334423065186,-0.0016132977325469255,0.29927265644073486,0.19301897287368774,0.24469749629497528,0.31091248989105225
ögedei,0.23134218156337738,0.3649882376194,0.32871612906455994,0.266695499420166,0.31509923934936523,0.3619779050350189,-0.005691892933100462,0.29400402307510376,0.2962210178375244,0.29784950613975525,0.20177854597568512
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.3193424940109253,0.0012731997994706035,0.27435752749443054,0.15397608280181885,0.20179787278175354,0.40561532974243164
1189—1241,0.007633026689291,0.08341417461633682,0.05640551447868347,-0.014597591944038868,0.037393003702163696,0.1263573318719864,0.0546443872153759,-0.04473821073770523,0.15626175701618195,0.05594513565301895,0.05494954064488411
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.2638341188430786,0.3680361211299896,0.3353121876716614,0.021107977256178856,0.29819294810295105,0.15918458998203278,0.21542808413505554,0.42300865054130554
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.30557334423065186,-0.0016132977325469255,0.29927265644073486,0.19301897287368774,0.24469749629497528,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.22556085884571075,0.06895173341035843,0.2743909955024719,0.26849403977394104,0.22121839225292206,0.20544172823429108
tolui,0.18945196270942688,0.22922302782535553,0.2948542833328247,0.2419642060995102,0.24690158665180206,0.4482001066207886,0.007752082776278257,0.15723496675491333,0.16046984493732452,0.10770634561777115,0.18748058378696442
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.3193424940109253,0.0012731997994706035,0.27435752749443054,0.15397608280181885,0.20179787278175354,0.40561532974243164
1190–1232,0.20873688161373138,0.0514715351164341,0.16790682077407837,0.10462085157632828,0.1341240257024765,0.14947117865085602,0.09006352722644806,0.045432452112436295,0.26676905155181885,0.13268651068210602,0.14254438877105713
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.2638341188430786,0.3680361211299896,0.3353121876716614,0.021107977256178856,0.29819294810295105,0.15918458998203278,0.21542808413505554,0.42300865054130554
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.31827959418296814,-0.003708066651597619,0.346034437417984,0.26742851734161377,0.21665646135807037,0.4130953550338745
