,how,many,touchdowns,did,newton,have,in,2015,?
pro,0.18713277578353882,0.13571034371852875,0.199878990650177,0.14497412741184235,0.10714779049158096,0.16766418516635895,0.152218297123909,0.052606672048568726,0.17645101249217987
bowl,0.1720007210969925,0.17932994663715363,0.432915598154068,0.18569406867027283,0.1892489492893219,0.19536113739013672,0.17236235737800598,0.0710686594247818,0.21118052303791046
quarterback,0.10935026407241821,0.09331715106964111,0.6703263521194458,0.13718701899051666,0.29465755820274353,0.18219535052776337,0.17283181846141815,-0.07722106575965881,0.13221268355846405
cam,0.14944414794445038,0.13726761937141418,0.2751055061817169,0.15223097801208496,0.32548287510871887,0.1385549008846283,0.17906330525875092,-0.0011327267857268453,0.1622646003961563
newton,0.2514588236808777,0.1828424632549286,0.31141117215156555,0.23863376677036285,1.0000001192092896,0.18122498691082,0.23639483749866486,0.04000600054860115,0.09645649790763855
had,0.2549138069152832,0.40130746364593506,0.26631444692611694,0.540525496006012,0.17341329157352448,0.6263401508331299,0.385026752948761,0.0605347566306591,0.20728366076946259
one,0.3213292360305786,0.4223630726337433,0.2601357400417328,0.27659472823143005,0.20534484088420868,0.4507926106452942,0.4129433035850525,-0.006648390553891659,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.18799830973148346,0.2513895630836487,0.18479612469673157,0.3802283704280853,0.5696388483047485,0.21138253808021545,0.1826142966747284
his,0.24614305794239044,0.3188176155090332,0.3102671802043915,0.3546801507472992,0.2519145607948303,0.25689181685447693,0.3598145842552185,0.0642445981502533,0.18075084686279297
best,0.25441184639930725,0.2589998245239258,0.2284936010837555,0.25550925731658936,0.20502272248268127,0.20187869668006897,0.2813531160354614,-0.06681548804044724,0.2799045741558075
seasons,0.12353117763996124,0.1946718841791153,0.39493125677108765,0.18920958042144775,0.10007040947675705,0.21328888833522797,0.2194332778453827,-0.060289785265922546,0.13766995072364807
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.3541618287563324,0.5201468467712402,0.06568983197212219,0.31091248989105225
throwing,0.24389290809631348,0.2297176569700241,0.4151746332645416,0.2288447916507721,0.1744842380285263,0.2317512035369873,0.1828322857618332,0.049856171011924744,0.15241092443466187
for,0.3308170735836029,0.40972793102264404,0.2948407232761383,0.318512886762619,0.18168501555919647,0.41175219416618347,0.4322226941585541,-0.08512632548809052,0.264628142118454
"3,837",-0.04463791474699974,-0.03211802616715431,-0.03826041519641876,-0.0767732635140419,0.021701980382204056,0.0007494132732972503,0.09096096456050873,0.36837074160575867,-0.03566814586520195
yards,0.1345205456018448,0.13134367763996124,0.7052563428878784,0.11230118572711945,0.29241275787353516,0.13095317780971527,0.14206624031066895,0.02945392206311226,0.12453813850879669
and,0.33647966384887695,0.5296266674995422,0.2571038007736206,0.34479495882987976,0.22255054116249084,0.4711785912513733,0.4954058527946472,0.015077123418450356,0.20544172823429108
rushing,0.2803467810153961,0.21215204894542694,0.5714829564094543,0.21943612396717072,0.304086834192276,0.2575879693031311,0.21822091937065125,-0.10239597409963608,0.14363552629947662
for,0.3308170735836029,0.40972793102264404,0.2948407232761383,0.318512886762619,0.18168501555919647,0.41175219416618347,0.4322226941585541,-0.08512632548809052,0.264628142118454
636,-0.007202938664704561,0.07316522300243378,0.060100194066762924,0.011679795570671558,0.14664290845394135,0.08122017979621887,0.16928495466709137,-0.19799460470676422,-0.036500390619039536
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.3541618287563324,0.5201468467712402,0.06568983197212219,0.31091248989105225
while,0.2918691337108612,0.3748262822628021,0.20673201978206635,0.3330625295639038,0.1801067441701889,0.3577405512332916,0.3399278521537781,-0.013383761048316956,0.21076419949531555
recording,0.19648906588554382,0.20405806601047516,0.24641837179660797,0.20224055647850037,0.22601540386676788,0.16310334205627441,0.2528064250946045,-0.07319832593202591,0.18037092685699463
a,0.29312583804130554,0.2872205972671509,0.2318989634513855,0.2552328109741211,0.1884482353925705,0.338716596364975,0.539380669593811,-0.008371892385184765,0.23916715383529663
career-high,0.2514631748199463,0.33343032002449036,0.4695356786251068,0.3148426413536072,0.19111330807209015,0.26840075850486755,0.2944321930408478,-0.033197686076164246,0.18277767300605774
and,0.33647966384887695,0.5296266674995422,0.2571038007736206,0.34479495882987976,0.22255054116249084,0.4711785912513733,0.4954058527946472,0.015077123418450356,0.20544172823429108
league-leading,0.2028302550315857,0.2940694987773895,0.46918925642967224,0.29858919978141785,0.21760407090187073,0.2985909581184387,0.366347998380661,0.033030472695827484,0.2778867185115814
45,-0.032615967094898224,0.02003762125968933,0.01909680664539337,-0.0017516070511192083,0.026041382923722267,0.002146684331819415,0.05398287624120712,0.0810927227139473,-0.01282194908708334
total,0.22199897468090057,0.2912171483039856,0.27890458703041077,0.14788632094860077,0.1840561330318451,0.2702822685241699,0.27667245268821716,0.037357207387685776,0.14396025240421295
touchdowns,0.15057362616062164,0.1144808754324913,1.0000001192092896,0.20483340322971344,0.31141117215156555,0.20013733208179474,0.17643709480762482,0.008580083958804607,0.1509619653224945
(,0.1676948219537735,0.1455259770154953,0.18674080073833466,0.18979617953300476,0.17499087750911713,0.23072676360607147,0.3087427020072937,0.14610634744167328,0.40561532974243164
35,-0.11944353580474854,-0.07066774368286133,-0.07583171874284744,-0.03584199398756027,-0.08320112526416779,-0.05136740580201149,-0.023801730945706367,0.06824924796819687,-0.044106997549533844
passing,0.24499450623989105,0.15060079097747803,0.47026413679122925,0.16936171054840088,0.23282510042190552,0.23139506578445435,0.1942625194787979,0.00843111239373684,0.10353918373584747
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.3541618287563324,0.5201468467712402,0.06568983197212219,0.31091248989105225
10,0.09177426248788834,0.3056783974170685,-0.00992126390337944,0.1914099007844925,0.03830950707197189,0.2006417065858841,0.22690178453922272,0.15571165084838867,0.022911956533789635
rushing,0.2803467810153961,0.21215204894542694,0.5714829564094543,0.21943612396717072,0.304086834192276,0.2575879693031311,0.21822091937065125,-0.10239597409963608,0.14363552629947662
),0.17939934134483337,0.16602720320224762,0.19843259453773499,0.18584993481636047,0.17433513700962067,0.22866283357143402,0.3326910734176636,0.1380191147327423,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.3541618287563324,0.5201468467712402,0.06568983197212219,0.31091248989105225
a,0.29312583804130554,0.2872205972671509,0.2318989634513855,0.2552328109741211,0.1884482353925705,0.338716596364975,0.539380669593811,-0.008371892385184765,0.23916715383529663
career-low,0.2479514181613922,0.2875238358974457,0.4120676517486572,0.31910577416419983,0.22043463587760925,0.23166953027248383,0.26392239332199097,-0.06424173712730408,0.15329208970069885
10,0.09177426248788834,0.3056783974170685,-0.00992126390337944,0.1914099007844925,0.03830950707197189,0.2006417065858841,0.22690178453922272,0.15571165084838867,0.022911956533789635
interceptions,0.2084771692752838,0.21864065527915955,0.7320449352264404,0.21840861439704895,0.30017799139022827,0.23448514938354492,0.19061775505542755,0.015746407210826874,0.10945115238428116
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.3541618287563324,0.5201468467712402,0.06568983197212219,0.31091248989105225
