,compounding,was,not,popular,in,the,construction,of,what,machines,?
the,0.2295212745666504,0.48711544275283813,0.4310511648654938,0.2724021077156067,0.6662389636039734,1.0,0.2671978175640106,0.733189046382904,0.42745697498321533,0.22618883848190308,0.22068053483963013
adoption,0.1644463688135147,0.25843802094459534,0.30476951599121094,0.1704043596982956,0.24107742309570312,0.27656617760658264,0.25805380940437317,0.2520056962966919,0.2520635426044464,0.16413293778896332,0.23771828413009644
of,0.27413690090179443,0.4069072902202606,0.3307090103626251,0.25281813740730286,0.5696388483047485,0.733189046382904,0.2815735340118408,1.0,0.33290785551071167,0.18757474422454834,0.1826142966747284
compounding,0.9999998807907104,0.13572673499584198,0.2975088059902191,0.19683460891246796,0.20182771980762482,0.2295212745666504,0.2080334722995758,0.27413690090179443,0.26605767011642456,0.28559455275535583,0.22128498554229736
was,0.13572673499584198,1.0000001192092896,0.2888734042644501,0.2916531562805176,0.45514053106307983,0.48711544275283813,0.224521666765213,0.4069072902202606,0.22111038863658905,0.18074968457221985,0.18412111699581146
common,0.35177525877952576,0.0880795493721962,0.25485387444496155,0.3888757824897766,0.23149342834949493,0.2705984115600586,0.12546473741531372,0.2949881851673126,0.19989867508411407,0.22072038054466248,0.20434872806072235
for,0.2905847132205963,0.3863949179649353,0.39280617237091064,0.30736467242240906,0.4322226941585541,0.4739971458911896,0.2193669229745865,0.4185989499092102,0.3017193675041199,0.2706963121891022,0.264628142118454
industrial,0.28860175609588623,0.2614017128944397,0.18715240061283112,0.2780130207538605,0.3118434548377991,0.30435431003570557,0.3859542906284332,0.3120400011539459,0.16054853796958923,0.3681654930114746,0.08039500564336777
units,0.23234988749027252,0.20471836626529694,0.24219836294651031,0.04082699865102768,0.24701444804668427,0.2691343426704407,0.22143356502056122,0.2597769498825073,0.1804584264755249,0.28367844223976135,0.089388407766819
",",0.2131453901529312,0.45456063747406006,0.3769696354866028,0.2819201350212097,0.5201468467712402,0.4933079481124878,0.23704268038272858,0.4946078956127167,0.3087472915649414,0.25857728719711304,0.31091248989105225
for,0.2905847132205963,0.3863949179649353,0.39280617237091064,0.30736467242240906,0.4322226941585541,0.4739971458911896,0.2193669229745865,0.4185989499092102,0.3017193675041199,0.2706963121891022,0.264628142118454
road,0.12778399884700775,0.21728332340717316,0.10054793208837509,0.10351715981960297,0.23586870729923248,0.27181798219680786,0.2743386924266815,0.24218276143074036,0.14859327673912048,0.11717954277992249,0.10894691944122314
engines,0.2879071533679962,0.18948708474636078,0.24523323774337769,0.16749583184719086,0.18084456026554108,0.2245008647441864,0.26423126459121704,0.17593856155872345,0.1634974628686905,0.3918200731277466,0.18940703570842743
and,0.27331241965293884,0.3740963041782379,0.39099299907684326,0.3164171278476715,0.4954058527946472,0.5171257257461548,0.22762417793273926,0.5116966962814331,0.31309178471565247,0.2919604778289795,0.20544172823429108
almost,0.20219023525714874,0.2474903166294098,0.39990684390068054,0.19250471889972687,0.3422279357910156,0.3341992199420929,0.18825915455818176,0.3144364058971405,0.2467888444662094,0.23113326728343964,0.1372147500514984
universal,0.20618468523025513,0.210410475730896,0.23280788958072662,0.20822390913963318,0.17730140686035156,0.2359178364276886,0.1862182319164276,0.20601727068424225,0.20640362799167633,0.25816109776496887,0.2074412703514099
for,0.2905847132205963,0.3863949179649353,0.39280617237091064,0.30736467242240906,0.4322226941585541,0.4739971458911896,0.2193669229745865,0.4185989499092102,0.3017193675041199,0.2706963121891022,0.264628142118454
marine,0.1916746199131012,0.14990459382534027,0.1892407089471817,0.10929203033447266,0.24858763813972473,0.2547752857208252,0.18243534862995148,0.24999871850013733,0.15737493336200714,0.16105574369430542,0.1407923698425293
engines,0.2879071533679962,0.18948708474636078,0.24523323774337769,0.16749583184719086,0.18084456026554108,0.2245008647441864,0.26423126459121704,0.17593856155872345,0.1634974628686905,0.3918200731277466,0.18940703570842743
after,0.19390618801116943,0.49306565523147583,0.3115830719470978,0.18715699017047882,0.44050168991088867,0.4565047025680542,0.12076519429683685,0.3867455720901489,0.21973377466201782,0.182349294424057,0.16608688235282898
1880,0.10258834809064865,-0.05979476869106293,0.16815634071826935,-0.13204053044319153,0.04348104074597359,0.0793314129114151,0.07504499703645706,0.02491694688796997,0.08119592815637589,0.03569275513291359,0.07120001316070557
;,0.03347131982445717,0.0754367932677269,0.12084553390741348,0.09031965583562851,0.092739537358284,0.09152708947658539,-0.043724749237298965,0.054534342139959335,0.10986888408660889,-0.042604923248291016,0.10349778085947037
it,0.2514593005180359,0.4577186405658722,0.4651523232460022,0.29535067081451416,0.5130809545516968,0.6251175999641418,0.22723008692264557,0.38761502504348755,0.45803478360176086,0.23724479973316193,0.25732165575027466
was,0.13572673499584198,1.0000001192092896,0.2888734042644501,0.2916531562805176,0.45514053106307983,0.48711544275283813,0.224521666765213,0.4069072902202606,0.22111038863658905,0.18074968457221985,0.18412111699581146
