,for,what,purpose,is,oxygen,used,by,animal,life,?
due,0.2363993525505066,0.15204688906669617,0.22548045217990875,0.24065633118152618,0.23325195908546448,0.22744520008563995,0.22024279832839966,0.12066857516765594,0.12112262099981308,0.10954997688531876
to,0.4451248347759247,0.455847829580307,0.38124558329582214,0.42745086550712585,0.24193501472473145,0.40058770775794983,0.33534231781959534,0.18854594230651855,0.24560359120368958,0.29463258385658264
its,0.2992613911628723,0.30393704771995544,0.25212326645851135,0.4447362422943115,0.23293741047382355,0.294392853975296,0.24398943781852722,0.2007479965686798,0.14865194261074066,0.15103481709957123
energy,0.21083484590053558,0.190252885222435,0.22045648097991943,0.2171693742275238,0.4261608421802521,0.18094463646411896,0.1721600890159607,0.26128843426704407,0.18988990783691406,0.14860127866268158
content,0.2708386182785034,0.3614070415496826,0.3363543748855591,0.22872057557106018,0.2936687469482422,0.23952919244766235,0.19067873060703278,0.14410912990570068,0.19537007808685303,0.37093979120254517
",",0.4464869201183319,0.3087472915649414,0.21281862258911133,0.4691906273365021,0.21812842786312103,0.3120402991771698,0.3680937886238098,0.18390819430351257,0.24050940573215485,0.31091248989105225
o2,-0.02583320438861847,-0.039665523916482925,-0.024571074172854424,-0.0536184124648571,-0.037116553634405136,-0.07393984496593475,0.04905276000499725,0.05059181898832321,0.05916711315512657,0.008434558287262917
is,0.43268078565597534,0.28837618231773376,0.25441038608551025,1.0,0.21825239062309265,0.3288823366165161,0.3899846076965332,0.22882415354251862,0.2110576033592224,0.22961433231830597
used,0.4236139953136444,0.27546408772468567,0.39655938744544983,0.3288823366165161,0.21276918053627014,0.9999998807907104,0.27705541253089905,0.21182769536972046,0.15016493201255798,0.22430120408535004
by,0.3248702883720398,0.2455483376979828,0.2327440232038498,0.3899846076965332,0.1292176991701126,0.27705541253089905,1.0000001192092896,0.20926138758659363,0.18554949760437012,0.17966607213020325
complex,0.24154409766197205,0.2605343163013458,0.3211759030818939,0.2723233699798584,0.21453747153282166,0.25275829434394836,0.14267762005329132,0.23116827011108398,0.16621561348438263,0.17752902209758759
forms,0.2109229564666748,0.16334041953086853,0.16466617584228516,0.35419854521751404,0.21243564784526825,0.2931652367115021,0.19076815247535706,0.26462051272392273,0.28528743982315063,0.1196754202246666
of,0.4185989499092102,0.33290785551071167,0.23855330049991608,0.4854315221309662,0.16848602890968323,0.3075267970561981,0.3646814823150635,0.2429264932870865,0.2788603901863098,0.1826142966747284
life,0.244698166847229,0.24693015217781067,0.15538109838962555,0.2110576033592224,0.27629178762435913,0.15016493201255798,0.18554949760437012,0.29205334186553955,1.0,0.21677987277507782
",",0.4464869201183319,0.3087472915649414,0.21281862258911133,0.4691906273365021,0.21812842786312103,0.3120402991771698,0.3680937886238098,0.18390819430351257,0.24050940573215485,0.31091248989105225
such,0.36098620295524597,0.23989605903625488,0.2786174416542053,0.23545363545417786,0.23563316464424133,0.4262988865375519,0.2736194431781769,0.2225647121667862,0.19185678660869598,0.17851735651493073
as,0.44774648547172546,0.31749409437179565,0.3096271753311157,0.43216490745544434,0.16691245138645172,0.35160550475120544,0.3815547823905945,0.18749424815177917,0.23248597979545593,0.27043893933296204
animals,0.26254770159721375,0.26212990283966064,0.23652203381061554,0.2262406051158905,0.2666795253753662,0.26146388053894043,0.23609067499637604,0.7674015760421753,0.2941637337207794,0.16430135071277618
",",0.4464869201183319,0.3087472915649414,0.21281862258911133,0.4691906273365021,0.21812842786312103,0.3120402991771698,0.3680937886238098,0.18390819430351257,0.24050940573215485,0.31091248989105225
in,0.4322226941585541,0.30808621644973755,0.2706536650657654,0.5394441485404968,0.1672476977109909,0.3090210556983948,0.370934396982193,0.21829302608966827,0.27054134011268616,0.20430970191955566
cellular,0.1848229616880417,0.17455364763736725,0.19586274027824402,0.1777307391166687,0.41241124272346497,0.19796687364578247,0.15252184867858887,0.3214195668697357,0.2637525200843811,0.16428864002227783
respiration,0.27999183535575867,0.23671798408031464,0.24802589416503906,0.2597092092037201,0.5477889776229858,0.21600331366062164,0.21787816286087036,0.34190985560417175,0.31577616930007935,0.17575538158416748
(,0.3357032239437103,0.2411840260028839,0.14639918506145477,0.35393038392066956,0.189798504114151,0.19005385041236877,0.20696312189102173,0.16953758895397186,0.16464252769947052,0.40561532974243164
see,0.36478325724601746,0.44941186904907227,0.2349451184272766,0.30759111046791077,0.20267128944396973,0.29305532574653625,0.21684600412845612,0.189727321267128,0.13702435791492462,0.42005208134651184
biological,0.2383347600698471,0.23008453845977783,0.2761300802230835,0.2308540940284729,0.3240869343280792,0.27679383754730225,0.21979595720767975,0.2978588342666626,0.2980731427669525,0.15755151212215424
role,0.34694939851760864,0.22614215314388275,0.16910608112812042,0.20847192406654358,0.11571505665779114,0.13835081458091736,0.20783835649490356,0.12914066016674042,0.24258683621883392,0.18676944077014923
),0.3639558255672455,0.26259949803352356,0.17197920382022858,0.37732169032096863,0.19541971385478973,0.1905621439218521,0.2151763141155243,0.17377310991287231,0.17696817219257355,0.42300865054130554
.,0.4726039469242096,0.3567904531955719,0.22145536541938782,0.4569662809371948,0.2554275095462799,0.33111312985420227,0.3936232924461365,0.2140108346939087,0.3029138445854187,0.4130953550338745
