,how,many,main,flows,are,branched,off,from,the,nederrijn,?
this,0.45272302627563477,0.43532639741897583,0.3026203215122223,0.2018253654241562,0.35762670636177063,0.2539612352848053,0.2535133361816406,0.3469814360141754,0.6274310946464539,0.17387402057647705,0.3155723512172699
creates,0.26778361201286316,0.19835273921489716,0.25846588611602783,0.2642842233181,0.23575299978256226,0.21212925016880035,0.23522324860095978,0.18514172732830048,0.2989917993545532,0.13721705973148346,0.20012600719928741
three,0.23807744681835175,0.4501400589942932,0.29923519492149353,0.14539191126823425,0.38895705342292786,0.2899280786514282,0.19219645857810974,0.22603893280029297,0.43452659249305725,0.1506078541278839,0.20928427577018738
main,0.1668178290128708,0.27179279923439026,1.0000001192092896,0.17803101241588593,0.2828797399997711,0.29535508155822754,0.20457573235034943,0.22770823538303375,0.38631999492645264,0.1743236780166626,0.1665669083595276
flows,0.12961691617965698,0.15759313106536865,0.17803101241588593,1.0,0.20555317401885986,0.2255496382713318,0.13689075410366058,0.247153639793396,0.32405155897140503,0.17553043365478516,0.11636040359735489
",",0.22659391164779663,0.40610817074775696,0.2989408075809479,0.2638954818248749,0.4062570035457611,0.295068621635437,0.26180344820022583,0.39760664105415344,0.4933079481124878,0.3337106704711914,0.31091248989105225
two,0.2499001920223236,0.5147606730461121,0.3178617060184479,0.1489696204662323,0.46276170015335083,0.2865253984928131,0.26898929476737976,0.25732070207595825,0.43858039379119873,0.11841287463903427,0.19645625352859497
of,0.2480744868516922,0.37253960967063904,0.3177044689655304,0.25574392080307007,0.39081433415412903,0.26650935411453247,0.20023372769355774,0.4249346852302551,0.733189046382904,0.22627466917037964,0.1826142966747284
which,0.4852597713470459,0.5168171525001526,0.37042954564094543,0.24550573527812958,0.42922598123550415,0.3496434688568115,0.3206881284713745,0.38755592703819275,0.6521818041801453,0.14633196592330933,0.25814583897590637
change,0.3957580626010895,0.2714919149875641,0.19647526741027832,0.22810254991054535,0.23421765863895416,0.19095930457115173,0.1822153925895691,0.17817987501621246,0.3641999065876007,0.1241900771856308,0.24115969240665436
names,0.15838667750358582,0.2901678681373596,0.17706890404224396,0.14467740058898926,0.3224400281906128,0.15711908042430878,0.13269305229187012,0.20558695495128632,0.27965226769447327,0.18735654652118683,0.16607333719730377
rather,0.3621583580970764,0.3103570342063904,0.2200467735528946,0.10151869803667068,0.325596421957016,0.32640695571899414,0.2231651395559311,0.23058800399303436,0.31983619928359985,0.19863569736480713,0.3053998053073883
often,0.41107481718063354,0.5640480518341064,0.23435913026332855,0.1140764057636261,0.5443448424339294,0.2948583662509918,0.19306312501430511,0.2687282860279083,0.38004449009895325,0.15755663812160492,0.23748154938220978
.,0.3287222981452942,0.3974229395389557,0.31122034788131714,0.19567762315273285,0.3452940285205841,0.2552467882633209,0.2869674861431122,0.41536515951156616,0.5934505462646484,0.3120037615299225,0.4130953550338745
