,did,the,european,court,of,justice,rule,the,defendant,in,the,case,of,commission,v.,edith,cresson,broke,any,laws,?
this,0.3609912693500519,0.6274310946464539,0.2504124343395233,0.22750873863697052,0.45148900151252747,0.15967333316802979,0.31583675742149353,0.6274310946464539,0.3130340576171875,0.45205554366111755,0.6274310946464539,0.39866772294044495,0.45148900151252747,0.1779852658510208,0.04859299585223198,0.07597076147794724,0.12936627864837646,0.23635302484035492,0.5327546000480652,0.24818551540374756,0.3155723512172699
resulted,0.27626562118530273,0.2975946068763733,0.18296463787555695,0.21722878515720367,0.3479447662830353,0.16676799952983856,0.21446529030799866,0.2975946068763733,0.16684314608573914,0.3197503983974457,0.2975946068763733,0.2584359347820282,0.3479447662830353,0.28784504532814026,0.04623270779848099,0.1069793701171875,0.05337667837738991,0.31401100754737854,0.2568452060222626,0.21869027614593506,0.1391388475894928
in,0.2593238651752472,0.6662389636039734,0.23319172859191895,0.2793687880039215,0.5696388483047485,0.2678598463535309,0.2128441035747528,0.6662389636039734,0.2115166187286377,1.0,0.6662389636039734,0.2190418541431427,0.5696388483047485,0.21326816082000732,-0.03806581720709801,0.18794694542884827,0.19941847026348114,0.2562587857246399,0.3135753571987152,0.2591988444328308,0.20430970191955566
one,0.27659472823143005,0.5514441132545471,0.24752061069011688,0.19723033905029297,0.4999135136604309,0.2091836929321289,0.27523601055145264,0.5514441132545471,0.26555192470550537,0.4129433035850525,0.5514441132545471,0.32077234983444214,0.4999135136604309,0.13957388699054718,0.00990697555243969,0.1656707376241684,0.12487582862377167,0.22881172597408295,0.47406086325645447,0.20311206579208374,0.2673267424106598
main,0.15925762057304382,0.38631999492645264,0.11931241303682327,0.07215172052383423,0.3177044689655304,0.12766169011592865,0.10074807703495026,0.38631999492645264,0.089388407766819,0.28862449526786804,0.38631999492645264,0.13751600682735443,0.3177044689655304,0.058324556797742844,0.027500508353114128,0.041639164090156555,0.04163309559226036,0.14148013293743134,0.26311081647872925,0.09904785454273224,0.1665669083595276
case,0.21228672564029694,0.31022098660469055,0.15781351923942566,0.4225234091281891,0.24743439257144928,0.284448504447937,0.24954427778720856,0.31022098660469055,0.5058138370513916,0.2190418541431427,0.31022098660469055,1.0000001192092896,0.24743439257144928,0.1518445461988449,-0.03772502392530441,0.13326671719551086,0.09576409310102463,0.14024902880191803,0.4125841557979584,0.2652096152305603,0.33232852816581726
",",0.3015086054801941,0.4933079481124878,0.19684812426567078,0.24410836398601532,0.4946078956127167,0.22630788385868073,0.24230371415615082,0.4933079481124878,0.22426427900791168,0.5201468467712402,0.4933079481124878,0.2977246046066284,0.4946078956127167,0.19528092443943024,0.011836257763206959,0.2676926553249359,0.29476436972618103,0.2557729482650757,0.3237466514110565,0.26751992106437683,0.31091248989105225
commission,0.18697425723075867,0.24418850243091583,0.32984089851379395,0.36450091004371643,0.2698368728160858,0.3890712857246399,0.1494164913892746,0.24418850243091583,0.30250084400177,0.21326816082000732,0.24418850243091583,0.1518445461988449,0.2698368728160858,0.9999998807907104,-0.020563995465636253,0.13390646874904633,0.09715426713228226,0.11347626149654388,0.23308111727237701,0.3362603485584259,0.16231559216976166
v,0.17618848383426666,0.18580520153045654,0.16175833344459534,0.31226083636283875,0.1655031144618988,0.22317616641521454,0.16932840645313263,0.18580520153045654,0.2260657399892807,0.15216681361198425,0.18580520153045654,0.2666381299495697,0.1655031144618988,0.17029616236686707,-0.016162624582648277,0.23727338016033173,0.07885535061359406,0.14415647089481354,0.1803865134716034,0.1481219083070755,0.28677162528038025
edith,0.18964031338691711,0.17720913887023926,0.061555102467536926,0.1801726520061493,0.19353748857975006,0.18796546757221222,0.05183197930455208,0.17720913887023926,0.12938222289085388,0.18794694542884827,0.17720913887023926,0.13326671719551086,0.19353748857975006,0.13390646874904633,-0.004859967157244682,0.9999999403953552,0.2852872312068939,0.14395059645175934,0.11393662542104721,0.1509716510772705,0.15014788508415222
