,which,running,back,did,the,panthers,waive,?
despite,0.2826302945613861,0.20684993267059326,0.27510741353034973,0.38115930557250977,0.3172689974308014,0.1696106642484665,0.25295302271842957,0.14350546896457672
waiving,0.2979806065559387,0.3843313753604889,0.28858157992362976,0.27735698223114014,0.3694417178630829,0.33846792578697205,0.6513592004776001,0.242996484041214
longtime,0.2204979509115219,0.23040342330932617,0.17955482006072998,0.14097586274147034,0.2717287242412567,0.25195038318634033,0.24247190356254578,0.07657656818628311
running,0.30427414178848267,1.0,0.27002400159835815,0.23744943737983704,0.28883472084999084,0.1742893010377884,0.1841658651828766,0.15679655969142914
back,0.3174980580806732,0.27002400159835815,0.9999999403953552,0.2601068317890167,0.3612101674079895,0.24408011138439178,0.24654778838157654,0.2397768795490265
deangelo,0.18337586522102356,0.13512462377548218,0.15211942791938782,0.16390806436538696,0.2024650275707245,0.2667361795902252,0.16278713941574097,0.18370559811592102
williams,0.1554034948348999,0.2355404794216156,0.16734346747398376,0.19792766869068146,0.20852252840995789,0.2933593690395355,0.15943419933319092,0.1924409717321396
and,0.506277859210968,0.29286429286003113,0.32774487137794495,0.34479495882987976,0.5171257257461548,0.2230100929737091,0.1985722780227661,0.20544172823429108
losing,0.25697997212409973,0.31044504046440125,0.23896577954292297,0.2751401662826538,0.3114689588546753,0.19497670233249664,0.26123419404029846,0.15056444704532623
top,0.3052574694156647,0.1793776899576187,0.22268046438694,0.17264406383037567,0.31754136085510254,0.20028118789196014,0.1457994133234024,0.17265194654464722
wide,0.3568881154060364,0.26102083921432495,0.19097882509231567,0.11342455446720123,0.28078147768974304,0.21128936111927032,0.1299486756324768,0.12719376385211945
receiver,0.24653580784797668,0.22452443838119507,0.23621419072151184,0.15293848514556885,0.21850530803203583,0.3002510964870453,0.23724567890167236,0.11587938666343689
kelvin,0.2036457508802414,0.11707496643066406,0.13171808421611786,0.12385150045156479,0.20588484406471252,0.1860472559928894,0.13425014913082123,0.18197040259838104
