,who,became,the,king,of,the,canary,islands,?
bethencourt,0.2769758403301239,0.25209298729896545,0.3429909348487854,0.275596559047699,0.3238213062286377,0.3429909348487854,0.3067477345466614,0.2940346896648407,0.22685231268405914
took,0.2481452226638794,0.4274691343307495,0.31657639145851135,0.20490078628063202,0.2766268849372864,0.31657639145851135,0.17674632370471954,0.20972326397895813,0.14109265804290771
the,0.3733934462070465,0.36325156688690186,1.0,0.25887003540992737,0.733189046382904,1.0,0.3035123646259308,0.27959951758384705,0.22068053483963013
title,0.18150031566619873,0.1875242292881012,0.27465343475341797,0.13394136726856232,0.18969319760799408,0.27465343475341797,0.10792653262615204,0.08197469264268875,0.34551161527633667
of,0.2827862501144409,0.3638904094696045,0.733189046382904,0.2938710153102875,1.0,0.733189046382904,0.28700730204582214,0.277767539024353,0.1826142966747284
king,0.24555552005767822,0.19870617985725403,0.25887003540992737,1.0000001192092896,0.2938710153102875,0.25887003540992737,0.17955225706100464,0.1386970579624176,0.19130074977874756
of,0.2827862501144409,0.3638904094696045,0.733189046382904,0.2938710153102875,1.0,0.733189046382904,0.28700730204582214,0.277767539024353,0.1826142966747284
the,0.3733934462070465,0.36325156688690186,1.0,0.25887003540992737,0.733189046382904,1.0,0.3035123646259308,0.27959951758384705,0.22068053483963013
canary,0.15526175498962402,0.14506469666957855,0.3035123646259308,0.17955225706100464,0.28700730204582214,0.3035123646259308,0.9999999403953552,0.4811919033527374,0.15545475482940674
islands,0.22111876308918,0.17369675636291504,0.27959951758384705,0.1386970579624176,0.277767539024353,0.27959951758384705,0.4811919033527374,0.9999999403953552,0.11824353039264679
",",0.3365725874900818,0.2798398435115814,0.4933079481124878,0.27879971265792847,0.4946078956127167,0.4933079481124878,0.3001386821269989,0.2641065716743469,0.31091248989105225
as,0.3923053741455078,0.3482101261615753,0.48381632566452026,0.19680391252040863,0.3886612355709076,0.48381632566452026,0.18826241791248322,0.19657845795154572,0.27043893933296204
vassal,0.2803739011287689,0.20898312330245972,0.25395825505256653,0.486172616481781,0.29345226287841797,0.25395825505256653,0.17094041407108307,0.2095821499824524,0.11192825436592102
to,0.42656609416007996,0.20401327311992645,0.535392165184021,0.24476152658462524,0.41548454761505127,0.535392165184021,0.22539974749088287,0.18220879137516022,0.29463258385658264
henry,0.29137110710144043,0.2317832112312317,0.2542637586593628,0.33009418845176697,0.2390729784965515,0.2542637586593628,0.1726180762052536,0.12236753106117249,0.16836383938789368
iii,0.1920083463191986,0.17552338540554047,0.18552400171756744,0.38207370042800903,0.21691277623176575,0.18552400171756744,0.15181292593479156,0.12015555053949356,0.13642357289791107
of,0.2827862501144409,0.3638904094696045,0.733189046382904,0.2938710153102875,1.0,0.733189046382904,0.28700730204582214,0.277767539024353,0.1826142966747284
castile,0.22272424399852753,0.1942797154188156,0.23826849460601807,0.3869083523750305,0.2756274342536926,0.23826849460601807,0.44397932291030884,0.2172282338142395,0.1842547357082367
.,0.3541337847709656,0.2806840240955353,0.5934505462646484,0.2334747016429901,0.5352458953857422,0.5934505462646484,0.2626977860927582,0.26146334409713745,0.4130953550338745
